alg,seed,train,test,"theta [d1, t1, a1,  d2, t2, a2, shift]",pop_size,gens,time(seconds)
PSO,0,-47.761782140284325,-1000.0,"[47.51990203686964, 0.0, 0.4622409517398348, 61.24418079101045, 3.0, 0.05663879889646148, 0.0]",50,50,5.29
PSO,3,-48.86031631244825,-1000.0,"[17.69255255895971, 1.6751124055057134, 0.13019046796340145, 85.95591221835318, 2.9741379681355324, 0.1694335707244246, 0.0]",50,50,5.69
PSO,7,-35.70159910078769,-411.89598121419516,"[31.95033235180396, 0.7848742140894317, 0.08336786258826115, 20.0, 2.136891926653869, 0.2832098784160803, 0.0]",50,50,5.93
PSO,6,-48.86031631244825,-1000.0,"[20.920640572501085, 2.071127677556618, 0.14085340871540813, 163.36494062324545, 2.6893259846160844, 0.416855594326762, 0.0]",50,50,6.23
PSO,8,-19.855435549150375,-1385.8453336461807,"[44.292866692666394, 0.2472523083147486, 0.09545922827532546, 96.21304777684142, 1.1977220091784362, 0.09384036138145425, 0.0]",50,50,7.15
PSO,9,-19.210786096978424,-1081.279939333738,"[24.232288892476266, 0.03635632632743728, 0.4461137920228806, 112.93848182105032, 1.9186640531046906, 0.14113404964920284, 0.0]",50,50,7.17
PSO,2,-17.697210252649594,-1020.6284521493568,"[24.32552902485354, 0.06455618356606865, 0.06474239416451985, 40.51190752766979, 2.3327525471137402, 0.13676094126903404, 0.0]",50,50,7.37
PSO,11,-48.23116781917357,-1000.0,"[45.00035866693018, 0.0, 0.2664194716187761, 69.57789075487857, 2.5791678802599662, 0.44914606260314655, 0.0]",50,50,7.14
PSO,5,-26.631598307741353,-692.3626893590198,"[23.77556237966177, 0.0, 0.0646837389678997, 126.44321634861788, 1.9320954511092823, 0.2774143257462916, 0.0]",50,50,7.51
PSO,1,-19.855435549150375,-1385.8453336461807,"[44.310711717461125, 0.0, 0.4998904113685237, 95.88087438381939, 0.5181831013016369, 0.465192625739163, 0.0]",50,50,7.94
PSO,10,-21.78398343481012,-781.5759569009925,"[23.791461535485443, 0.0661551357366929, 0.057459390323752677, 20.0, 1.7757604583876712, 0.08384198507656485, 0.0]",50,50,8.33
PSO,4,-19.855435549150375,-1385.8453336461807,"[44.2157463583862, 0.18131407078751494, 0.11710020407785714, 96.10415720784565, 0.5964407545658903, 0.2284413808066349, 0.0]",50,50,9.34
PSO,12,-19.876388262593704,-1121.9220366692136,"[33.075189769403515, 0.712198934550506, 0.5, 167.42026014026573, 1.7986265704442168, 0.05833206731429698, 0.0]",50,50,6.44
PSO,14,-19.210786096978424,-1081.279939333738,"[24.06099233611897, 0.0, 0.08831108440965493, 129.54753012828232, 2.128740198185455, 0.1411554234899128, 0.0]",50,50,6.85
PSO,13,-19.855435549150375,-1385.8453336461807,"[44.42725079489678, 0.0, 0.1567893720724646, 96.48928213212464, 1.0439205860806866, 0.5, 0.0]",50,50,7.2
