alg,seed,train,test,"theta [d1, t1, a1,  d2, t2, a2, shift]",pop_size,gens,time(seconds)
PSO,4,-47.053378272414825,-1000.0,"[46.09737640759986, 0.0357009134032828, 0.4623871187211787, 22.004321881233285, 2.9956432716930097, 0.4175171666605187, 1.546044764070742, 4.4352194943063505]",20,100,1.59
PSO,3,-34.17072455571245,-141.92009290418446,"[46.87444212461361, 0.6221138381601699, 0.2617600631735812, 24.69716493098666, 2.205791485666682, 0.05277544433780605, 5.9034614663362435, 0.0]",20,100,1.63
PSO,7,-46.944008252682714,-1000.0,"[50.0, 0.3056702352558279, 0.05, 200.0, 2.7777786745160182, 0.5, 6.0, 3.578429067330146]",20,100,1.63
PSO,5,-29.980908652873126,-574.2675451036406,"[16.985239470998593, 1.9752135405524518, 0.10872095793383565, 166.14646306216827, 2.0758593715273874, 0.05, 4.281011288572847, 0.0]",20,100,1.85
PSO,0,-29.26219647159464,-769.3522092726577,"[20.70646399441851, 0.0, 0.32951920981956545, 104.1401850400916, 1.3067248347872324, 0.05, 1.8727674345022627, 0.12332119571160888]",20,100,1.93
PSO,2,-33.48337775188534,-162.01235937834682,"[50.0, 0.0, 0.21352756723297162, 20.0, 0.0, 0.05, 2.3584334181626136, 0.0]",20,100,1.94
PSO,1,-29.26219647159464,-771.4532105145937,"[27.442498570021858, 1.153430976276745, 0.332116060262605, 82.41082015344244, 1.0752975664903586, 0.40876488567606084, 1.382494866587213, 0.36449321245592536]",20,100,1.95
PSO,6,-14.802567871165763,-1240.9009489512057,"[43.12872067617644, 0.176854896918694, 0.15179647648294825, 101.34724401137227, 0.6067013089624664, 0.32750380100414184, 5.1675349458254, 2.3128331276088314]",20,100,2.2
PSO,9,-29.26219647159464,-157.52738919369605,"[27.864645393845336, 0.8400973583484173, 0.0668725703672647, 26.115026051839685, 0.05899170942960047, 0.31162125657438605, 1.869403078468943, 0.0]",20,100,1.88
PSO,8,-31.114191579245237,-1000.0,"[20.595122529995848, 1.4884684302816034, 0.43010051415427275, 107.26741161970018, 1.337934694316815, 0.2832949760477205, 4.062311895116321, 0.005606678106442317]",20,100,1.98
PSO,10,-29.26219647159464,-1000.0,"[35.70342517783381, 1.333441147354948, 0.387799484774391, 49.922971353411995, 0.3376716321085471, 0.38890411901473415, 2.269424107820433, 0.0]",20,100,1.97
