alg,seed,train,test,"theta [d1, t1, a1,  d2, t2, a2, shift]",pop_size,gens,time(seconds)
PSO,5,-1000.0,-1000.0,"[41.22513156854211, 2.423822369209481, 0.2818965024689639, 71.44424841586549, 0.16179210714496928, 0.22251599635348324, 0.0]",50,50,4.37
PSO,0,-1000.0,-1000.0,"[33.66327592946544, 0.8093601412916109, 0.06843808577128761, 22.974974395135238, 2.4398107176008175, 0.46074000977497476, 0.0]",50,50,4.48
PSO,2,-1000.0,-1000.0,"[16.772546041219236, 0.8954734302423699, 0.41640158326742616, 36.54486958431744, 1.800301577896962, 0.3778522370653076, 0.0]",50,50,4.45
PSO,6,-1000.0,-1000.0,"[29.217395816237442, 1.0298126094400153, 0.21608025790792024, 87.40941780581882, 2.9623349705593998, 0.33474032267321574, 0.0]",50,50,4.45
PSO,3,-1000.0,-1000.0,"[8.854212521463097, 0.7104315197882991, 0.4105735093428786, 124.7891664915862, 0.28238592672119756, 0.24490712310641322, 0.0]",50,50,4.55
PSO,1,-1000.0,-1000.0,"[28.03197311151155, 2.851391088977806, 0.11487182572383518, 190.7569004847039, 0.9354943560314564, 0.24049690203765905, 0.0]",50,50,4.68
PSO,4,-1000.0,-1000.0,"[47.437524750756545, 1.533982658443085, 0.48930966756846683, 34.55048430120839, 1.8220674959850889, 0.21941896296977265, 0.0]",50,50,4.74
PSO,7,-1000.0,-1000.0,"[33.129295997210015, 2.6916414029087266, 0.39905856061033707, 60.53729419830653, 0.9004988547336763, 0.4430990504283179, 0.0]",50,50,4.67
PSO,11,-1000.0,-1000.0,"[10.785659124613982, 1.4978335873203448, 0.3206742609305109, 25.164021506950018, 0.4437782537323678, 0.4676949603321663, 0.0]",50,50,4.61
PSO,10,-1000.0,-1000.0,"[48.02007693330389, 0.6230454302374406, 0.4228001983735388, 46.870782154763646, 1.5384138493096944, 0.11116382180922799, 0.0]",50,50,4.8
PSO,9,-1000.0,-1000.0,"[44.16121417865381, 0.8604516272626661, 0.32141666752320286, 159.95613492563217, 2.148223888810696, 0.4619210542207284, 0.0]",50,50,4.91
PSO,8,-1000.0,-1000.0,"[19.713752447250233, 2.961830530013777, 0.19341987731848254, 161.9388084476052, 2.6096895350886484, 0.2259881629426373, 0.0]",50,50,4.95
PSO,12,-1000.0,-1000.0,"[16.287100614880075, 2.840258828578274, 0.1351941730428926, 52.272453875259366, 1.0496677217878725, 0.15374356096545766, 0.0]",50,50,4.47
PSO,15,-1000.0,-1000.0,"[36.17345155843186, 2.4474513340081723, 0.2049830410067855, 28.070871624275387, 1.714791771101193, 0.1158104420256189, 0.0]",50,50,4.42
PSO,14,-1000.0,-1000.0,"[42.394249350010014, 1.0828400005027699, 0.36623268751192467, 174.821381597467, 1.9239524423644938, 0.29676344396599125, 0.0]",50,50,4.56
PSO,13,-1000.0,-1000.0,"[43.915891415746394, 2.565907544796177, 0.414960529452954, 67.06034505496578, 0.23159837315526421, 0.4759096012007285, 0.0]",50,50,4.67
PSO,17,-1000.0,-1000.0,"[43.02836567590557, 0.4829192735073209, 0.30098504631456147, 86.25438949956883, 0.6448258906853053, 0.2236208169151393, 0.0]",50,50,4.54
PSO,16,-1000.0,-1000.0,"[30.511257749571428, 1.2922324364705569, 0.09233322145768605, 82.65431907847918, 1.8645271151420382, 0.05974475143221974, 0.0]",50,50,4.78
PSO,19,-1000.0,-1000.0,"[23.917045807816738, 2.777608034450111, 0.17324149455422694, 30.8087487420548, 0.9316303749393358, 0.3731833660424346, 0.0]",50,50,4.69
PSO,18,-1000.0,-1000.0,"[22.968759614790773, 2.1522440378646484, 0.17637049761620155, 34.89048523966094, 2.909313957878579, 0.3037670354155784, 0.0]",50,50,4.83
PSO,20,-1000.0,-1000.0,"[17.60341831835717, 1.3834401294088265, 0.10477386165939885, 114.06950330940785, 1.2275052263226147, 0.08223779624209922, 0.0]",50,50,5.05
PSO,22,-1000.0,-1000.0,"[21.485611194443425, 0.5978861381252487, 0.0898512679675755, 137.57450376816558, 1.3780111342318402, 0.4944540284960907, 0.0]",50,50,5.07
PSO,21,-1000.0,-1000.0,"[40.150291496786195, 1.817541088712904, 0.36941053568379134, 36.03761712599761, 1.8921432476217128, 0.49136481600100373, 0.0]",50,50,5.19
PSO,23,-1000.0,-1000.0,"[36.22698862958139, 1.9243746626346918, 0.1078899009429363, 40.46744902363928, 1.960036564003762, 0.4340556976843223, 0.0]",50,50,5.19
PSO,24,-1000.0,-1000.0,"[19.862097650119193, 1.2155319469174315, 0.3086320186972364, 111.15195810862664, 1.6926375222907524, 0.30635928972878085, 0.0]",50,50,4.55
PSO,25,-1000.0,-1000.0,"[12.232455495440352, 0.0009361055130109319, 0.14746930900826763, 86.24527345822975, 0.0060786240429066, 0.1368872961654205, 0.0]",50,50,4.54
PSO,26,-1000.0,-1000.0,"[27.1219512922207, 0.7031985718437496, 0.08042349118654676, 148.31447669878048, 2.439345604108321, 0.2967515080631937, 0.0]",50,50,4.63
PSO,29,-1000.0,-1000.0,"[7.252113665933101, 1.5189668957143483, 0.2836553133333702, 67.73657850869799, 0.3876649345555022, 0.05932896465958967, 0.0]",50,50,4.67
PSO,28,-1000.0,-1000.0,"[43.332527119197096, 2.65467886223059, 0.3945688369509045, 25.795748158967974, 0.1505991819848035, 0.19823676550878783, 0.0]",50,50,4.79
PSO,27,-1000.0,-1000.0,"[36.398129741455335, 0.9414428166672949, 0.1045386944877323, 78.24647389054297, 2.7936355961269013, 0.40535029096960584, 0.0]",50,50,5.04
PSO,30,-1000.0,-1000.0,"[15.610946216563976, 1.2873209959974334, 0.09152285744898145, 126.66849625184786, 2.348096040014066, 0.4404100986865095, 0.0]",50,50,5.0
PSO,31,-1000.0,-1000.0,"[45.64273149116872, 0.2030347870848993, 0.35272886634516387, 105.05804707626258, 2.0322833308164405, 0.06784612479707658, 0.0]",50,50,4.92
PSO,34,-1000.0,-1000.0,"[5.1812709571869595, 2.616530742811627, 0.15923407442198642, 137.19103361510332, 1.4522771489098938, 0.40484007237539127, 0.0]",50,50,4.63
PSO,32,-1000.0,-1000.0,"[12.210927366864563, 1.7166884864162517, 0.21971099928266152, 78.12833237716562, 2.0598416644989697, 0.487504415006843, 0.0]",50,50,5.14
PSO,35,-1000.0,-1000.0,"[20.207730149767606, 1.3754866683100588, 0.47075308288241574, 190.42862523444057, 0.29035594106395346, 0.050401409711632456, 0.0]",50,50,5.14
PSO,33,-1000.0,-1000.0,"[24.963900663320022, 1.7054735757736692, 0.45864669873236885, 65.76491962978434, 1.7663438116645453, 0.21160549427464098, 0.0]",50,50,5.29
