alg,seed,train,test,theta,pop_size,gens,stalled_gens,tolerance,patience,fitness_history,time(seconds)
PSO,0,-90295.66168289585,-3657.502611194869,"[5.328841761326514, 2.0, 0.05, 250.2447591131956, 2.0, 0.3966592728343164, 5.0, 12.129859487723806]",50,16,10,0.0001,10,"[-47881.67424795211, -74726.59094528739, -74726.59094528739, -85010.3673972439, -85010.3673972439, -90295.66168289585, -90295.66168289585, -90295.66168289585, -90295.66168289585, -90295.66168289585, -90295.66168289585, -90295.66168289585, -90295.66168289585, -90295.66168289585, -90295.66168289585, -90295.66168289585]",2.83
PSO,3,-79883.88194956955,-5331.144587783709,"[5.707310051028887, 2.0, 0.34948240422970256, 20.0, 2.0, 0.4052030763254342, 10.726336309685674, 10.106253453018587]",50,18,10,0.0001,10,"[-50162.72629542084, -64967.02529981017, -75966.16606737192, -75966.16606737192, -75966.16606737192, -75966.16606737192, -75966.16606737192, -79883.88194956955, -79883.88194956955, -79883.88194956955, -79883.88194956955, -79883.88194956955, -79883.88194956955, -79883.88194956955, -79883.88194956955, -79883.88194956955, -79883.88194956955, -79883.88194956955]",3.15
PSO,10,-84590.80914748626,-3949.2544916226534,"[4.693637520736672, 2.0, 0.16676530725598804, 219.29506689073924, 2.0, 0.42369222191150724, 5.02760431206683, 11.520020057218966]",50,19,10,0.0001,10,"[-46772.20700970635, -73816.09959199466, -73816.09959199466, -73816.09959199466, -73816.09959199466, -77955.4534657011, -77955.4534657011, -84239.25711158763, -84590.80914748626, -84590.80914748626, -84590.80914748626, -84590.80914748626, -84590.80914748626, -84590.80914748626, -84590.80914748626, -84590.80914748626, -84590.80914748626, -84590.80914748626, -84590.80914748626]",3.55
PSO,5,-84684.13416763523,-5570.320491293716,"[4.377942182551767, 2.0, 0.1950207450043969, 270.1617383377216, 2.0, 0.39420271085809466, 7.74053321272034, 11.306672379534051]",50,22,10,0.0001,10,"[-40685.50814730015, -66336.68737184093, -84404.71430543641, -84404.71430543641, -84404.71430543641, -84404.71430543641, -84404.71430543641, -84404.71430543641, -84404.71430543641, -84404.71430543641, -84404.71430543641, -84684.13416763523, -84684.13416763523, -84684.13416763523, -84684.13416763523, -84684.13416763523, -84684.13416763523, -84684.13416763523, -84684.13416763523, -84684.13416763523, -84684.13416763523, -84684.13416763523]",3.86
PSO,11,-72791.51931901164,-3354.681844129726,"[4.960287145963025, 2.0, 0.3687070056170775, 400.0, 2.0, 0.5, 5.0, 12.16181225994005]",50,21,10,0.0001,10,"[-43448.6431357791, -61213.032420649484, -62184.9458138732, -65837.35658228243, -65837.35658228243, -68423.59566318712, -68423.59566318712, -68423.59566318712, -72237.71412649682, -72337.5927894774, -72791.51931901164, -72791.51931901164, -72791.51931901164, -72791.51931901164, -72791.51931901164, -72791.51931901164, -72791.51931901164, -72791.51931901164, -72791.51931901164, -72791.51931901164, -72791.51931901164]",3.79
PSO,7,-72791.51931901164,-3354.681844129726,"[4.765176138734872, 2.0, 0.3707942541734499, 77.91507864380353, 2.0, 0.5, 5.033728695725884, 11.527360941237701]",50,22,10,0.0001,10,"[-51122.937174743485, -69127.14642812699, -69127.14642812699, -72028.93742252277, -72028.93742252277, -72337.5927894774, -72337.5927894774, -72337.5927894774, -72337.5927894774, -72337.5927894774, -72691.01390618883, -72791.51931901164, -72791.51931901164, -72791.51931901164, -72791.51931901164, -72791.51931901164, -72791.51931901164, -72791.51931901164, -72791.51931901164, -72791.51931901164, -72791.51931901164, -72791.51931901164]",4.0
PSO,2,-90295.66168289585,-3657.502611194869,"[5.403250103700363, 2.0, 0.05, 20.0, 2.0, 0.39577728033486836, 5.0, 11.55844986509229]",50,26,10,0.0001,10,"[-25350.44355842287, -42406.328761909564, -44047.53571723909, -49664.582647791634, -64084.04983002034, -69402.27500077031, -70661.34177294878, -81521.3455879883, -82117.34334083623, -82117.34334083623, -89290.59902953701, -89290.59902953701, -89290.59902953701, -90031.51365506309, -90031.51365506309, -90295.66168289585, -90295.66168289585, -90295.66168289585, -90295.66168289585, -90295.66168289585, -90295.66168289585, -90295.66168289585, -90295.66168289585, -90295.66168289585, -90295.66168289585, -90295.66168289585]",4.45
PSO,4,-80892.42548106474,-5358.653088285458,"[8.192715986189025, 2.0, 0.4050032339161097, 24.545481063831346, 2.0, 0.45160463520590616, 7.173743465005264, 12.425620434098153]",50,27,10,0.0001,10,"[-41530.65185549145, -55640.50263747001, -55640.50263747001, -55640.50263747001, -55640.50263747001, -55640.50263747001, -61972.59910883477, -61972.59910883477, -61972.59910883477, -64044.30984475184, -64044.30984475184, -64044.30984475184, -78850.27948753182, -78850.27948753182, -78850.27948753182, -78850.27948753182, -80892.42548106474, -80892.42548106474, -80892.42548106474, -80892.42548106474, -80892.42548106474, -80892.42548106474, -80892.42548106474, -80892.42548106474, -80892.42548106474, -80892.42548106474, -80892.42548106474]",4.59
PSO,6,-110152.33684783716,-3597.2650153163886,"[3.186379483818325, 2.0, 0.18180210714898343, 319.59301030092763, 2.0, 0.5, 5.0, 5.886278966333628]",50,28,10,0.0001,10,"[-48161.78970852261, -67529.96614166329, -67701.16113869807, -67701.16113869807, -67701.16113869807, -67701.16113869807, -73798.40251989539, -91177.40359096503, -91177.40359096503, -103904.02848318845, -103904.02848318845, -106207.3712509007, -106207.3712509007, -106207.3712509007, -106207.3712509007, -106207.3712509007, -106207.3712509007, -110152.33684783716, -110152.33684783716, -110152.33684783716, -110152.33684783716, -110152.33684783716, -110152.33684783716, -110152.33684783716, -110152.33684783716, -110152.33684783716, -110152.33684783716, -110152.33684783716]",5.45
PSO,8,-71327.53077782095,-4131.944391380956,"[4.3767781613373815, 2.0, 0.17208759058301154, 328.5070109949814, 2.0, 0.3770590972730644, 11.877024987875803, 12.236387905555498]",50,34,10,0.0001,10,"[-43781.567399527485, -46656.41462027595, -56464.89286831194, -56464.89286831194, -57187.38283188224, -57187.38283188224, -57187.38283188224, -57240.86647801599, -57240.86647801599, -58993.39663293401, -58993.39663293401, -66801.25845175721, -66801.25845175721, -67934.50005599586, -67934.50005599586, -67934.50005599586, -67934.50005599586, -67934.50005599586, -69234.58427114197, -69234.58427114197, -69234.58427114197, -69234.58427114197, -69234.58427114197, -71327.53077782095, -71327.53077782095, -71327.53077782095, -71327.53077782095, -71327.53077782095, -71327.53077782095, -71327.53077782095, -71327.53077782095, -71327.53077782095, -71327.53077782095, -71327.53077782095]",6.6
