alg,seed,train,test,"theta [d1, t1, a1,  d2, t2, a2]",pop_size,gens,time(seconds)
GWO,16,-267669.47876572935,-11578.949618873343,"[9.338407024994225, 2.5797281337721394, 0.06340750140455792, 32.033275015742085, 2.6861437126001593, 0.3155456279977171, -3.6034640269142515]",50,100,18.27
GWO,20,-249554.73432844505,-8356.592633916503,"[5.0, 0.8917691496301067, 0.30110566812369305, 135.51289306736064, 2.2711549376644977, 0.3070351164259703, -4.0]",50,100,15.44
GWO,19,-249554.73432844505,-9181.19522451964,"[5.0, 1.1001012569860293, 0.15637723538419956, 94.74384724889869, 1.672707792352918, 0.30735399939844393, -4.0]",50,100,16.21
GWO,17,-249554.73432844505,-9178.145542800032,"[5.0, 1.0932555098762433, 0.40884058584268385, 159.24715722707222, 2.070962928103772, 0.30779325823512166, -4.0]",50,100,17.49
GWO,21,-249554.73432844505,-9181.19522451964,"[5.0, 1.0259185290111736, 0.11378820750097857, 142.09778568781064, 2.282115022272679, 0.30747991945906566, -4.0]",50,100,17.1
GWO,23,-250773.36317043938,-8356.592633916503,"[5.107679622161679, 1.1333975262024876, 0.08526998333180763, 27.441374408949702, 2.467993847017139, 0.30652012433789855, -3.634778731523602]",50,100,16.92
GWO,22,-249554.73432844505,-9178.145542800032,"[5.0, 0.7477057183744903, 0.41068647228039495, 68.23717749456064, 2.0936630741785414, 0.30778845456854903, -3.5688559059666694]",50,100,17.54
GWO,24,-249554.73432844505,-8356.592633916503,"[5.180320162836605, 1.0486305590756972, 0.35401889651698326, 95.18178780161207, 1.9784542517193102, 0.3068956120753377, -4.0]",50,100,14.74
GWO,25,-249554.73432844505,-8356.592633916503,"[5.0, 1.183228209253716, 0.41921507061368396, 67.01891200582615, 1.647603080865288, 0.30680441115011553, -4.0]",50,100,16.17
GWO,26,-249554.73432844505,-9181.19522451964,"[5.0, 0.7323644864434722, 0.13649830619448736, 50.0737108568917, 2.001138187213862, 0.30747237201211736, -4.0]",50,100,15.97
GWO,27,-249554.73432844505,-9178.145542800032,"[5.0, 0.9910252036460762, 0.07667512390232878, 162.1983536384503, 2.1498432363154873, 0.30778487285175343, -4.0]",50,100,15.77
GWO,28,-249554.73432844505,-9178.145542800032,"[5.48148743047732, 0.7879541847154595, 0.210155220845347, 45.313643751214386, 2.2039563528373036, 0.3078064255860983, -4.0]",50,100,15.0
GWO,29,-250773.36317043938,-8180.469520277125,"[5.0, 1.065338793901906, 0.22499093206939091, 26.604827762305188, 2.041816175155923, 0.306081574758464, -3.872042685550268]",50,100,14.92
GWO,31,-249554.73432844505,-9178.145542800032,"[5.0, 0.8416580604814348, 0.45476503067020563, 44.39834915469972, 1.9634522548144773, 0.3077828550742904, -4.0]",50,100,15.12
GWO,32,-250773.36317043938,-8494.660099000004,"[5.0085307182393874, 0.5887134036537972, 0.12959931204511363, 26.608984048892484, 2.046447540670219, 0.30644097631530454, -3.862200449884759]",50,100,15.59
GWO,30,-249554.73432844505,-9178.145542800032,"[5.0, 0.9268197040159422, 0.053796853997371656, 104.25619696464783, 1.948381133034372, 0.30770989484122757, -4.0]",50,100,16.22
GWO,33,-249554.73432844505,-9181.19522451964,"[5.0, 0.9056525620216646, 0.33373507652691786, 33.572324114317986, 2.2723130759237957, 0.3075949504516575, -4.0]",50,100,15.69
GWO,34,-254497.62454293607,-11433.892308716235,"[9.203950114235708, 3.0, 0.06715632128694794, 41.13775558534926, 3.0, 0.26235038017082857, -3.7868514446229593]",50,100,15.72
GWO,35,-249554.73432844505,-8356.592633916503,"[5.145478997008812, 0.7893114261070345, 0.13735361846822103, 51.07150966255288, 2.1835872785423214, 0.30709518396766583, -3.933051482852346]",50,100,16.02
GWO,36,-249554.73432844505,-9181.19522451964,"[5.0, 0.8726638402049488, 0.35750735967429353, 36.15294564617088, 1.7724012290978954, 0.30751642116713684, -4.0]",50,100,14.97
GWO,38,-246736.14555648318,-11569.712166478655,"[8.978987978833654, 2.6805259360980664, 0.07544261570722212, 142.76961521775388, 2.7898126569033237, 0.4405775500723565, -4.0]",50,100,15.85
GWO,37,-250773.36317043938,-8180.469520277125,"[5.085628490509429, 0.8584319128079564, 0.060569181718869415, 26.394385859398678, 2.405130782550992, 0.3062224486263431, -4.0]",50,100,16.75
GWO,39,-249554.73432844505,-8356.592633916503,"[5.005214120098306, 1.1276378730311098, 0.09032105881990145, 26.943952011597528, 1.732321392119302, 0.30706412367930697, -4.0]",50,100,15.91
GWO,40,-249554.73432844505,-9178.145542800032,"[5.0, 0.6459028550920134, 0.10716324047104371, 88.65228068818784, 1.7959922787728335, 0.30772272767662384, -4.0]",50,100,14.98
GWO,41,-250773.36317043938,-8180.469520277125,"[5.0, 0.9272349028707207, 0.22646347728559477, 25.69200319911073, 2.304751501401324, 0.3061736905829648, -4.0]",50,100,15.09
GWO,43,-250773.36317043938,-8494.660099000004,"[5.0, 0.7743891373086641, 0.128070214512063, 28.762000968276485, 2.2074296975192387, 0.30628764955233717, -3.6384947397061396]",50,100,15.68
GWO,42,-249554.73432844505,-8356.592633916503,"[5.243166813324659, 1.0525740493409967, 0.09485575391972585, 27.010920403968893, 1.9511712905705274, 0.3070125187553476, -3.8299454222839393]",50,100,16.25
GWO,44,-250773.36317043938,-8494.660099000004,"[5.0, 0.8058709959023608, 0.05981890956305439, 30.33410776305494, 1.9128846167697944, 0.30633535422429353, -3.5733406225324535]",50,100,16.15
GWO,45,-250773.36317043938,-8356.592633916503,"[5.4479946641787285, 1.0905290629454292, 0.13235776253090872, 27.402471065828337, 1.6439880291244267, 0.306510524883914, -3.9875429293051474]",50,100,15.57
GWO,47,-249554.73432844505,-9178.145542800032,"[5.0, 1.1303299360010892, 0.1020173949356407, 104.83891619813062, 1.54531783769636, 0.30795613048967574, -4.0]",50,100,14.78
GWO,46,-249554.73432844505,-8356.592633916503,"[5.0, 1.0392451493678228, 0.13100919039821143, 37.43252088623555, 2.4132486877397255, 0.30681706291342087, -3.76392357481706]",50,100,15.61
GWO,48,-76844.62296550903,-4461.507010131948,"[5.415382753157014, 0.8355532409618838, 0.5, 20.835611762491542, 0.11523949948259227, 0.2884714638806601, -2.635199953202246]",50,100,15.47
GWO,49,-249554.73432844505,-9181.19522451964,"[5.0, 0.5477994280779223, 0.27549614330374794, 193.12068497721125, 1.959799550154503, 0.3073415843306697, -4.0]",50,100,14.98
GWO,50,-249554.73432844505,-9181.19522451964,"[5.016302881886695, 1.4564230151331685, 0.05971450345400256, 63.12660754934899, 2.1300019069563696, 0.3072765618912659, -3.8728928214326293]",50,100,16.16
GWO,51,-249554.73432844505,-9178.145542800032,"[5.0, 0.5601465892447443, 0.13019506365555797, 41.43900534372889, 2.2918889014615385, 0.3077625348743625, -4.0]",50,100,15.7
GWO,53,-249554.73432844505,-9181.19522451964,"[5.0, 0.8655070526872581, 0.08996417428883847, 30.841066523625386, 2.3979459778343264, 0.3075638768640677, -4.0]",50,100,15.0
GWO,52,-249554.73432844505,-9181.19522451964,"[5.0, 1.231459146547117, 0.33559024623267186, 63.52417986033951, 1.9628001869099443, 0.30727229769303455, -4.0]",50,100,15.93
GWO,54,-250773.36317043938,-8494.660099000004,"[5.122468961303387, 1.0969964664168723, 0.060337972596344984, 27.672894770131432, 1.6673825996303424, 0.30633116196500754, -4.0]",50,100,16.01
GWO,56,-113293.983063357,-5431.343686287805,"[5.0, 0.8021208997000352, 0.5, 26.32593772393707, 0.9297877185318196, 0.36041936039176753, -2.993650816956478]",50,100,15.43
GWO,55,-249554.73432844505,-8356.592633916503,"[5.0, 1.0838234098122252, 0.35626721927269694, 34.865489514394795, 1.7207289857053094, 0.307056852145778, -4.0]",50,100,16.37
GWO,58,-249554.73432844505,-8356.592633916503,"[5.0, 0.648551272941367, 0.18936961362951943, 29.84100048471314, 1.7921933468722127, 0.30710925266607797, -3.5196777036071762]",50,100,14.87
GWO,57,-200805.8641274357,-10467.146547786784,"[5.0, 0.9152251588948759, 0.5, 65.94896251628975, 2.3692509160871036, 0.3255799774707693, -4.0]",50,100,16.45
GWO,59,-250185.22977981853,-8180.469520277125,"[5.0, 0.9987406183248488, 0.06658630614472792, 25.90565198298886, 2.366741711191797, 0.30602708810860474, -4.0]",50,100,16.19
ABC,1,-241161.37833917254,-9178.145542800032,"[5.0, 1.2929571706035714, 0.07493034401240302, 143.41113553026037, 1.672890793150629, 0.3087678398865663, -4.0]",50,100,43.74
ABC,0,-216175.9667405768,-9178.145542800032,"[5.0, 1.3841360127862319, 0.18943972697357525, 35.126841864345764, 1.9826245580832973, 0.30938443819814604, -4.0]",50,100,47.96
ABC,4,-211484.6357805133,-7510.467582760631,"[5.113210543667641, 0.6924236843932623, 0.4737736439610325, 25.102191373177483, 2.2930243737722513, 0.2796753774043894, -3.9276127443930573]",50,100,43.68
ABC,3,-121821.96958913626,-11443.347515042273,"[7.797356492858258, 3.0, 0.11994614098397165, 194.35473094010482, 2.9376227575279787, 0.1516691949555684, -3.6726110291247704]",50,100,47.77
ABC,9,-97025.76023658717,-6419.964133983396,"[5.0, 0.7089927716362203, 0.30572269118732, 113.85938278513112, 1.9357943302491272, 0.17501519791387177, -3.615351270541939]",50,100,43.4
ABC,2,-225927.38626134454,-7684.742107889501,"[5.0, 0.5367212922157777, 0.11031096381013034, 97.87154424733166, 1.826982135129168, 0.2743435907964507, -3.9939998809943322]",50,100,49.0
ABC,5,-202147.89515821874,-7096.698118150822,"[5.0, 1.4132200574034042, 0.4476822991505645, 199.7353158219391, 1.6444224403230125, 0.26192991230413176, -4.0]",50,100,48.01
ABC,7,-195448.57558422716,-7149.676811689776,"[5.317733120982286, 0.7405788707019405, 0.35566073399053855, 200.0, 2.114162011834724, 0.243261992002248, -3.5001388543800824]",50,100,47.11
ABC,10,-214901.23999382128,-7194.250929090282,"[5.0, 1.2767195692578683, 0.1243436169459678, 128.83587267817975, 2.1235142317797706, 0.26056732385112297, -4.0]",50,100,45.23
ABC,6,-227145.7694920371,-7684.742107889501,"[5.0, 0.5326261104006669, 0.2689673356062521, 30.5470216250124, 1.567196403586868, 0.27438490847423946, -3.90095778134463]",50,100,48.57
ABC,8,-224638.90883990194,-7862.961155909019,"[5.0, 1.1961896587624214, 0.08408977642896104, 182.36363956577864, 2.091925424543046, 0.2709145502098357, -3.7244491380469285]",50,100,48.46
ABC,11,-192505.21419441127,-7049.109563508753,"[5.474226492665131, 0.9153263897473094, 0.27263085298698414, 61.24209259051022, 2.151353247243806, 0.25069590183511486, -3.9930531325108882]",50,100,48.5
ABC,12,-224638.90883990194,-7862.961155909019,"[5.0, 0.6472497402475801, 0.23794558685980421, 157.82417897126354, 2.324801434181704, 0.27070644661356114, -4.0]",50,100,42.68
ABC,13,-220321.39422066198,-10534.011054983961,"[5.0, 0.6270586753680472, 0.2860062100734291, 149.59297966415772, 1.7921451405473439, 0.3284554538767323, -4.0]",50,100,43.82
ABC,14,-174292.16850021528,-11992.088404272246,"[7.410335734425846, 2.788288751733171, 0.11731560974879854, 46.578552146593445, 2.923471287807958, 0.3636411023747121, -2.6836202654429497]",50,100,43.19
ABC,18,-105346.06824276842,-6419.964133983396,"[5.0, 0.67241464347478, 0.32141863299338574, 200.0, 1.5222249921244737, 0.1792313637487506, -3.688794511457682]",50,100,42.71
ABC,15,-205222.91988657007,-8420.997268962925,"[5.0, 0.8718527632816834, 0.1665053085049544, 91.11505180082902, 1.7637492709510827, 0.30418641993259943, -3.7747442479465034]",50,100,45.78
ABC,16,-231088.31595754056,-7783.293185754989,"[5.0, 0.6342841092744821, 0.07710508181940107, 93.34922133848694, 2.0238052742773682, 0.2726081987081978, -3.7709772218232223]",50,100,46.23
ABC,17,-229362.22373098586,-7597.128852371418,"[5.0, 0.9096916928285906, 0.19105538474907413, 72.40262347454481, 1.8596017691825015, 0.27884814501178073, -4.0]",50,100,46.58
ABC,20,-149375.8579534053,-12292.395884992009,"[8.923393281518562, 2.6060520466980437, 0.18085870436150223, 30.726544003933196, 2.5492620125157113, 0.5, -3.7313692530273412]",50,100,45.05
ABC,19,-210961.0880783461,-7224.9587295193405,"[5.0, 0.5376663936672278, 0.09107883921706902, 24.87954761598612, 2.4326596599969057, 0.260941827098781, -3.7638642424892685]",50,100,46.14
ABC,21,-233473.88341942104,-8047.508733536471,"[5.398221840210706, 1.367484774959058, 0.4615551534638723, 23.096814859245683, 1.6143028735648524, 0.30639215700178135, -3.759742349417322]",50,100,44.97
ABC,22,-220757.3389552133,-7739.543483223004,"[5.0, 1.0286681962738022, 0.17219721430314142, 22.399148126063615, 1.9212127701223465, 0.26148720307929735, -3.6055269476216987]",50,100,46.07
ABC,23,-86766.33926320121,-5308.88726439851,"[5.0, 1.7936996703003385, 0.2332640516005861, 118.15256632030562, 2.4601110751926187, 0.13538414697076442, -3.415866395927877]",50,100,44.86
ABC,24,-122044.62559775096,-7631.601339384375,"[7.840037341035488, 3.0, 0.2853205415821166, 57.5018751354453, 2.71688514241483, 0.4168434020343992, -4.0]",50,100,43.11
ABC,25,-212414.6481197516,-10534.011054983961,"[5.0, 0.7719233232089271, 0.43165038539789174, 157.43795107261846, 1.6691562270137488, 0.3276130413079636, -3.685073844558846]",50,100,42.97
ABC,26,-231444.61952840022,-7684.742107889501,"[5.0, 0.7793304159002942, 0.48702103566352195, 112.01400908277375, 2.4916412176295193, 0.27410302616474713, -4.0]",50,100,43.02
ABC,27,-228485.79855006226,-7707.275481533534,"[5.0, 1.0093653093490045, 0.2799942928485939, 20.0, 1.8654378771339886, 0.26899136401936796, -3.8106012768869375]",50,100,42.94
ABC,28,-209375.87350503332,-9633.115142075974,"[5.0, 0.9873071040021244, 0.45375084131238586, 31.540016999981276, 1.6447921293062207, 0.31454610621955215, -4.0]",50,100,46.02
ABC,29,-192505.21419441127,-7049.109563508753,"[5.0, 0.7776442340598799, 0.3304974748269814, 161.59082268990463, 2.0142773392277684, 0.2512183980777872, -4.0]",50,100,45.96
ABC,30,-113691.07140035614,-6023.835975542955,"[5.45278553128856, 0.7705622802862353, 0.3018281419420699, 133.19511299079178, 2.448519733475638, 0.12573122697451267, -2.7096806883257747]",50,100,46.52
ABC,31,-231444.61952840022,-7663.128353859493,"[5.275624004151818, 1.1740431775814961, 0.4988208619643729, 41.48195989849633, 1.60813101697532, 0.2737183817604654, -4.0]",50,100,45.64
ABC,33,-224047.49687254062,-11349.41097268398,"[8.865248335581352, 2.967714709611542, 0.0974701971736097, 90.84842274706622, 3.0, 0.21012196341158887, -4.0]",50,100,45.26
ABC,32,-210474.9754110236,-7224.9587295193405,"[5.0, 0.7328014773376831, 0.34692652897236215, 102.50314094161617, 1.7394113006901213, 0.265619246868192, -3.897413275399132]",50,100,46.22
ABC,34,-243687.57352123532,-11563.691154282067,"[8.72718404201434, 2.9740766666618557, 0.05715825868322194, 166.85843416135188, 2.898135727847003, 0.2109704050788862, -3.722414203142508]",50,100,45.89
ABC,35,-216504.3743328811,-7051.451816687797,"[5.0, 1.083469511900073, 0.2736116527749351, 122.49930116683512, 1.710543995141511, 0.2563712931674148, -3.7345787295401767]",50,100,45.34
ABC,36,-214675.69918867643,-9326.487874047249,"[5.0, 0.726265146252266, 0.3674684486314594, 20.0, 1.7437361238019666, 0.3077302732791405, -3.5331759196909633]",50,100,44.43
ABC,37,-126257.81004647122,-11134.02494996377,"[6.681703669572738, 2.848659119423084, 0.2034079535238342, 160.58782901501277, 2.6343974217491537, 0.1268216561515549, -2.5456853182722847]",50,100,43.57
ABC,38,-224638.90883990194,-7583.9450925659385,"[5.0, 0.9560221731872935, 0.09875531647266574, 147.98725388254272, 1.6646494352385848, 0.2700720077318152, -4.0]",50,100,43.4
ABC,39,-224638.90883990194,-7862.961155909019,"[5.0, 1.4523238386878243, 0.4519876794081543, 200.0, 1.9174495724434393, 0.27094642400047286, -3.5114176955354504]",50,100,43.07
ABC,41,-171447.33237985036,-12004.31512482274,"[6.822643676912467, 2.5470268679200214, 0.18451869454806635, 187.8126607127733, 2.96213168563039, 0.08429674243211345, -2.514109955874421]",50,100,44.81
ABC,40,-132789.45992168688,-5087.111338406437,"[5.0, 2.128016779526524, 0.18232507905082743, 20.0, 2.2699199546252693, 0.19237346631604998, -4.0]",50,100,47.22
ABC,42,-227145.7694920371,-7403.392563192901,"[5.0, 1.3039100381154851, 0.37506170776840264, 66.32866127639826, 2.1021416004129243, 0.2754701487965136, -4.0]",50,100,45.73
ABC,45,-227145.7694920371,-7403.392563192901,"[5.469979743622116, 1.060725541579939, 0.23246129233311913, 178.48723513740038, 2.2350388158359955, 0.27566541627329666, -4.0]",50,100,45.27
ABC,43,-240258.62040046725,-7403.392563192901,"[5.0, 1.0758327920709962, 0.11726322576587421, 69.62553169983096, 2.190579218147315, 0.2760414069516415, -4.0]",50,100,46.76
ABC,44,-224638.90883990194,-7862.961155909019,"[5.0, 1.0753745099625522, 0.4989834378298523, 161.04204649822861, 1.5579740150296826, 0.27040115171063, -4.0]",50,100,47.36
ABC,47,-241917.97129169002,-11563.691154282067,"[8.711328221631145, 2.685962282189326, 0.05, 100.88120606926535, 2.873910958085024, 0.43636420053446545, -4.0]",50,100,47.21
ABC,46,-224638.90883990194,-7583.9450925659385,"[5.133185360138903, 1.0940583228726868, 0.223597693119713, 142.13858072302682, 2.293692127812492, 0.2700248740188721, -4.0]",50,100,48.02
ABC,48,-228847.16957248253,-11399.784112983018,"[9.401464227474229, 2.726470192586976, 0.09240584210915372, 191.98323014186528, 2.5679298713482175, 0.4265425401665042, -3.6016730028338815]",50,100,46.96
ABC,49,-117051.54107023322,-7445.970281752665,"[8.00868735394701, 2.8640123265369994, 0.32011041775847937, 96.99299088109595, 2.6987165741948522, 0.4528730322276742, -4.0]",50,100,46.81
ABC,50,-157637.3373472737,-9120.448744561392,"[5.0, 1.2106546399453317, 0.1360156834984641, 147.65064032116763, 1.7096711310561488, 0.2936477940661251, -4.0]",50,100,47.22
ABC,51,-210588.24608477807,-9586.61277861103,"[5.0, 0.5334324294205888, 0.0916394067691787, 21.628075065234682, 1.585907109664154, 0.31414052475582016, -3.5834675773737343]",50,100,43.75
ABC,52,-240258.62040046725,-7403.392563192901,"[5.0, 0.9151243196018147, 0.21783468214559537, 175.47417159532606, 2.1342380316567526, 0.27703947278860946, -4.0]",50,100,42.65
ABC,54,-149375.8579534053,-12195.863250988383,"[8.622192962604842, 2.9203351312574206, 0.18112270106234746, 173.99656879100917, 2.540803809854865, 0.1171164206112103, -4.0]",50,100,41.97
ABC,53,-107298.31441760127,-4647.9408955152,"[5.0, 0.7758810113400064, 0.45889243474483926, 26.501005704722207, 0.9197660411068641, 0.05050412580715195, -3.084974400157547]",50,100,43.22
ABC,55,-208384.4518244176,-7935.690643605363,"[5.0, 1.2129896240467462, 0.15922860741516107, 20.0, 1.6448979072511436, 0.2856209906995881, -3.8545985049893634]",50,100,41.3
ABC,56,-198968.60492015316,-7149.676811689776,"[5.0, 0.9493118890129641, 0.0968342597372813, 71.96687680960781, 1.952486384814591, 0.23934887904384897, -4.0]",50,100,41.98
ABC,57,-224638.90883990194,-7862.961155909019,"[5.20813687871649, 1.416992798761399, 0.10407940907747082, 178.69332192161906, 1.8158684423860416, 0.27062640985068465, -4.0]",50,100,41.45
ABC,58,-242068.4839692259,-11563.691154282067,"[9.488205273594016, 2.6579964546787833, 0.06272686563175069, 195.00797916798209, 2.517602855805875, 0.13513113507698776, -3.788969107379283]",50,100,40.76
ABC,59,-213814.93661552848,-7906.767167031931,"[5.0, 1.3713538549730213, 0.18014482292080042, 151.5929098720329, 1.7763182454784028, 0.28529733635098264, -4.0]",50,100,40.9
