alg,seed,train,test,"theta [d1, t1, a1,  d2, t2, a2]",pop_size,gens,time(seconds)
PSO,29,-2.8530509550119636e-13,-0.00012030587717934787,"[5.0, 1.301456435408737, 0.2632318969024864, 160.5638269084923, 1.723404274823933, 0.45275283314724996, -0.6621792231859767]",50,100,19.19
PSO,31,-2.8530509550119636e-13,-0.00011603596173557132,"[5.0, 1.0554189473411326, 0.3456407073204846, 20.0, 1.6404424082254279, 0.45255564606957804, -1.1548623403066998]",50,100,19.34
PSO,34,-2.8530509550119636e-13,-0.00012030587717934787,"[5.0, 1.3659997407327227, 0.2427872199383415, 88.11612057608914, 1.8518859268674641, 0.4527285627962019, -0.6514010073334118]",50,100,19.08
PSO,33,-2.8530509550119636e-13,-0.00012030587717934787,"[5.0, 0.5911076163124475, 0.38572930814032663, 199.8633878183513, 2.2597790349793345, 0.4527516004172318, -1.3101395428077673]",50,100,19.44
PSO,35,-2.8530509550119636e-13,-0.00011285204898001934,"[5.0, 1.03311261944744, 0.4239880347808822, 116.30075333465467, 2.1254356573980253, 0.4525859358737614, -0.6284626536901671]",50,100,19.49
PSO,36,-2.8530509550119636e-13,-0.00011593567393169977,"[5.0, 1.3276567517562967, 0.05, 20.0, 2.2294484695621537, 0.452813387941577, -0.7511662165620129]",50,100,18.62
PSO,37,-2.8530509550119636e-13,-0.00011593567393169977,"[5.0, 0.8792542405806495, 0.5, 200.0, 1.7110003151718631, 0.45303068580499695, -0.9360823763726506]",50,100,18.71
PSO,38,-2.8530509550119636e-13,-0.00011593567393169977,"[5.0, 0.9512235653087429, 0.42344539842128703, 20.0, 1.8109575508308882, 0.45282025286352756, -0.800860798943694]",50,100,19.02
PSO,40,-2.8530509550119636e-13,-0.00011593567393169977,"[5.0, 1.1512589229022967, 0.12806703336368297, 24.741618668827428, 1.800837478717941, 0.45293458826164446, -1.3350890154510093]",50,100,19.04
PSO,39,-2.8530509550119636e-13,-0.00011593567393169977,"[5.0, 1.47787614331234, 0.14648401393696278, 179.3881088331648, 2.1149595413129894, 0.453000067461307, -1.1534297475163013]",50,100,19.46
PSO,42,-2.8530509550119636e-13,-0.00012030587717934787,"[5.340381019461853, 1.1408702551710483, 0.2343011058869306, 142.47762591915162, 2.2625490587987884, 0.4527025896044705, -0.5231661742357421]",50,100,18.67
PSO,45,-3.3287347264518187e-12,-0.00023637361528609248,"[6.141423966259467, 1.886822818120806, 0.4501130524635016, 134.70072531553663, 1.7294215602615297, 0.5, -0.982746185933031]",50,100,17.39
PSO,43,-2.8530509550119636e-13,-0.00011593567393169977,"[5.0, 1.2858697684821558, 0.05, 45.539554765010905, 2.2164654552330663, 0.4527964423422471, -0.7856082629952867]",50,100,18.91
PSO,41,-2.8530509550119636e-13,-0.00011285204898001934,"[5.0, 0.9655243544714879, 0.05, 130.01510607261716, 1.885544525686686, 0.4525784131029758, -0.8485949737168907]",50,100,19.29
PSO,44,-2.8530509550119636e-13,-0.00011285204898001934,"[5.0, 0.674608214094683, 0.47461721554310415, 185.83974583989146, 2.428510607480917, 0.4525546463016562, -1.2313073993228223]",50,100,18.86
PSO,47,-3.393654875902062e-11,-0.0013320872461029302,"[5.0, 0.0, 0.4441810501671877, 83.56616188824538, 2.025465087869811, 0.41361645316185996, -2.174489754451341]",50,100,18.66
PSO,46,-2.8530509550119636e-13,-0.00011593567393169977,"[5.0, 0.5321026736101018, 0.5, 200.0, 1.7692599267076408, 0.4529047514315954, -0.6383230000706619]",50,100,19.5
PSO,49,-2.8530509550119636e-13,-0.00011603596173557132,"[5.0, 0.8729720674567689, 0.45986227055455225, 77.01809971794572, 2.2351889308309154, 0.4526376194747347, -0.7685477463575721]",50,100,18.19
PSO,48,-2.8530509550119636e-13,-0.00012030587717934787,"[5.0, 0.7147470041609549, 0.5, 200.0, 1.9049237548822724, 0.45269285337397547, -0.7759375096877336]",50,100,18.9
PSO,50,-2.8530509550119636e-13,-0.00011593567393169977,"[5.0, 0.8897140898025857, 0.2789153111296044, 75.10888408729798, 2.24960262220456, 0.4529475874360097, -0.9204883777804371]",50,100,19.04
PSO,55,-2.8530509550119636e-13,-0.00011603596173557132,"[5.0, 0.7255251855174868, 0.092550835259854, 62.60351224404352, 2.4008228659702007, 0.45260301946752496, -1.0446377928610526]",50,100,18.52
PSO,54,-2.8530509550119636e-13,-0.00011603596173557132,"[5.0, 0.9178400449979613, 0.05206159415650642, 85.3731542375098, 2.061621368470671, 0.45262417321354953, -0.8060377379338727]",50,100,18.78
PSO,57,-2.8530509550119636e-13,-0.00012030587717934787,"[5.0, 0.9671997176125277, 0.479027003768176, 173.17209993192535, 1.9083227702845493, 0.4527050606569948, -0.551181193205289]",50,100,18.24
PSO,53,-2.8530509550119636e-13,-0.00011603596173557132,"[5.0, 0.7335811691573447, 0.3611160650078959, 200.0, 2.293983672700878, 0.45260369457681415, -1.137498767403641]",50,100,18.93
PSO,56,-2.8530509550119636e-13,-0.00012030587717934787,"[5.0, 1.4064674099814676, 0.3529732198197304, 189.47730604229625, 2.354684210281367, 0.45269237529034345, -0.7637554602632158]",50,100,18.4
PSO,51,-2.8530509550119636e-13,-0.00011593567393169977,"[5.0, 1.0721911085781686, 0.4577576898007831, 131.53778013627644, 1.9889527806720448, 0.4528404039315874, -0.6316699076932389]",50,100,19.42
PSO,52,-2.8530509550119636e-13,-0.00012030587717934787,"[5.0, 0.8167200364575631, 0.40643887822815167, 89.16387638210361, 2.007756344715792, 0.4527554524168204, -0.7467689113637213]",50,100,19.31
PSO,58,-2.8530509550119636e-13,-0.00011593567393169977,"[5.0, 1.089166064464577, 0.5, 169.63225759687168, 1.9656084748738705, 0.45296801280315596, -1.3496784426590924]",50,100,19.16
PSO,59,-2.8530509550119636e-13,-0.00011285204898001934,"[5.0, 0.6316537376021735, 0.26015712277380176, 200.0, 1.6809175727123395, 0.4525920733640725, -0.5300970098290867]",50,100,19.22
CAB,0,-74903.9152369254,-5791.880945643277,"[28.197686082555506, 1.9631067417496193, 0.22222671416999304, 28.779542248352005, 1.861158502853063, 0.2059160628876732, -2.6123487247806865]",50,100,18.89
CAB,1,-57023.72246313936,-4171.398390665237,"[41.83891139512613, 2.0943426965543943, 0.41285649860430085, 54.51619567485264, 2.343048014506331, 0.1255245909842052, -3.2876550530248534]",50,100,18.89
CAB,4,-72176.87829513215,-4522.259329479166,"[27.341935510029582, 2.3355560812468124, 0.2535944222276222, 176.99513386072942, 1.5139085159509278, 0.2017239176378852, -2.5424487421061484]",50,100,19.41
CAB,6,-54065.96919931491,-2936.809837942972,"[15.231942139262095, 1.5014879606451412, 0.3127162143979818, 179.97376016630756, 1.5015464513504444, 0.2985902984628211, -2.183311419103431]",50,100,19.36
CAB,2,-5212.329208899036,-1113.6556170293156,"[24.033661211301027, 1.7924433612365132, 0.47832546666370673, 139.08061658437703, 1.2041653430167982, 0.13852933941553405, -1.5630338322490336]",50,100,20.36
