alg,seed,train,test,theta,pop_size,gens,stalled_gens,tolerance,patience,fitness_history,time(seconds)
PSO,0,-4954.029422700862,-1760.7689908947934,"[4.858393933247841, 0.0, 0.5, 20.0, 0.0, 0.05, 12.0, 5.0]",50,13,10,0.0001,10,"[-2768.334743316961, -4699.906670805511, -4954.029422700862, -4954.029422700862, -4954.029422700862, -4954.029422700862, -4954.029422700862, -4954.029422700862, -4954.029422700862, -4954.029422700862, -4954.029422700862, -4954.029422700862, -4954.029422700862]",2.43
PSO,8,-6609.344261904137,-2025.2998919063282,"[4.9705990956260075, 0.0, 0.4617876689022806, 20.0, 0.0, 0.2951485074700413, 12.0, 13.915211896663426]",50,16,10,0.0001,10,"[-2894.1399620403963, -3074.128960464773, -4574.308913583034, -4742.840048408684, -5845.544665838571, -6609.344261904137, -6609.344261904137, -6609.344261904137, -6609.344261904137, -6609.344261904137, -6609.344261904137, -6609.344261904137, -6609.344261904137, -6609.344261904137, -6609.344261904137, -6609.344261904137]",2.52
PSO,7,-5024.526921215527,-1701.840501356988,"[2.0, 0.0, 0.05, 20.0, 0.0, 0.5, 6.954333180649957, 13.090311698568117]",50,14,10,0.0001,10,"[-2508.0539611964373, -2739.187015911931, -3357.79989565288, -5024.526921215527, -5024.526921215527, -5024.526921215527, -5024.526921215527, -5024.526921215527, -5024.526921215527, -5024.526921215527, -5024.526921215527, -5024.526921215527, -5024.526921215527, -5024.526921215527]",2.57
PSO,1,-6609.344261904137,-2025.2998919063282,"[4.59636136591814, 0.0, 0.4110717593989323, 20.0, 0.0, 0.4263506598571361, 12.0, 14.313435426070894]",50,15,10,0.0001,10,"[-3128.921364915264, -4627.084611326053, -5024.9635411941435, -5771.890029714407, -6609.344261904137, -6609.344261904137, -6609.344261904137, -6609.344261904137, -6609.344261904137, -6609.344261904137, -6609.344261904137, -6609.344261904137, -6609.344261904137, -6609.344261904137, -6609.344261904137]",2.75
PSO,2,-3418.672164286087,-663.1899541405265,"[8.609663526315824, 0.0, 0.3189113279565625, 153.47876595974125, 0.0, 0.18666974236034586, 12.0, 9.42221199768671]",50,18,10,0.0001,10,"[-2599.6710105429584, -3229.1779308164105, -3229.1779308164105, -3229.1779308164105, -3229.1779308164105, -3379.082395652651, -3379.082395652651, -3418.672164286087, -3418.672164286087, -3418.672164286087, -3418.672164286087, -3418.672164286087, -3418.672164286087, -3418.672164286087, -3418.672164286087, -3418.672164286087, -3418.672164286087, -3418.672164286087]",2.76
PSO,9,-6701.393852053774,-1208.9831441756482,"[8.66059306455943, 0.0, 0.348586784310102, 20.0, 0.0, 0.07291588221546841, 8.266443363633524, 15.0]",50,13,10,0.0001,10,"[-2855.296533067416, -4556.678221986342, -6701.393852053774, -6701.393852053774, -6701.393852053774, -6701.393852053774, -6701.393852053774, -6701.393852053774, -6701.393852053774, -6701.393852053774, -6701.393852053774, -6701.393852053774, -6701.393852053774]",2.66
PSO,10,-6701.393852053774,-1208.9831441756482,"[9.068542877890785, 0.0, 0.49217791134884686, 20.0, 0.0, 0.30158192399186035, 7.796753797518067, 15.0]",50,14,10,0.0001,10,"[-3064.11826211414, -4902.746273068077, -5873.408553159652, -6701.393852053774, -6701.393852053774, -6701.393852053774, -6701.393852053774, -6701.393852053774, -6701.393852053774, -6701.393852053774, -6701.393852053774, -6701.393852053774, -6701.393852053774, -6701.393852053774]",2.77
PSO,4,-6609.344261904137,-2025.2998919063282,"[4.779087815522202, 0.0, 0.2694722662881671, 20.0, 0.0, 0.3632550394278889, 12.0, 14.411223258368402]",50,18,10,0.0001,10,"[-2496.3308880021054, -2917.206961088922, -3887.4099869325933, -5050.5223216568975, -5845.544665838571, -5845.544665838571, -5994.467111322059, -6609.344261904137, -6609.344261904137, -6609.344261904137, -6609.344261904137, -6609.344261904137, -6609.344261904137, -6609.344261904137, -6609.344261904137, -6609.344261904137, -6609.344261904137, -6609.344261904137]",3.22
PSO,3,-6609.344261904137,-2025.2998919063282,"[4.99747745946558, 0.0, 0.3785468799968663, 20.0, 0.0, 0.17584149347914313, 12.0, 14.274617650116603]",50,18,10,0.0001,10,"[-2349.16421628556, -3049.8850741519445, -3049.8850741519445, -3640.530870611387, -4435.452832221519, -4824.349547155716, -5627.774447167646, -6609.344261904137, -6609.344261904137, -6609.344261904137, -6609.344261904137, -6609.344261904137, -6609.344261904137, -6609.344261904137, -6609.344261904137, -6609.344261904137, -6609.344261904137, -6609.344261904137]",3.36
PSO,11,-6609.344261904137,-2025.2998919063282,"[4.928799382517964, 0.0, 0.5, 20.0, 0.0, 0.4127115340281735, 12.0, 13.785647270182306]",50,13,10,0.0001,10,"[-2636.5193172146282, -5024.9635411941435, -6609.344261904137, -6609.344261904137, -6609.344261904137, -6609.344261904137, -6609.344261904137, -6609.344261904137, -6609.344261904137, -6609.344261904137, -6609.344261904137, -6609.344261904137, -6609.344261904137]",2.66
