alg,seed,train,test,"theta [d1, t1, a1,  d2, t2, a2, shift]",pop_size,gens,time(seconds)
PSO,7,-2.8530509550119636e-13,-0.00012030587717934787,"[5.0, 1.4673719543445396, 0.16089856687101847, 137.44027813640386, 2.4907665233357186, 0.4527601714576344, -1.3876119184148483]",100,100,36.09
PSO,0,-2.8530509550119636e-13,-0.00011285204898001934,"[5.0, 0.5326282995894017, 0.4974590350918723, 47.3843385389287, 2.118538790034922, 0.4525427751717544, -1.4036884512449632]",100,100,37.08
PSO,10,-2.8530509550119636e-13,-0.00012030587717934787,"[5.0, 1.2821378078695482, 0.05, 20.0, 2.15403144292949, 0.45272916855022644, -1.230098240057201]",100,100,37.52
PSO,5,-2.8530509550119636e-13,-0.00011593567393169977,"[5.0, 1.0560555435872796, 0.4859647579596236, 20.0, 1.8357453611017496, 0.45281338471001914, -0.8007324664544997]",100,100,37.82
PSO,9,-2.8530509550119636e-13,-0.00011603596173557132,"[5.0, 1.3378290001282254, 0.05, 137.40200035401088, 1.9120814976794585, 0.45267376096049855, -0.5878567902765397]",100,100,37.98
PSO,6,-2.8530509550119636e-13,-0.00012030587717934787,"[5.0, 1.4473663663827478, 0.4801196613916421, 108.22151069856446, 2.008807096682851, 0.452742217207857, -0.6759509272942258]",100,100,38.14
PSO,3,-2.8530509550119636e-13,-0.00011603596173557132,"[5.0, 0.7739237865334915, 0.14599015355385014, 20.0, 2.327634409621105, 0.45260382289723605, -0.6962605360547748]",100,100,38.19
PSO,2,-2.8530509550119636e-13,-0.00012030587717934787,"[5.344062455158777, 0.5210332805217547, 0.44896973579831945, 37.33926886206292, 1.5654024986767112, 0.4526886891371807, -1.4634450790176246]",100,100,38.28
PSO,1,-2.8530509550119636e-13,-0.00011593567393169977,"[5.0, 0.6442562811999661, 0.5, 92.2595384293794, 1.7306728611837514, 0.45296819577126546, -0.9000926580212067]",100,100,38.38
PSO,4,-2.8530509550119636e-13,-0.00011593567393169977,"[5.0, 1.1569505268999216, 0.05, 20.0, 2.1571932090628305, 0.45282024234009566, -0.8811716744276078]",100,100,38.73
PSO,11,-2.8530509550119636e-13,-0.00012030587717934787,"[5.0, 1.3682789628676462, 0.050270532791369234, 140.77955699627262, 2.3045947788210173, 0.45273081479256777, -0.8743395082788128]",100,100,38.86
PSO,8,-2.8530509550119636e-13,-0.00011593567393169977,"[5.0, 1.1405899761751312, 0.36964319978744253, 69.3871955806113, 1.641360397943245, 0.4527799011073465, -1.0518102408043488]",100,100,39.26
PSO,12,-2.8530509550119636e-13,-0.00011593567393169977,"[5.0, 1.458387886843778, 0.05204687753924964, 200.0, 1.8241012606351061, 0.4529898486708639, -1.453444212123984]",100,100,37.85
PSO,14,-2.8530509550119636e-13,-0.00011285204898001934,"[5.0, 1.075448469789805, 0.38740075687639397, 49.79263902304252, 2.001173246079577, 0.45257731653400063, -1.2594756197440193]",100,100,37.31
PSO,16,-2.8530509550119636e-13,-0.00011593567393169977,"[5.0, 1.4000121019709562, 0.5, 131.3043166656081, 1.9552498016693942, 0.4528884055173388, -0.7719388754927002]",100,100,36.88
PSO,13,-2.8530509550119636e-13,-0.00011603596173557132,"[5.0, 0.7429951113221263, 0.43498681152644975, 74.51730737819054, 2.181461146568933, 0.4526657241160538, -1.405276948342245]",100,100,37.91
PSO,18,-4.528727740020224e-13,-0.00013777006485703777,"[5.0, 2.1045234024371933, 0.4077318860342775, 35.67745426243862, 2.0035197194067162, 0.5, -0.9480080356426737]",100,100,36.85
PSO,17,-2.8530509550119636e-13,-0.00012030587717934787,"[5.0, 1.1241335771765302, 0.404216348621684, 57.62370024024064, 2.4443661175940683, 0.45270881120574624, -0.6393475073117262]",100,100,37.09
PSO,15,-2.8530509550119636e-13,-0.00011593567393169977,"[5.0, 0.9622604756823462, 0.5, 98.26008482961288, 1.9758440629281495, 0.4528281959540366, -0.5634732895150373]",100,100,37.95
PSO,20,-2.8530509550119636e-13,-0.00011603596173557132,"[5.0, 0.9903836242207524, 0.05, 40.387370103247534, 2.4128669218458736, 0.45264185394328915, -1.4975946243897262]",100,100,37.45
PSO,19,-4.528727740020224e-13,-0.00013777006485703777,"[5.0, 2.1737666751543565, 0.4077454701075996, 40.62855993838513, 2.1994213368359907, 0.5, -1.1591908891843345]",100,100,38.44
