alg,seed,train,test,theta,pop_size,gens,stalled_gens,tolerance,patience,fitness_history,time(seconds)
CAB,4,-1152.3395946269718,-1000.0,"[24.0216871618276, 1.503083269309343, 0.09229197584216206, 142.05517306462664, 2.746122507670039, 0.12722480702552427, 8.511881549562801, 2.0310898304908935]",50,11,10,0.0001,10,"[-1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718]",4.43
CAB,5,-1150.790079252918,-1000.0,"[15.523575842515527, 1.1640309854167208, 0.47637125153343657, 87.3757344311011, 2.638856443391432, 0.23835832364724857, 5.241097151476911, 4.529993447068658]",50,11,10,0.0001,10,"[-1150.790079252918, -1150.790079252918, -1150.790079252918, -1150.790079252918, -1150.790079252918, -1150.790079252918, -1150.790079252918, -1150.790079252918, -1150.790079252918, -1150.790079252918, -1150.790079252918]",4.51
CAB,6,-1152.3395946269718,-1000.0,"[21.81009917429372, 1.3456862013262108, 0.16682557247291568, 176.97880682434675, 2.655823261663061, 0.40281505146383023, 7.841199629380346, 2.2921592885046236]",50,11,10,0.0001,10,"[-1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718]",4.71
CAB,7,-1152.3395946269718,-1000.0,"[26.37893077379777, 1.9767642503153062, 0.09416580049249373, 172.06814867618604, 2.79712618519243, 0.4266539373302785, 6.431765580905576, 3.1028877644433557]",50,13,10,0.0001,10,"[-1151.9118923832386, -1151.9118923832386, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718]",5.19
CAB,2,-1152.3395946269718,-1000.0,"[23.41650852792892, 1.1661704515621623, 0.46598037524736247, 127.89912926772114, 2.9266211080246745, 0.11670034076666967, 8.180654792381747, 6.029785268689145]",50,20,10,0.0001,10,"[-1148.5000664712559, -1148.5000664712559, -1148.5000664712559, -1148.5000664712559, -1148.5000664712559, -1148.5000664712559, -1148.5000664712559, -1148.5000664712559, -1148.5000664712559, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718]",8.82
CAB,8,-1152.3395946269718,-1000.0,"[22.708104106378094, 0.9328277720522974, 0.18790550073158266, 160.78046351895603, 2.923463938461513, 0.32651087318281596, 4.53988350308884, 5.1458350654287734]",50,11,10,0.0001,10,"[-1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718]",4.63
CAB,9,-1150.790079252918,-1000.0,"[14.720285593273626, 1.3587273222111937, 0.2720634493626672, 120.44489181324509, 2.704592852723885, 0.058057213407305956, 6.666819275174269, 2.5286217242159084]",50,11,10,0.0001,10,"[-1150.790079252918, -1150.790079252918, -1150.790079252918, -1150.790079252918, -1150.790079252918, -1150.790079252918, -1150.790079252918, -1150.790079252918, -1150.790079252918, -1150.790079252918, -1150.790079252918]",4.59
CAB,10,-1151.9118923832386,-1000.0,"[16.872747270840705, 0.8322042870427181, 0.06974824472507289, 43.81234157454925, 2.8970078859050012, 0.24920249174538353, 3.9891569380495033, 2.5971227242858976]",50,11,10,0.0001,10,"[-1151.9118923832386, -1151.9118923832386, -1151.9118923832386, -1151.9118923832386, -1151.9118923832386, -1151.9118923832386, -1151.9118923832386, -1151.9118923832386, -1151.9118923832386, -1151.9118923832386, -1151.9118923832386]",4.58
CAB,11,-1152.3395946269718,-1000.0,"[22.698912472943377, 0.5869584898359629, 0.07786410581680366, 127.71057931832686, 2.687273255223845, 0.06212453512311626, 7.830815939350016, 3.3311901170983855]",50,11,10,0.0001,10,"[-1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718]",4.56
CAB,12,-1150.790079252918,-1000.0,"[13.732197344321108, 0.9716851564022283, 0.12661082220362208, 160.46890423275886, 2.7435737617667764, 0.37799212183754305, 6.601708725402322, 6.980177092090122]",50,11,10,0.0001,10,"[-1150.790079252918, -1150.790079252918, -1150.790079252918, -1150.790079252918, -1150.790079252918, -1150.790079252918, -1150.790079252918, -1150.790079252918, -1150.790079252918, -1150.790079252918, -1150.790079252918]",4.6
CAB,13,-1152.3395946269718,-1000.0,"[23.194455716720682, 0.9140472064054849, 0.37146824600146877, 164.18592929432054, 2.8894633706859354, 0.12688482245602833, 4.576656172143158, 4.715028567968872]",50,11,10,0.0001,10,"[-1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718]",5.01
CAB,14,-1152.3395946269718,-1000.0,"[22.015959728566045, 0.7341748822679202, 0.14308366267081357, 195.80178246446485, 2.593612514293147, 0.0851910870179234, 3.9197808678221016, 8.621912414081327]",50,11,10,0.0001,10,"[-1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718]",4.63
CAB,17,-1146.8440987933898,-1000.0,"[19.290412569497477, 1.6525119783205056, 0.37224287560224506, 108.10167210610324, 2.5244939943254523, 0.20657781708293227, 6.288270135052268, 5.531075035570591]",50,11,10,0.0001,10,"[-1146.8440987933898, -1146.8440987933898, -1146.8440987933898, -1146.8440987933898, -1146.8440987933898, -1146.8440987933898, -1146.8440987933898, -1146.8440987933898, -1146.8440987933898, -1146.8440987933898, -1146.8440987933898]",4.94
CAB,18,-1152.3395946269718,-1000.0,"[21.606761369019893, 1.4603041537669843, 0.13222477324387108, 151.50465384472912, 2.9270914528910787, 0.4962623152423627, 7.714635598417485, 2.013806590337073]",50,11,10,0.0001,10,"[-1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718]",4.85
CAB,15,-1152.3395946269718,-1000.0,"[19.13725979695197, 1.6708380005206411, 0.06201822717608547, 138.67132981027814, 2.6459210474942627, 0.3180823590375902, 6.048024294098764, 4.522433491249108]",50,14,10,0.0001,10,"[-1150.5840066200149, -1150.5840066200149, -1150.5840066200149, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718]",6.07
CAB,16,-1152.3395946269718,-1000.0,"[20.832170640479195, 2.4905570923190945, 0.0861225209674138, 195.3961561526014, 2.6324899989964585, 0.4822816277768473, 8.769775323242351, 6.378299029072316]",50,15,10,0.0001,10,"[-1151.9118923832386, -1151.9118923832386, -1151.9118923832386, -1151.9118923832386, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718]",6.5
GWO,0,-1152.3395946269718,-1000.0,"[20.999798828401023, 0.9010058238047866, 0.2911005669271102, 200.0, 3.0, 0.17663896894505457, 5.643376379943301, 7.60059552593849]",50,13,10,0.0001,10,"[-1146.8440987933898, -1151.9118923832386, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718]",5.1
GWO,1,-1152.3395946269718,-1000.0,"[22.67592984462006, 0.6283646706347178, 0.0879692416290729, 200.0, 3.0, 0.19945843083775272, 4.870625149173999, 2.958881002496111]",50,12,10,0.0001,10,"[-1151.9118923832386, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718]",4.52
CAB,19,-1152.3395946269718,-1000.0,"[25.0062282494654, 1.6065508453487094, 0.08249538903878843, 132.9648420148616, 2.820667900483783, 0.40216918950917185, 3.308649501137228, 3.0605623401358244]",50,13,10,0.0001,10,"[-1151.9118923832386, -1151.9118923832386, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718]",5.67
GWO,2,-1152.3395946269718,-1000.0,"[23.001320328680332, 0.5518957776604759, 0.47680870758599925, 53.11863591221953, 3.0, 0.22106203243188505, 8.13229654059908, 5.989780731531361]",50,12,10,0.0001,10,"[-1148.5000664712559, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718]",4.54
GWO,4,-1152.3395946269718,-1000.0,"[24.0216871618276, 1.503083269309343, 0.09229197584216206, 142.05517306462664, 2.746122507670039, 0.12722480702552427, 8.511881549562801, 2.0310898304908935]",50,11,10,0.0001,10,"[-1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718]",4.44
GWO,3,-1152.3395946269718,-1000.0,"[21.08401386165269, 1.2281895450554905, 0.05, 148.15137556039443, 2.7816281953407533, 0.34876654036330884, 6.303497162579224, 7.289042834757036]",50,12,10,0.0001,10,"[-1151.9118923832386, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718]",4.55
GWO,5,-1152.3395946269718,-1000.0,"[14.651770998621672, 1.5505487880385835, 0.08133504750712411, 20.0, 3.0, 0.17165228588841686, 6.722051284205105, 7.023058810105187]",50,12,10,0.0001,10,"[-1150.790079252918, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718]",4.6
GWO,6,-1152.3395946269718,-1000.0,"[21.81009917429372, 1.3456862013262108, 0.16682557247291568, 176.97880682434675, 2.655823261663061, 0.40281505146383023, 7.841199629380346, 2.2921592885046236]",50,11,10,0.0001,10,"[-1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718]",4.55
