alg,seed,train,test,"theta [d1, t1, a1,  d2, t2, a2, shift]",pop_size,gens,time(seconds)
PSO,4,-29.26219647159464,-596.1535756398941,"[45.66593602010059, 1.2424270457209776, 0.25869448772110626, 48.42702224632606, 0.12765542066264857, 0.5, 0.9528626388314616, 0.0]",60,80,4.37
PSO,2,-29.26219647159464,-1000.0,"[46.89575932512218, 0.876489888179905, 0.1763957827206613, 41.63921505201027, 0.0, 0.14187514319727418, 2.3413948137589564, 0.0]",60,80,4.51
PSO,1,-29.26219647159464,-195.03362235245473,"[22.589755518628515, 0.4935365356014453, 0.21963717985238868, 104.85105864580504, 1.4243025304028936, 0.5, 2.240990130476309, 0.0]",60,80,4.65
PSO,5,-8.423012348572236,-587.3356197402379,"[24.578903256528214, 1.882744645020134, 0.1411681207242951, 67.13665220669444, 1.7015430461137637, 0.20759932105672718, 0.8726221829605099, 0.7979249528489009]",60,80,4.9
PSO,0,-10.988495191469072,-848.8129264486823,"[42.939223449848086, 1.8584782590956241, 0.05, 54.99944811084721, 0.3369786074299519, 0.4956407867523031, 1.8495091273355144, 0.5565828377536864]",60,80,5.0
PSO,7,-10.676680348029084,-344.0835434339198,"[33.215878481232245, 0.8464399840972208, 0.1664586377438418, 62.37412098524621, 1.7048555047999079, 0.4634036238685434, 0.6647473278251483, 0.890371767746552]",60,80,4.98
PSO,6,-8.78543601458142,-223.4855416385419,"[29.81368150796307, 2.13196789695867, 0.1419873859149268, 105.0309587614956, 2.2713134299306548, 0.28326118405639916, 1.155966553701802, 2.5704429851917046]",60,80,5.45
PSO,3,-10.008261561909121,-362.08683069721377,"[26.296654770318646, 0.6551461196814454, 0.39892763964099937, 22.442321906165123, 2.1100064645498238, 0.30885421371874583, 1.4692970753599965, 0.6159228802371242]",60,80,5.5
PSO,8,-31.114191579245237,-1000.0,"[24.19067279870682, 1.4961343581947066, 0.48393099733405176, 103.2718445820079, 1.1098577641119303, 0.4524686728123488, 4.664775878019402, 0.0]",60,80,4.75
PSO,12,-29.980908652873126,-180.88283254435223,"[17.937306542824338, 2.27252887615301, 0.05, 104.27008082741257, 0.7717087804371698, 0.5, 4.1036017206671795, 0.0]",60,80,4.7
