alg,seed,train,test,"theta [d1, t1, a1,  d2, t2, a2, shift]",pop_size,gens,time(seconds)
PSO,2,-46.944008252682714,-1000.0,"[50.0, 0.0, 0.4430023171879848, 26.820495216253747, 3.0, 0.3570286437053328, 5.651866491878499, 2.178182932697313]",30,50,1.15
PSO,1,-29.26219647159464,-1000.0,"[33.67172203525264, 1.4423365102864485, 0.4490835731152399, 59.88879119288765, 1.2929054312009152, 0.3106735445210069, 2.2181143407469284, 0.0]",30,50,1.39
PSO,0,-29.5837829843166,-181.20908392887517,"[23.32323635378424, 0.4029920297866683, 0.3980655551791632, 102.77803480031393, 1.6311338333909646, 0.05, 4.802334506157008, 0.0]",30,50,1.45
PSO,4,-32.63058543778802,-180.11527332673074,"[16.360659311287492, 1.940939377513797, 0.4445999710131097, 116.17326204704086, 0.9974794854073269, 0.06893652727383531, 4.897006475008387, 0.08964439953473402]",30,50,1.5
PSO,7,-30.70952758890181,-199.6787722499832,"[27.853394394519785, 3.0, 0.17192081908261214, 142.95062635899234, 3.0, 0.05, 6.0, 0.0]",30,50,1.62
PSO,6,-15.906595313511337,-201.7677496060756,"[45.024205833208974, 0.255848797652345, 0.1261604243099707, 98.35590386023644, 0.9538238862668103, 0.33020975647205514, 1.2092776310492277, 1.4710450189594533]",30,50,1.64
PSO,3,-7.133464974517018,-382.50296845084864,"[25.664370554003764, 2.4848115213220083, 0.08265277345526008, 107.44075749799248, 2.052312046882138, 0.30725979490603494, 0.5772303547806981, 0.8704458018303194]",30,50,1.68
PSO,5,-18.134867039460314,-1304.8643022821689,"[40.0293559727446, 2.8862873922820538, 0.18069818288267492, 181.09124167953524, 2.69011237880887, 0.05, 3.3889939385730776, 0.9695885066122242]",30,50,1.73
PSO,8,-29.980908652873126,-156.70653716096686,"[40.218312739422636, 3.0, 0.3203589402426214, 115.31453672851664, 3.0, 0.3328797791567747, 2.3452187248153264, 0.0]",30,50,1.57
PSO,9,-29.980908652873126,-1000.0,"[19.004012392078373, 2.4083679908634372, 0.05, 103.9728785814352, 0.7597536908830912, 0.23018117990739262, 3.350960932835811, 0.0]",30,50,1.46
PSO,10,-29.26219647159464,-766.1112700051041,"[20.128886047848518, 0.21061280119856596, 0.3513064835881847, 100.42922803599673, 0.8639970870051279, 0.4184491598528619, 2.287284771388386, 0.0]",30,50,1.46
PSO,11,-29.26219647159464,-157.52738919369605,"[27.69789244372456, 0.9948382675134749, 0.5, 20.0, 0.6649669534264244, 0.1110711424804568, 1.0977785836497331, 0.0]",30,50,1.45
PSO,12,-32.63058543778802,-1000.0,"[28.923243095860023, 2.1150024072614944, 0.31532176830042863, 111.2608335855412, 0.9864516352759198, 0.2895543956116903, 4.013293462556072, 0.0]",30,50,1.56
PSO,14,-12.030133047778348,-1322.5423961640836,"[28.43481706778144, 1.2278599635569223, 0.13802538382431642, 43.68817501668426, 2.2414915470780006, 0.17261519811770787, 2.840447361040433, 0.809492751833591]",30,50,1.65
PSO,15,-29.980908652873126,-156.70653716096686,"[42.29117579382413, 3.0, 0.3916468357644984, 175.35686866016485, 3.0, 0.270523671815023, 2.1180351237945834, 0.0]",30,50,1.61
PSO,13,-14.444309508529678,-1042.406600828044,"[28.136327745260946, 1.002277835961874, 0.3449248039558434, 54.619342693866834, 2.1729096396299545, 0.17431848016754384, 5.270646193640929, 1.1289750685872455]",30,50,1.75
PSO,16,-29.26219647159464,-137.00132230305306,"[16.02574740079327, 0.013150415582728392, 0.3252726505783116, 56.761356588443114, 0.10509678769318834, 0.14381405371124567, 1.836260519891245, 0.11257451424923373]",30,50,1.53
PSO,17,-32.63058543778802,-180.88283254435223,"[35.011483052870695, 1.8224016796108853, 0.30749224505630735, 107.25133390768383, 0.7066433648330857, 0.2508234085732828, 3.5320611503611152, 0.3965578220810362]",30,50,1.47
PSO,18,-29.26219647159464,-596.2125127991471,"[21.78310324525203, 1.2227179883044346, 0.2817627014393643, 74.64408968229392, 0.6785901650846847, 0.05928226386051971, 0.8266651531461155, 0.0]",30,50,1.47
PSO,19,-32.63058543778802,-569.542902531922,"[38.38644646686376, 1.8080318113954426, 0.4240608452795184, 105.33596454785956, 0.8289801079411583, 0.1627005263433976, 4.032387698129623, 0.0]",30,50,1.59
PSO,22,-48.52387695580189,-1000.0,"[19.754238707221067, 2.0584281298529197, 0.17575958484716875, 115.5551666258707, 3.0, 0.25735287382657046, 6.0, 4.604511870056944]",30,50,1.3
PSO,20,-10.676680348029084,-338.0273369786671,"[32.56517649844344, 1.48730206312409, 0.05, 200.0, 1.6351809306996925, 0.4669945791945114, 1.016890231043091, 1.2891320780606714]",30,50,1.81
PSO,21,-15.662349217218772,-1359.658092446305,"[28.462229602764065, 0.7904025178424685, 0.41940214281128674, 125.01252125224096, 1.6030850605488425, 0.24606515382066288, 4.615773364097132, 1.1773141973642354]",30,50,1.8
PSO,23,-9.790355676427415,-1457.9284197401296,"[40.030932877352846, 1.556498891246401, 0.11794284660166729, 20.0, 1.859220954029024, 0.36310504469247695, 0.5916292333250496, 1.0491394151145528]",30,50,1.75
PSO,25,-32.63058543778802,-171.82639571646186,"[46.34703262263335, 1.96481488807026, 0.45590312222213425, 123.2348328382267, 0.9056787739852858, 0.328810855336834, 5.853430035345173, 0.0]",30,50,1.53
PSO,24,-10.008261561909121,-278.7247096419426,"[26.235929098560064, 1.1551113157770352, 0.31595982121007926, 39.09602482739498, 2.193814362028396, 0.3108895719866448, 0.696569440654711, 1.1782322598644734]",30,50,1.72
PSO,26,-10.554920416224297,-686.571656041891,"[27.04002069934175, 0.5241479351263771, 0.1337211551324551, 111.78722085446164, 2.252274297321099, 0.25194792110419, 1.4479432022291427, 1.2421850771885783]",30,50,1.77
PSO,27,-14.444309508529678,-1042.406600828044,"[27.64543172260195, 1.3060470586908877, 0.23000018035177489, 108.1703381484301, 2.1159798184364904, 0.1743401184954556, 5.233522218055543, 1.1233448620550308]",30,50,1.79
PSO,28,-17.437097582778772,-1262.7646532040521,"[24.630255411846786, 1.7012426502433624, 0.05, 154.21906831896825, 1.8241714478429496, 0.33252794119332, 5.704583846870807, 3.2955072991167627]",30,50,1.86
PSO,29,-10.008261561909121,-278.7247096419426,"[26.440334891810917, 0.8224817281169612, 0.05, 200.0, 1.735092937060483, 0.30978678927606446, 1.3365453296066732, 1.3589564627489361]",30,50,1.79
PSO,30,-29.980908652873126,-156.70653716096686,"[39.86062126637188, 2.928914448889348, 0.32450488185817405, 200.0, 3.0, 0.35693989923524183, 2.2778091232114277, 0.0]",30,50,1.77
PSO,31,-11.697531727365838,-852.74980134466,"[27.131370332800127, 1.301706250031279, 0.4155223814038599, 109.90498419977688, 2.113919252391417, 0.2560863741777661, 2.0432000640742474, 1.0306492457416976]",30,50,1.82
PSO,33,-29.980908652873126,-180.88283254435223,"[17.963606804875198, 0.0, 0.12303397408616315, 107.44692749428397, 1.0544915361606964, 0.13442825714923834, 4.191756954548188, 0.0]",30,50,1.5
PSO,32,-14.444309508529678,-1042.406600828044,"[28.45506868073064, 0.6818593316741741, 0.0974427504045473, 122.28435882917807, 2.268212403311181, 0.17393196199160688, 5.042832427509889, 1.4614200628864005]",30,50,1.81
PSO,34,-32.63058543778802,-574.4751255150945,"[7.306589817264275, 1.7361773196527037, 0.4017367780655118, 108.29895031555324, 1.0874332441433232, 0.2544074189804894, 2.1286031384890967, 0.3781275785758639]",30,50,1.58
PSO,35,-29.26219647159464,-141.50915157821916,"[39.78317357918628, 1.3154768570218531, 0.3146624371500582, 53.39960817156576, 0.9147553736761154, 0.1643011333083667, 1.987151991148508, 0.0]",30,50,1.56
PSO,37,-46.888799536994725,-1000.0,"[49.79130714502232, 0.0, 0.05, 20.0, 2.714482308810929, 0.05, 1.2014388497888266, 5.952156743054073]",30,50,1.35
PSO,36,-14.444309508529678,-1062.943284472421,"[27.75017510951094, 0.6182040645483082, 0.18188035334693006, 166.06177508371363, 1.819675765894622, 0.17370066310903476, 5.101879102616749, 0.5218635405206488]",30,50,1.9
PSO,39,-7.139466068099371,-387.0649443073463,"[26.8860790710526, 1.8090486156451906, 0.09721384171577774, 52.864491252650055, 2.01061655348956, 0.2853187829055179, 0.6968160617410245, 1.3020763683393406]",30,50,1.7
PSO,38,-7.616127882003293,-306.0216494521214,"[26.08581194155696, 2.0353354698870056, 0.0655131440422414, 146.6142588767525, 1.7608976806497567, 0.3842828421486456, 0.7608207967140208, 3.0090913127543715]",30,50,1.86
PSO,40,-28.00964018987342,-194.61379205625178,"[43.772992659987196, 0.0, 0.09264559575282463, 83.97498502015829, 0.719545746284186, 0.42028862486213703, 2.572438810614596, 0.0]",30,50,1.47
PSO,41,-29.85523205904228,-183.7608898762861,"[50.0, 3.0, 0.11041335305827514, 124.3332813599558, 2.742079779436451, 0.05, 0.7211396673985973, 0.0009920224519031177]",30,50,1.6
PSO,42,-29.26219647159464,-180.88428576440282,"[22.09537008459833, 1.810370013894221, 0.06968207437819168, 200.0, 1.6972411012603685, 0.05, 1.6128893505594002, 0.0]",30,50,1.59
PSO,44,-41.95597987219464,-1303.373112871304,"[25.308728021207845, 3.0, 0.06089303855937343, 58.28251455315376, 3.0, 0.1041554860838761, 2.475748637812159, 6.0]",30,50,1.64
PSO,43,-19.152958977377263,-1374.3953234760518,"[28.30666027204287, 1.1315942342650334, 0.378607170642584, 162.54564286584082, 1.7331147121012034, 0.3270365107027278, 6.0, 3.075249354654455]",30,50,1.95
PSO,45,-14.444309508529678,-1042.406600828044,"[27.803913753339142, 0.7165793625704384, 0.4876353391392091, 77.10604191111182, 2.369751389848279, 0.1743394338149838, 4.814147565311468, 1.1529623826742794]",30,50,1.7
PSO,46,-17.423220054148448,-838.95839978383,"[14.451399970331295, 1.4893803032127504, 0.29365885257562574, 107.909136563675, 0.15767499156473663, 0.2656700646784484, 0.9414420749046976, 1.3018350095071296]",30,50,1.75
PSO,48,-31.114191579245237,-125.67838218775077,"[21.54461417419891, 1.4435568785597692, 0.15810903220234873, 24.185434573257893, 0.6255262806676476, 0.28173818090347746, 5.1556890310607155, 0.0]",30,50,1.62
PSO,49,-29.26219647159464,-195.03362235245473,"[21.220229527924875, 0.0, 0.10094939800717437, 106.59676506375884, 1.0975744325362216, 0.09252408682636529, 2.286920201081556, 0.0]",30,50,1.36
PSO,47,-13.779782628836395,-694.4425025677651,"[28.78978913576794, 0.6141636908751635, 0.09810761972328358, 118.47692806620223, 1.76282804198645, 0.12994976127755553, 5.291600139385525, 1.3063989946882881]",30,50,1.89
PSO,50,-11.869138428675512,-250.04493852798547,"[26.54079129571597, 0.8387422104121864, 0.4741595105003065, 59.51417365264697, 1.727926940166803, 0.43997395471604106, 0.7265308792468307, 2.809843567723439]",30,50,1.95
PSO,52,-29.26219647159464,-771.6444592198582,"[29.234054453061276, 1.3502468049933465, 0.24884416547381197, 60.46926495753654, 0.0, 0.47899052455283986, 2.4970065735366154, 0.0]",30,50,1.47
PSO,53,-31.114191579245237,-1000.0,"[19.496964396312485, 1.392705759386323, 0.19861127302337495, 105.55518202302557, 1.1538853535191478, 0.40257636850882744, 4.262852348271918, 0.06322656665235386]",30,50,1.47
PSO,51,-10.325962002886488,-164.03861858745447,"[29.710556908497, 0.9223632532041348, 0.16294728727610155, 35.35363720522012, 1.6271380648485818, 0.44586989118077625, 1.4265192973012326, 2.6811828115031644]",30,50,1.81
PSO,54,-29.980908652873126,-137.56318953232443,"[12.632967787587932, 0.0, 0.4759855604964121, 192.18432486616686, 1.8337387934564995, 0.05, 4.370629736723553, 0.0]",30,50,1.7
