alg,seed,train,test,"theta [d1, t1, a1,  d2, t2, a2, shift]",pop_size,gens,time(seconds)
PSO,2,-46.944008252682714,-1000.0,"[50.0, 0.0, 0.4430023171879848, 26.820495216253747, 3.0, 0.3570286437053328, 5.651866491878499, 2.178182932697313]",30,30,0.95
PSO,1,-29.26219647159464,-1000.0,"[33.67172203525264, 1.4423365102864485, 0.4490835731152399, 59.88879119288765, 1.2929054312009152, 0.3106735445210069, 2.2181143407469284, 0.0]",30,30,1.08
PSO,0,-29.5837829843166,-181.20908392887517,"[23.32323635378424, 0.4029920297866683, 0.3980655551791632, 102.77803480031393, 1.6311338333909646, 0.05, 4.802334506157008, 0.0]",30,30,1.11
PSO,4,-32.63058543778802,-180.11527332673074,"[16.360659311287492, 1.940939377513797, 0.4445999710131097, 116.17326204704086, 0.9974794854073269, 0.06893652727383531, 4.897006475008387, 0.08964439953473402]",30,30,1.1
PSO,7,-30.70952758890181,-199.6787722499832,"[27.853394394519785, 3.0, 0.17192081908261214, 142.95062635899234, 3.0, 0.05, 6.0, 0.0]",30,30,1.13
PSO,5,-18.134867039460314,-1304.8643022821689,"[40.0293559727446, 2.8862873922820538, 0.18069818288267492, 181.09124167953524, 2.69011237880887, 0.05, 3.3889939385730776, 0.9695885066122242]",30,30,1.24
PSO,6,-18.934429929583995,-156.37716370957355,"[44.49158953911004, 0.4727597753117932, 0.1288194494085017, 95.84029442393606, 0.9423847327302658, 0.3342102273348542, 1.165682788200698, 3.068397443575687]",30,30,1.26
PSO,3,-10.008261561909121,-278.7247096419426,"[25.90167845558785, 1.0621565398003254, 0.1226672644780538, 107.99205172271425, 2.0597995278217507, 0.3107833639406554, 1.416011842990063, 0.9264203437202121]",30,30,1.28
PSO,9,-29.980908652873126,-1000.0,"[19.004012392078373, 2.4083679908634372, 0.05, 103.9728785814352, 0.7597536908830912, 0.23018117990739262, 3.350960932835811, 0.0]",30,30,1.04
PSO,8,-31.09691974868929,-125.67838218775077,"[39.572409970010696, 3.0, 0.2561881382211684, 122.48157861912348, 3.0, 0.3855575166650108, 4.480481171592586, 0.0]",30,30,1.18
PSO,10,-29.26219647159464,-766.1112700051041,"[20.128886047848518, 0.21061280119856596, 0.3513064835881847, 100.42922803599673, 0.8639970870051279, 0.4184491598528619, 2.287284771388386, 0.0]",30,30,1.14
PSO,13,-15.662349217218772,-1359.658092446305,"[27.876853209216076, 1.0725176498399618, 0.344464010555632, 31.33371544675306, 2.171613249578965, 0.2437440059482483, 5.002632737616186, 1.1330030145052745]",30,30,1.09
PSO,12,-32.63058543778802,-1000.0,"[28.923243095860023, 2.1150024072614944, 0.31532176830042863, 111.2608335855412, 0.9864516352759198, 0.2895543956116903, 4.013293462556072, 0.0]",30,30,1.16
PSO,11,-29.26219647159464,-157.52738919369605,"[27.69789244372456, 0.9948382675134749, 0.5, 20.0, 0.6649669534264244, 0.1110711424804568, 1.0977785836497331, 0.0]",30,30,1.24
PSO,14,-15.662349217218772,-1359.658092446305,"[28.11786786227821, 1.1581792639454307, 0.1319443846268515, 34.33839620080583, 2.4721227098118748, 0.2454100253551996, 4.71796973723444, 1.1547196157754938]",30,30,1.1
PSO,15,-29.980908652873126,-156.70653716096686,"[42.29117579382413, 3.0, 0.3916468357644984, 175.35686866016485, 3.0, 0.270523671815023, 2.1180351237945834, 0.0]",30,30,1.16
PSO,16,-29.26219647159464,-137.00132230305306,"[16.02574740079327, 0.013150415582728392, 0.3252726505783116, 56.761356588443114, 0.10509678769318834, 0.14381405371124567, 1.836260519891245, 0.11257451424923373]",30,30,0.97
PSO,17,-32.63058543778802,-180.88283254435223,"[35.011483052870695, 1.8224016796108853, 0.30749224505630735, 107.25133390768383, 0.7066433648330857, 0.2508234085732828, 3.5320611503611152, 0.3965578220810362]",30,30,0.97
