alg,seed,train,test,"theta [d1, t1, a1,  d2, t2, a2, shift]",pop_size,gens,time(seconds)
PSO,2,-46.944008252682714,-1000.0,"[50.0, 0.0, 0.4430023171879848, 26.820495216253747, 3.0, 0.3570286437053328, 5.651866491878499, 2.178182932697313]",30,100,2.62
PSO,1,-29.26219647159464,-1000.0,"[33.67172203525264, 1.4423365102864485, 0.4490835731152399, 59.88879119288765, 1.2929054312009152, 0.3106735445210069, 2.2181143407469284, 0.0]",30,100,2.97
PSO,0,-29.5837829843166,-181.20908392887517,"[23.32323635378424, 0.4029920297866683, 0.3980655551791632, 102.77803480031393, 1.6311338333909646, 0.05, 4.802334506157008, 0.0]",30,100,3.0
PSO,4,-31.114191579245237,-171.82639571646186,"[18.677536907478043, 1.4964560977101278, 0.44424253617711484, 104.80798940876029, 1.0398643836806147, 0.05766756569207607, 5.635358288347624, 0.24855204054567448]",30,100,3.03
PSO,3,-7.133464974517018,-382.50296845084864,"[25.664370554003764, 2.4848115213220083, 0.08265277345526008, 107.44075749799248, 2.052312046882138, 0.30725979490603494, 0.5772303547806981, 0.8704458018303194]",30,100,3.25
PSO,7,-30.70952758890181,-199.6787722499832,"[27.853394394519785, 3.0, 0.17192081908261214, 142.95062635899234, 3.0, 0.05, 6.0, 0.0]",30,100,3.24
PSO,6,-15.906595313511337,-201.7677496060756,"[45.024205833208974, 0.255848797652345, 0.1261604243099707, 98.35590386023644, 0.9538238862668103, 0.33020975647205514, 1.2092776310492277, 1.4710450189594533]",30,100,3.36
PSO,5,-11.770767706739129,-1000.0,"[41.007037173492854, 2.8854246298577273, 0.18367367205911284, 121.4834022207493, 2.725107848969887, 0.05, 4.487009958314301, 0.6496380251434352]",30,100,3.52
PSO,8,-29.980908652873126,-156.70653716096686,"[40.218312739422636, 3.0, 0.3203589402426214, 115.31453672851664, 3.0, 0.3328797791567747, 2.3452187248153264, 0.0]",30,100,3.16
PSO,10,-29.26219647159464,-766.1112700051041,"[20.128886047848518, 0.21061280119856596, 0.3513064835881847, 100.42922803599673, 0.8639970870051279, 0.4184491598528619, 2.287284771388386, 0.0]",30,100,3.02
PSO,9,-29.980908652873126,-1000.0,"[19.004012392078373, 2.4083679908634372, 0.05, 103.9728785814352, 0.7597536908830912, 0.23018117990739262, 3.350960932835811, 0.0]",30,100,3.06
PSO,11,-29.26219647159464,-157.52738919369605,"[27.69789244372456, 0.9948382675134749, 0.5, 20.0, 0.6649669534264244, 0.1110711424804568, 1.0977785836497331, 0.0]",30,100,3.07
PSO,12,-32.63058543778802,-1000.0,"[28.923243095860023, 2.1150024072614944, 0.31532176830042863, 111.2608335855412, 0.9864516352759198, 0.2895543956116903, 4.013293462556072, 0.0]",30,100,3.11
PSO,13,-14.444309508529678,-1042.406600828044,"[28.136327745260946, 1.002277835961874, 0.3449248039558434, 54.619342693866834, 2.1729096396299545, 0.17431848016754384, 5.270646193640929, 1.1289750685872455]",30,100,3.54
PSO,14,-12.030133047778348,-1322.5423961640836,"[28.43481706778144, 1.2278599635569223, 0.13802538382431642, 43.68817501668426, 2.2414915470780006, 0.17261519811770787, 2.840447361040433, 0.809492751833591]",30,100,3.47
PSO,15,-29.980908652873126,-156.70653716096686,"[42.29117579382413, 3.0, 0.3916468357644984, 175.35686866016485, 3.0, 0.270523671815023, 2.1180351237945834, 0.0]",30,100,3.39
PSO,16,-29.26219647159464,-137.00132230305306,"[16.02574740079327, 0.013150415582728392, 0.3252726505783116, 56.761356588443114, 0.10509678769318834, 0.14381405371124567, 1.836260519891245, 0.11257451424923373]",30,100,3.0
PSO,18,-29.26219647159464,-596.2125127991471,"[21.78310324525203, 1.2227179883044346, 0.2817627014393643, 74.64408968229392, 0.6785901650846847, 0.05928226386051971, 0.8266651531461155, 0.0]",30,100,3.05
PSO,17,-32.63058543778802,-180.88283254435223,"[35.011483052870695, 1.8224016796108853, 0.30749224505630735, 107.25133390768383, 0.7066433648330857, 0.2508234085732828, 3.5320611503611152, 0.3965578220810362]",30,100,3.17
PSO,19,-32.63058543778802,-569.542902531922,"[38.38644646686376, 1.8080318113954426, 0.4240608452795184, 105.33596454785956, 0.8289801079411583, 0.1627005263433976, 4.032387698129623, 0.0]",30,100,3.11
PSO,22,-48.52387695580189,-1000.0,"[19.754238707221067, 2.0584281298529197, 0.17575958484716875, 115.5551666258707, 3.0, 0.25735287382657046, 6.0, 4.604511870056944]",30,100,2.69
PSO,20,-10.676680348029084,-338.0273369786671,"[32.56517649844344, 1.48730206312409, 0.05, 200.0, 1.6351809306996925, 0.4669945791945114, 1.016890231043091, 1.2891320780606714]",30,100,3.78
PSO,23,-9.457027076975189,-1457.9284197401296,"[39.31420981919729, 1.526853323768803, 0.11354523834880303, 20.0, 1.8589683790781912, 0.38033413688361145, 1.2443730381588316, 1.0751497178627538]",30,100,3.58
PSO,21,-9.900037896174313,-1819.0011132353009,"[19.762901995528182, 0.03851091535319007, 0.4137238974220393, 118.44787738149587, 1.8509043026780467, 0.18749472059132896, 4.690401612554146, 1.7492824948269758]",30,100,3.75
PSO,25,-32.63058543778802,-171.82639571646186,"[46.34703262263335, 1.96481488807026, 0.45590312222213425, 123.2348328382267, 0.9056787739852858, 0.328810855336834, 5.853430035345173, 0.0]",30,100,3.27
PSO,24,-10.008261561909121,-278.7247096419426,"[26.235929098560064, 1.1551113157770352, 0.31595982121007926, 39.09602482739498, 2.193814362028396, 0.3108895719866448, 0.696569440654711, 1.1782322598644734]",30,100,3.63
PSO,27,-14.444309508529678,-1042.406600828044,"[27.64543172260195, 1.3060470586908877, 0.23000018035177489, 108.1703381484301, 2.1159798184364904, 0.1743401184954556, 5.233522218055543, 1.1233448620550308]",30,100,3.63
PSO,26,-10.554920416224297,-686.571656041891,"[27.04002069934175, 0.5241479351263771, 0.1337211551324551, 111.78722085446164, 2.252274297321099, 0.25194792110419, 1.4479432022291427, 1.2421850771885783]",30,100,3.81
PSO,28,-17.437097582778772,-1262.7646532040521,"[24.630255411846786, 1.7012426502433624, 0.05, 154.21906831896825, 1.8241714478429496, 0.33252794119332, 5.704583846870807, 3.2955072991167627]",30,100,3.63
PSO,29,-10.008261561909121,-278.7247096419426,"[26.440334891810917, 0.8224817281169612, 0.05, 200.0, 1.735092937060483, 0.30978678927606446, 1.3365453296066732, 1.3589564627489361]",30,100,3.81
PSO,30,-29.980908652873126,-156.70653716096686,"[39.86062126637188, 2.928914448889348, 0.32450488185817405, 200.0, 3.0, 0.35693989923524183, 2.2778091232114277, 0.0]",30,100,3.66
PSO,31,-10.554920416224297,-686.571656041891,"[27.14969808313141, 1.3035066758477238, 0.4152756628401771, 110.02099640669037, 2.1084284994226326, 0.25174328860670375, 1.4950685944352786, 1.0489365631649994]",30,100,3.89
PSO,33,-29.980908652873126,-180.88283254435223,"[17.963606804875198, 0.0, 0.12303397408616315, 107.44692749428397, 1.0544915361606964, 0.13442825714923834, 4.191756954548188, 0.0]",30,100,3.17
PSO,34,-32.63058543778802,-574.4751255150945,"[7.306589817264275, 1.7361773196527037, 0.4017367780655118, 108.29895031555324, 1.0874332441433232, 0.2544074189804894, 2.1286031384890967, 0.3781275785758639]",30,100,3.14
PSO,35,-29.26219647159464,-141.50915157821916,"[39.78317357918628, 1.3154768570218531, 0.3146624371500582, 53.39960817156576, 0.9147553736761154, 0.1643011333083667, 1.987151991148508, 0.0]",30,100,3.08
PSO,32,-14.444309508529678,-1042.406600828044,"[28.45506868073064, 0.6818593316741741, 0.0974427504045473, 122.28435882917807, 2.268212403311181, 0.17393196199160688, 5.042832427509889, 1.4614200628864005]",30,100,3.78
PSO,37,-46.888799536994725,-1000.0,"[49.79130714502232, 0.0, 0.05, 20.0, 2.714482308810929, 0.05, 1.2014388497888266, 5.952156743054073]",30,100,2.61
PSO,36,-14.444309508529678,-1062.943284472421,"[27.75017510951094, 0.6182040645483082, 0.18188035334693006, 166.06177508371363, 1.819675765894622, 0.17370066310903476, 5.101879102616749, 0.5218635405206488]",30,100,3.73
PSO,38,-7.616127882003293,-306.0216494521214,"[26.08581194155696, 2.0353354698870056, 0.0655131440422414, 146.6142588767525, 1.7608976806497567, 0.3842828421486456, 0.7608207967140208, 3.0090913127543715]",30,100,3.85
PSO,39,-7.139466068099371,-387.0649443073463,"[26.8860790710526, 1.8090486156451906, 0.09721384171577774, 52.864491252650055, 2.01061655348956, 0.2853187829055179, 0.6968160617410245, 1.3020763683393406]",30,100,3.7
PSO,40,-25.50733804034582,-180.9131127869815,"[44.68613558314004, 0.001547060823042817, 0.10600299682083479, 88.3101929967289, 0.8346306888717361, 0.33844862536204434, 2.759162252945672, 0.0]",30,100,3.12
PSO,41,-28.657077016098675,-199.6787722499832,"[50.0, 3.0, 0.12854121869820115, 144.85766899362903, 2.601735217896668, 0.05, 1.5366465291076077, 0.0013906375610971346]",30,100,2.98
PSO,42,-29.26219647159464,-180.88428576440282,"[22.09537008459833, 1.810370013894221, 0.06968207437819168, 200.0, 1.6972411012603685, 0.05, 1.6128893505594002, 0.0]",30,100,3.24
PSO,44,-40.409042175239605,-1141.6864657939195,"[25.292074163100065, 3.0, 0.06124247024874857, 60.79739079753274, 3.0, 0.10194375100067815, 2.4208536597405015, 6.0]",30,100,3.32
PSO,43,-19.152958977377263,-1374.3953234760518,"[28.30666027204287, 1.1315942342650334, 0.378607170642584, 162.54564286584082, 1.7331147121012034, 0.3270365107027278, 6.0, 3.075249354654455]",30,100,3.94
PSO,45,-14.444309508529678,-1042.406600828044,"[27.803913753339142, 0.7165793625704384, 0.4876353391392091, 77.10604191111182, 2.369751389848279, 0.1743394338149838, 4.814147565311468, 1.1529623826742794]",30,100,3.53
PSO,46,-10.554920416224297,-686.571656041891,"[27.052998596442716, 1.3242684968172163, 0.3886584316436902, 97.8790927953862, 1.7863145471568154, 0.25620224297704663, 1.2944559384966947, 1.2306086308456725]",30,100,3.64
PSO,48,-31.114191579245237,-125.67838218775077,"[21.54461417419891, 1.4435568785597692, 0.15810903220234873, 24.185434573257893, 0.6255262806676476, 0.28173818090347746, 5.1556890310607155, 0.0]",30,100,3.15
PSO,47,-13.539777840090295,-707.9705694651882,"[28.834339987175955, 0.6662105602391121, 0.09741753239815158, 118.48907722755933, 1.7611654214749293, 0.13054170232021506, 5.2845723074361235, 1.3064857261237872]",30,100,3.78
PSO,49,-29.26219647159464,-195.03362235245473,"[21.220229527924875, 0.0, 0.10094939800717437, 106.59676506375884, 1.0975744325362216, 0.09252408682636529, 2.286920201081556, 0.0]",30,100,3.21
PSO,50,-10.325962002886488,-164.03861858745447,"[29.881489541251973, 0.9955212284218932, 0.47603334806468584, 48.411914971906555, 1.7416743342078527, 0.4464788516792562, 0.7741965742584616, 2.7453221055798904]",30,100,3.77
PSO,52,-29.26219647159464,-771.6444592198582,"[29.234054453061276, 1.3502468049933465, 0.24884416547381197, 60.46926495753654, 0.0, 0.47899052455283986, 2.4970065735366154, 0.0]",30,100,3.15
PSO,53,-31.114191579245237,-1000.0,"[19.496964396312485, 1.392705759386323, 0.19861127302337495, 105.55518202302557, 1.1538853535191478, 0.40257636850882744, 4.262852348271918, 0.06322656665235386]",30,100,3.14
PSO,51,-10.325962002886488,-164.03861858745447,"[29.710556908497, 0.9223632532041348, 0.16294728727610155, 35.35363720522012, 1.6271380648485818, 0.44586989118077625, 1.4265192973012326, 2.6811828115031644]",30,100,3.74
PSO,54,-29.980908652873126,-137.56318953232443,"[12.632967787587932, 0.0, 0.4759855604964121, 192.18432486616686, 1.8337387934564995, 0.05, 4.370629736723553, 0.0]",30,100,3.26
PSO,55,-29.980908652873126,-180.11527332673074,"[17.18486321147389, 0.3920740308504318, 0.05, 107.74988476639933, 1.3426803424025096, 0.2001025763282627, 4.467063333497984, 0.45208044883129894]",30,100,3.27
PSO,56,-32.63058543778802,-840.7607966441366,"[5.669660033997199, 0.8659231724312848, 0.4363794607617778, 111.10785970222138, 1.468416454246288, 0.21906471469105265, 2.1008065437843535, 0.0]",30,100,3.23
PSO,57,-10.902990878821624,-411.2047362057953,"[30.70047804114731, 0.7858555912356875, 0.48437469768367264, 199.2339682935587, 2.1640670556947246, 0.42116241698392726, 0.5299940415686856, 0.7000646260554116]",30,100,3.69
PSO,58,-29.26219647159464,-1000.0,"[47.131304321900515, 1.0056447714862302, 0.05, 46.53527625738964, 0.9604652467029187, 0.05, 2.404239775988927, 0.0]",30,100,3.25
PSO,59,-10.008261561909121,-278.7247096419426,"[26.30798721382262, 0.5459865807904395, 0.49531637735210177, 20.249932304288045, 1.6058650599085804, 0.3105599841631936, 0.5048650905500137, 0.8466464116055752]",30,100,3.72
CAB,0,-3775.2521294035337,-1273.0364432924523,"[44.04988126257407, 1.8982488862403897, 0.2799599645155123, 50.29730285883051, 2.0428726058956577, 0.2619171579988894, 4.163659185471372, 2.821643754964663]",30,100,4.34
CAB,1,-45905.537437311206,-3377.2380346525892,"[5.480515779784781, 1.1604421821107427, 0.4949250348660424, 69.10780191079651, 2.3798234896342354, 0.4570439317175648, 5.227882524377165, 3.442421315702508]",30,100,4.52
CAB,2,-25896.709262696444,-3537.178889594823,"[6.425900428056774, 2.478002035207736, 0.09231989753268681, 103.06030110941235, 1.5073300453877776, 0.3467703784523, 3.086617960456177, 5.538398837526158]",30,100,4.42
CAB,3,-4971.298402249836,-954.0760508177807,"[42.905219561402, 1.7864175415089425, 0.30677379667944693, 121.34083730559105, 1.8361318814395875, 0.2968400392920633, 4.116721240010847, 4.081729346404328]",30,100,4.57
CAB,4,-10710.8164240237,-2279.450435645208,"[11.368763870448351, 2.453579572111659, 0.17092552278447914, 105.68072356329643, 2.432845464132258, 0.2598759583836849, 5.328791178140568, 3.0910889312519116]",30,100,4.54
CAB,5,-9102.255466525554,-2741.6343903922734,"[26.167357670284016, 2.3778665906072023, 0.37951249997870845, 95.3475679053875, 1.539767053431776, 0.40054133383380197, 4.47017786668432, 4.977025531833193]",30,100,4.45
