alg,seed,train,test,"theta [d1, t1, a1,  d2, t2, a2, shift]",pop_size,gens,time(seconds)
PSO,0,-8.238841706858887e-10,-0.0029592792387823303,"[49.481807483112284, 1.655853245719233, 0.499452311501891, 172.73198120083714, 1.672362752729569, 0.5, -1.423907499166613]",15,100,5.26
PSO,6,-0.0010950995043464491,-49.653756171768,"[50.0, 2.4956587186650045, 0.5, 200.0, 2.435723005796068, 0.5, 4.0]",15,100,5.23
PSO,9,-4.528727740020224e-13,-0.00013777006485703777,"[5.0, 2.004628871981668, 0.4063495909025336, 200.0, 1.6205252376733694, 0.4990326833473708, -1.0543231322808295]",15,100,5.73
PSO,1,-2.8530509550119636e-13,-0.00011603596173557132,"[5.0, 1.4374790740058376, 0.5, 20.0, 2.221347831107535, 0.4526353377883319, -1.2113003024974556]",15,100,5.86
PSO,2,-2.8530509550119636e-13,-0.00011593567393169977,"[5.0, 1.1298999633231748, 0.4375980864638393, 30.467135973483295, 1.7209544370209517, 0.4527935679407516, -1.3560057250030928]",15,100,5.88
PSO,4,-2.6109193454132978e-11,-0.001414718487808435,"[5.0, 2.342878638202383, 0.05, 149.58923034342683, 2.492643663474235, 0.42674449883225224, -2.232516639594875]",15,100,5.87
PSO,5,-2.8530509550119636e-13,-0.00011593567393169977,"[5.0, 0.5731554962425173, 0.4947170789959674, 109.82105592644689, 1.76482965370821, 0.45296649735282707, -1.2318824794418008]",15,100,5.88
PSO,3,-2.8530509550119636e-13,-0.00011593567393169977,"[5.0, 1.233776137128149, 0.05129773962321662, 27.715963244811046, 1.6861243232340504, 0.45283675150528335, -1.0814458261219895]",15,100,5.91
PSO,11,-2.8530509550119636e-13,-0.00011603596173557132,"[5.0, 1.0522970325360006, 0.22577995157038333, 20.955201115379214, 2.173502726788933, 0.4525992829482216, -0.9997728378449867]",15,100,5.86
PSO,8,-5.726533507774882e-06,-0.24571755914464877,"[5.0, 1.2755563197455215, 0.07226309343457862, 95.4576921736033, 1.5525607177448841, 0.4405568066243841, 4.0]",15,100,6.0
PSO,7,-2.6109193454132978e-11,-0.001414718487808435,"[5.0, 2.2346601603755647, 0.05, 20.0, 1.994439396797902, 0.4268313227380468, -1.7311271036078308]",15,100,6.03
PSO,10,-2.8530509550119636e-13,-0.00011593567393169977,"[5.0, 1.329504440756176, 0.3039640022127492, 200.0, 1.7781877953751104, 0.45276874764598685, -0.5025998874349575]",15,100,6.59
PSO,12,-3.393654875902062e-11,-0.0013320872461029302,"[5.0, 0.0, 0.3973451402094144, 187.05467571237142, 2.13065512056818, 0.4137132548779291, -2.047291945788313]",15,100,5.66
PSO,15,-8.238841706858887e-10,-0.0029592792387823303,"[50.0, 2.290046182694863, 0.4998796215973683, 108.80083850826645, 1.8118105008747254, 0.5, -1.3034076369272818]",15,100,5.26
PSO,13,-8.238841706858887e-10,-0.0029592792387823303,"[49.206399645535335, 2.116471425202874, 0.49838970861905946, 20.0, 2.1187560043421474, 0.5, -0.685213634226291]",15,100,5.93
PSO,20,-8.238841706858887e-10,-0.0029592792387823303,"[50.0, 2.0828734986504855, 0.49862382738984706, 130.2995239501759, 1.9166973888689023, 0.5, -1.301550771751741]",15,100,5.48
