alg,seed,train,test,theta,pop_size,gens,stalled_gens,tolerance,patience,fitness_history,time(seconds)
PSO,22,-1638.7365278623915,-584.0116925595038,"[5.367191117916794, 0.3095493255933267, 0.21608177834760206, 367.6408821450542, 1.1687914642213624, 0.13430113651091705, 0.0, 0.0]",50,11,10,0.0001,10,"[-1638.7365278623915, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915]",1.64
PSO,20,-1603.8279259008175,-807.7126551376914,"[9.765805900614772, 1.8859425542003936, 0.05, 342.5567130019707, 0.0, 0.44865035531730363, 0.0, 0.0]",50,16,10,0.0001,10,"[-1278.1386975613368, -1510.687256721287, -1510.687256721287, -1510.687256721287, -1510.687256721287, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175]",2.0
PSO,16,-1603.8279259008175,-807.7126551376914,"[10.0, 0.0, 0.3879285144577142, 340.1294859444517, 0.0, 0.4737817449969326, 0.0, 0.0]",50,21,10,0.0001,10,"[-1493.9860886384408, -1493.9860886384408, -1497.6026922861133, -1500.1458912913529, -1500.1458912913529, -1500.4787943508247, -1535.7476261669626, -1581.5888723614016, -1581.5888723614016, -1581.5888723614016, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175]",2.73
PSO,15,-1603.8279259008175,-807.7126551376914,"[10.0, 0.23459839040023156, 0.4264966484002193, 340.4443187690832, 0.0, 0.1425181537090535, 0.0, 0.0]",50,24,10,0.0001,10,"[-1228.4533347634558, -1497.6026922861133, -1497.6026922861133, -1497.6026922861133, -1497.6026922861133, -1497.6026922861133, -1509.8843329369474, -1510.687256721287, -1510.687256721287, -1510.687256721287, -1510.687256721287, -1510.687256721287, -1573.284600876104, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175]",3.15
PSO,25,-1638.7365278623915,-591.1350041810728,"[5.125388119515166, 0.0, 0.22823856338117712, 364.5129234421998, 1.4044791723502907, 0.38555927457901534, 0.0, 0.0]",50,12,10,0.0001,10,"[-1393.1723639522963, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915]",1.78
PSO,19,-1603.8279259008175,-807.7126551376914,"[10.0, 0.11364985072330136, 0.11935819724829662, 339.9793999401448, 0.0, 0.4232744020634227, 0.0, 0.0]",50,23,10,0.0001,10,"[-1461.688962632482, -1510.687256721287, -1510.687256721287, -1510.687256721287, -1510.687256721287, -1531.1151338772545, -1531.1151338772545, -1531.1151338772545, -1531.1151338772545, -1531.1151338772545, -1531.1151338772545, -1581.5888723614016, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175]",3.03
PSO,24,-1603.8279259008175,-807.7126551376914,"[10.0, 0.0, 0.5, 340.1901493681723, 0.0, 0.4986309655530503, 0.0, 0.0]",50,18,10,0.0001,10,"[-1187.2098794064364, -1321.3160113572221, -1552.5699693951299, -1552.5699693951299, -1562.964888182225, -1573.284600876104, -1573.284600876104, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175]",2.36
PSO,23,-1638.7365278623915,-594.0917003196239,"[5.473387516823413, 2.0512427173672405, 0.05334769684724425, 365.985329773134, 0.6421766331765996, 0.2901643483220651, 0.0, 0.0]",50,18,10,0.0001,10,"[-1364.4257065168424, -1464.2157667427798, -1480.5954434756527, -1493.9860886384408, -1510.687256721287, -1510.687256721287, -1510.687256721287, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915]",2.52
PSO,26,-1603.8279259008175,-807.7126551376914,"[10.0, 0.0, 0.5, 339.95859651274753, 0.12320083671474813, 0.2652200820692808, 0.0, 0.0]",50,17,10,0.0001,10,"[-1464.2157667427798, -1491.659450673008, -1510.687256721287, -1523.0575375624328, -1535.7476261669626, -1573.284600876104, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175]",2.21
PSO,29,-1638.7365278623915,-591.1350041810728,"[5.393807266131172, 0.0, 0.2699116678096334, 365.81776852107134, 0.7065780058041374, 0.2597665709587403, 0.0, 0.0]",50,16,10,0.0001,10,"[-1307.2390103288433, -1510.687256721287, -1510.687256721287, -1510.687256721287, -1510.687256721287, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915]",2.13
