alg,seed,train,test,theta,pop_size,gens,stalled_gens,tolerance,patience,fitness_history,time(seconds)
PSO,6,-1140.359408134374,-1000.0,"[17.06860184121441, 1.0298126094400153, 0.2160802579079202, 87.40941780581882, 2.9623349705593998, 0.33474032267321574, 7.045943583026961, 4.309744187698208]",50,11,10,0.0001,10,"[-1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374]",3.36
PSO,3,-1140.359408134374,-1000.0,"[18.805388819087923, 1.4553252158735928, 0.41925925507748224, 57.74677572943019, 2.6338074942176424, 0.25877818192864643, 7.847200871408327, 7.614564305972462]",50,11,10,0.0001,10,"[-1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374]",3.48
PSO,7,-1140.359408134374,-1000.0,"[26.474156732186124, 1.9866442150153614, 0.10922711711373759, 172.11337775741953, 2.8348445134349385, 0.45676255468816707, 6.418314887155663, 3.0182196763264884]",50,11,10,0.0001,10,"[-1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374]",3.54
PSO,1,-1140.359408134374,-1000.0,"[17.73744452279186, 1.1633073469678619, 0.4062452925156533, 128.9245860699526, 2.5838000543609825, 0.37956237679652205, 6.61094068655139, 4.01330921537197]",50,11,10,0.0001,10,"[-1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374]",3.78
PSO,4,-1140.359408134374,-1000.0,"[27.506418487203955, 2.131911996416307, 0.11956998757792259, 156.01936315299236, 3.0, 0.24721556702566544, 7.368287621722819, 6.3230474971447075]",50,12,10,0.0001,10,"[-1139.0753618993276, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374]",3.83
PSO,5,-1140.359408134374,-1000.0,"[15.95604063231008, 2.265959927676483, 0.0968429249668625, 106.09195077783981, 3.0, 0.3666668621805062, 3.94695267163323, 3.452152553764413]",50,12,10,0.0001,10,"[-1139.0753618993276, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374]",4.05
PSO,2,-1140.359408134374,-1000.0,"[17.98691170400958, 1.336035611444813, 0.40536361760761963, 88.64305126726606, 3.0, 0.17067410809246064, 7.2124092305965455, 4.479601814362927]",50,14,10,0.0001,10,"[-1139.0753618993276, -1139.0753618993276, -1139.0753618993276, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374]",4.39
PSO,0,-1140.359408134374,-1000.0,"[18.046937405808883, 1.0064833788580931, 0.39229097787675027, 54.45495112405075, 2.6355911146199382, 0.07928057802997991, 5.2664036340334475, 2.853233195450967]",50,17,10,0.0001,10,"[-1139.0753618993276, -1139.0753618993276, -1139.0753618993276, -1139.0753618993276, -1139.0753618993276, -1139.0753618993276, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374]",5.34
PSO,10,-1140.359408134374,-1000.0,"[16.872747270840705, 0.8322042870427181, 0.06974824472507289, 43.81234157454925, 2.8970078859050012, 0.24920249174538353, 3.9891569380495033, 2.5971227242858976]",50,11,10,0.0001,10,"[-1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374]",3.26
PSO,9,-1140.359408134374,-1000.0,"[18.390902977236014, 1.3931771555119843, 0.37372835570887625, 42.315119790555656, 3.0, 0.36548229326837645, 4.529081606661317, 2.7855384112988926]",50,12,10,0.0001,10,"[-1139.0753618993276, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374]",3.57
PSO,8,-1140.359408134374,-1000.0,"[16.763017907111376, 1.4206763618308897, 0.2719455719958477, 124.4912882979497, 2.727631879402057, 0.05362757313249772, 5.230599660802186, 4.840841641750206]",50,12,10,0.0001,10,"[-1139.0753618993276, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374, -1140.359408134374]",3.69
