alg,seed,train,test,"theta [d1, t1, a1,  d2, t2, a2, shift]",pop_size,gens,time(seconds)
PSO,7,-18.182822363067608,-141.8673844490743,"[45.31249627273615, 0.0, 0.2794112973221374, 83.19227095292649, 1.0089824308039133, 0.2903210363153694, 2.2963831288017422, 0.6876472725375352]",100,100,9.9
PSO,2,-14.802567871165763,-1240.9009489512057,"[43.180039285423376, 0.0, 0.2917255209270348, 101.06933522867891, 1.271125938913449, 0.2734167209539175, 4.5901792176637235, 1.6341777599977896]",100,100,10.63
PSO,5,-7.942001165223309,-813.0021769833206,"[45.133569599022486, 0.5868336480366634, 0.08355611443337321, 200.0, 2.318141543078796, 0.05, 2.4537058978231725, 5.290942483826728]",100,100,10.62
PSO,6,-15.906595313511337,-201.7677496060756,"[44.704908316066714, 0.38653465716960805, 0.054137187779162585, 98.43483340323606, 0.7048327387292584, 0.33382219712773, 1.121480085970986, 1.4591092417589753]",100,100,10.63
PSO,3,-10.738495013282133,-111.84095249440522,"[20.170332052382154, 0.18463454037713806, 0.5, 33.10877572884154, 2.19508998028296, 0.1879797107449359, 1.1794640895042636, 1.8921084347316883]",100,100,10.86
PSO,1,-10.008261561909121,-278.7247096419426,"[26.48559247151598, 0.7743451436783904, 0.31088029928895516, 117.46927491687545, 1.7038109500542518, 0.3125555648142732, 1.092716160835066, 0.7873335274132174]",100,100,11.02
PSO,0,-10.325962002886488,-164.03861858745447,"[30.18796503610302, 1.3414877387699065, 0.30389106845425967, 89.95510208984662, 2.0293746602658778, 0.446741146873514, 1.192037200826584, 3.1615982496098254]",100,100,11.33
PSO,4,-7.3035370636602135,-416.3800343581482,"[26.263269691017207, 1.5455847890128687, 0.05706873616609108, 197.7527213707395, 2.2752595245535012, 0.41191268730873676, 1.1641452979362117, 3.311803462343187]",100,100,11.48
PSO,8,-14.444309508529678,-1042.406600828044,"[27.87676679547469, 0.983279552237058, 0.4644492150287744, 110.56656999623124, 2.0124211746892846, 0.17441110897389628, 4.528145762757066, 0.6188999363011368]",100,100,9.86
PSO,11,-14.445100637111503,-771.6444592198582,"[19.076932753685213, 1.1488466392887948, 0.5, 71.51890159683904, 0.3832445424267913, 0.16566715070317725, 0.9304052076730831, 0.6897440193238082]",100,100,10.36
PSO,10,-9.014081445119166,-401.9707266075806,"[22.67425674306373, 2.4633632209968104, 0.061155987930122994, 123.98692803761641, 2.1949877357776266, 0.3100809523049496, 1.334662330942721, 0.697696417148917]",100,100,10.48
PSO,9,-16.96551424737973,-120.87210064580414,"[50.0, 0.009588805031096926, 0.49320220583034696, 117.41162678947032, 1.2382502256670391, 0.3853603394577593, 0.6824564894107048, 0.7298881991922328]",100,100,10.67
PSO,12,-10.676680348029084,-338.0273369786671,"[32.52003018415252, 1.3745598821352385, 0.18389957161359022, 66.45040462236787, 1.6581419680736413, 0.46461218593801645, 0.6779613406527644, 0.621474212822654]",100,100,10.78
PSO,13,-10.325962002886488,-164.03861858745447,"[30.01405424484449, 0.9171494963963339, 0.4671875413409253, 151.7643005801159, 2.406221855965901, 0.44613727622577504, 0.7019664381276498, 3.439547791688516]",100,100,11.23
PSO,14,-10.008261561909121,-362.08683069721377,"[25.549854884884198, 0.5632755420303297, 0.4544014306062532, 81.63650435497497, 2.376559413932025, 0.3092335001940187, 1.2096841343346603, 1.358686305433742]",100,100,11.08
PSO,15,-10.325962002886488,-164.03861858745447,"[30.22449573582226, 1.4867268172578638, 0.386278348604928, 163.52930976854128, 1.9769470855447702, 0.446975639559135, 1.449025093232415, 3.3206676032926277]",100,100,12.04
PSO,16,-8.95367079815305,-910.8542478805377,"[34.21917697261062, 2.010032534605446, 0.12275352260961524, 26.22680679463563, 1.930746061050721, 0.3782067047088484, 0.6410445275456484, 3.185088526035763]",100,100,11.47
PSO,17,-8.78543601458142,-226.96973465313027,"[30.84170789844991, 1.9459842223705202, 0.16404256896295438, 116.85777808800087, 1.6045586908632314, 0.2524844386583478, 1.1970991223624354, 3.2514484647193287]",100,100,11.75
PSO,18,-10.676680348029084,-344.0835434339198,"[33.1511487890829, 0.5322920335628429, 0.4869788640974867, 58.598681047986176, 2.0720799735074538, 0.46375029365943315, 0.9447536288142596, 0.7431365517599495]",100,100,11.66
PSO,20,-10.008261561909121,-278.7247096419426,"[26.402792522057375, 1.1920922193843628, 0.2241460527764469, 57.32061302237798, 1.9870811592069275, 0.31062965394102965, 1.396340349971838, 1.2758910585609944]",100,100,11.31
PSO,19,-10.325962002886488,-164.03861858745447,"[29.66958656193782, 1.0742018041357482, 0.44604079890880305, 127.50151350672212, 1.6240806715769627, 0.4464749673905631, 1.487911141571333, 3.4645196067797777]",100,100,11.69
PSO,22,-10.008261561909121,-278.7247096419426,"[26.08247135341328, 1.4927074330190946, 0.05109591972739999, 27.383971584607245, 2.2392904580808346, 0.31249538997662407, 1.0846862408168745, 1.180889427760119]",100,100,11.15
PSO,21,-13.539777840090295,-707.9705694651882,"[28.682917605773014, 1.338511369869402, 0.1334357643177827, 71.13989834340458, 2.3753947117251624, 0.1300584938335355, 4.639719821580234, 1.0971266193031952]",100,100,11.3
PSO,23,-7.133464974517018,-382.50296845084864,"[26.49241326421274, 1.9700885136731676, 0.08769552730640691, 21.7063217191232, 2.2806239109293416, 0.29105150344727243, 1.3309818309673773, 1.009432127378001]",100,100,12.01
PSO,24,-7.133464974517018,-382.50296845084864,"[25.831713146921782, 1.5793898720820687, 0.0790097137560454, 174.6149327093483, 2.463452809158433, 0.3131845594807466, 0.9016473836175423, 1.2417369267647729]",100,100,12.24
PSO,27,-9.674743600413768,-1306.292799456443,"[19.57452373281571, 0.046897895169058776, 0.18919894631777337, 21.905512004531374, 2.1701942462363477, 0.13754422166274918, 3.2090176916075905, 2.04414686233269]",100,100,11.87
PSO,25,-12.502946065117204,-192.31002368421974,"[30.61978152819804, 0.5717059971923857, 0.20168320054314787, 116.28738078170511, 2.2892313812225193, 0.5, 1.0853981142414244, 0.5579766948755811]",100,100,12.18
PSO,28,-20.33360731849667,-166.1975992657643,"[32.54357131724451, 1.8282254541189296, 0.14268239477712452, 130.03059785782312, 0.5411123548159205, 0.06183351202841997, 4.059353513084611, 0.7028536455586102]",100,100,12.05
PSO,26,-10.008261561909121,-278.7247096419426,"[26.251984878077963, 1.107595801676153, 0.4697018680917461, 109.34624035367989, 1.8125329429551431, 0.31256546570362587, 0.7398640069746382, 1.3453474664431173]",100,100,12.33
PSO,30,-10.008261561909121,-278.7247096419426,"[25.981581277162384, 0.5783932802586189, 0.050958050045415926, 162.6600271963633, 2.108607186062934, 0.3098122926083179, 1.2668408956708619, 0.8836298075367581]",100,100,12.1
PSO,29,-8.87960715709011,-1563.8714437374272,"[20.289453353118823, 0.1763948072994886, 0.44900664298847714, 153.16280979353016, 1.8045576306065378, 0.18884364662157616, 2.8192661833224757, 2.113454893319332]",100,100,12.28
