alg,seed,train,test,"theta [d1, t1, a1,  d2, t2, a2, shift]",pop_size,gens,stalled_gens,tolerance,patience,fitness_history,time(seconds)
PSO,284,-71482.03733069908,-2789.981230972925,"[4.943521781978747, 3.0, 0.2417646346497118, 20.0, 3.0, 0.11092493808125847, 9.0, 7.708289936241665]",50,45,10,0.0001,10,"[-3171.7101905934487, -5508.587619512614, -14645.495011831043, -29613.152850138853, -29613.152850138853, -38458.609045453944, -38458.609045453944, -38458.609045453944, -47081.88372848941, -52599.98583952224, -52599.98583952224, -52599.98583952224, -58735.207349240576, -58735.207349240576, -61531.29075793483, -61531.29075793483, -63466.901515795726, -63466.901515795726, -63466.901515795726, -68937.92321002962, -68937.92321002962, -68937.92321002962, -68937.92321002962, -68937.92321002962, -68937.92321002962, -69844.12579738378, -69844.12579738378, -69844.12579738378, -69844.12579738378, -69844.12579738378, -69844.12579738378, -69844.12579738378, -69844.12579738378, -69844.12579738378, -71482.03733069908, -71482.03733069908, -71482.03733069908, -71482.03733069908, -71482.03733069908, -71482.03733069908, -71482.03733069908, -71482.03733069908, -71482.03733069908, -71482.03733069908, -71482.03733069908]",4.46
PSO,288,-91223.3452365599,-4882.586381238134,"[5.075806767999136, 0.08186067735510105, 0.157859104852281, 20.605706071566242, 2.155472710103832, 0.2887814496348501, 7.0110414721968155, 9.0]",50,28,10,0.0001,10,"[-20628.772483183857, -20628.772483183857, -21884.980497820714, -44554.31170647956, -44554.31170647956, -59294.09618661351, -59294.09618661351, -59294.09618661351, -59294.09618661351, -66650.60049259037, -66650.60049259037, -66650.60049259037, -66650.60049259037, -71731.85709989452, -75297.64358249377, -75297.64358249377, -75297.64358249377, -91223.3452365599, -91223.3452365599, -91223.3452365599, -91223.3452365599, -91223.3452365599, -91223.3452365599, -91223.3452365599, -91223.3452365599, -91223.3452365599, -91223.3452365599, -91223.3452365599]",2.56
PSO,286,-106207.3712509007,-3709.4299444908497,"[2.7732609775846098, 2.2092087806508136, 0.1898325746362995, 140.35882368963811, 1.8924982308550986, 0.5, 4.835991663232463, 5.901655702600561]",50,41,10,0.0001,10,"[-19169.020029059153, -43132.743609936704, -43132.743609936704, -43132.743609936704, -43132.743609936704, -43132.743609936704, -56352.52744975208, -63811.068769142934, -63811.068769142934, -63811.068769142934, -63811.068769142934, -63811.068769142934, -67214.31751773307, -67214.31751773307, -68733.45768926763, -68733.45768926763, -73259.90639114102, -73259.90639114102, -73259.90639114102, -73259.90639114102, -75443.84914871102, -88557.39104457639, -93991.08292442399, -93991.08292442399, -103904.02848318845, -105181.35659743036, -105181.35659743036, -105181.35659743036, -105181.35659743036, -105181.35659743036, -106207.3712509007, -106207.3712509007, -106207.3712509007, -106207.3712509007, -106207.3712509007, -106207.3712509007, -106207.3712509007, -106207.3712509007, -106207.3712509007, -106207.3712509007, -106207.3712509007]",4.14
PSO,289,-116754.38988350553,-1704.5821400878724,"[2.9471612891365013, 0.051987981272883815, 0.24068560715687315, 117.21199722621833, 2.202564638722748, 0.4713485305534469, 5.202636384114029, 4.095945589773726]",50,29,10,0.0001,10,"[-14296.065904883815, -25569.708536075363, -35793.621698068746, -35793.621698068746, -66195.50903996527, -66195.50903996527, -70671.23506074217, -72051.8743685929, -76795.11682750363, -76795.11682750363, -76795.11682750363, -76795.11682750363, -76844.05946792795, -83076.03818582692, -83076.03818582692, -83076.03818582692, -83076.03818582692, -103691.43751914306, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553]",2.89
PSO,291,-70942.97772486904,-3861.4949406488145,"[4.249854923920369, 1.0325548713366295, 0.2563589303935276, 150.1911421713392, 2.1752265005646514, 0.49194197106470156, 4.811320306363124, 8.497089922736366]",50,25,10,0.0001,10,"[-24281.123773872027, -40309.40777590137, -40309.40777590137, -40309.40777590137, -51625.14419219059, -51625.14419219059, -52991.93289365981, -52991.93289365981, -52991.93289365981, -52991.93289365981, -58104.40152193757, -63722.74765603466, -63722.74765603466, -64459.86555100208, -70942.97772486904, -70942.97772486904, -70942.97772486904, -70942.97772486904, -70942.97772486904, -70942.97772486904, -70942.97772486904, -70942.97772486904, -70942.97772486904, -70942.97772486904, -70942.97772486904]",2.44
PSO,292,-88291.75912262076,-3462.063172650446,"[3.315496167115254, 0.0, 0.27847804403378207, 94.81701752469283, 1.7093400405931107, 0.43521244236256373, 4.561425584112194, 7.40009994991716]",50,22,10,0.0001,10,"[-23983.63758968278, -63639.30987604582, -63639.30987604582, -63639.30987604582, -63639.30987604582, -67551.12689575859, -67551.12689575859, -77691.04569726344, -77691.04569726344, -87475.12379945777, -87475.12379945777, -88291.75912262076, -88291.75912262076, -88291.75912262076, -88291.75912262076, -88291.75912262076, -88291.75912262076, -88291.75912262076, -88291.75912262076, -88291.75912262076, -88291.75912262076, -88291.75912262076]",2.27
PSO,293,-69947.51490429488,-3808.213935599342,"[4.464548136848185, 1.4662982973974872, 0.4275893336022789, 162.95640420009357, 1.5229272580515818, 0.49770803127406305, 5.436185154823255, 8.229069516491665]",50,26,10,0.0001,10,"[-23577.382814207955, -25193.609012860063, -50781.978977733765, -58638.46339407673, -58638.46339407673, -58638.46339407673, -58638.46339407673, -58638.46339407673, -66431.0082567882, -66431.0082567882, -67099.58307325341, -67099.58307325341, -67099.58307325341, -67099.58307325341, -67099.58307325341, -69947.51490429488, -69947.51490429488, -69947.51490429488, -69947.51490429488, -69947.51490429488, -69947.51490429488, -69947.51490429488, -69947.51490429488, -69947.51490429488, -69947.51490429488, -69947.51490429488]",2.54
PSO,295,-69947.51490429488,-3808.213935599342,"[4.054492892049743, 1.0998939439037543, 0.3273087377595207, 29.434128084229506, 1.945630848051044, 0.49726807258617717, 5.309908710130116, 8.422382840721319]",50,24,10,0.0001,10,"[-4036.7726138188837, -8280.128674902455, -28782.4699609408, -37300.03570259235, -37300.03570259235, -37300.03570259235, -46211.116169867346, -62223.8665822015, -62223.8665822015, -63429.88603487642, -63429.88603487642, -63429.88603487642, -63429.88603487642, -69947.51490429488, -69947.51490429488, -69947.51490429488, -69947.51490429488, -69947.51490429488, -69947.51490429488, -69947.51490429488, -69947.51490429488, -69947.51490429488, -69947.51490429488, -69947.51490429488]",2.36
PSO,297,-104979.28870252677,-2410.2238789657736,"[2.5782701776597183, 0.3082210891098335, 0.2925672480076301, 88.85276673882154, 1.7118566612486568, 0.4902866667383859, 3.0, 4.459246483690601]",50,23,10,0.0001,10,"[-13661.259580078267, -71084.65679089233, -71084.65679089233, -71084.65679089233, -71084.65679089233, -71084.65679089233, -71084.65679089233, -73943.71350053725, -103900.23348474619, -103900.23348474619, -103900.23348474619, -104001.52821039032, -104979.28870252677, -104979.28870252677, -104979.28870252677, -104979.28870252677, -104979.28870252677, -104979.28870252677, -104979.28870252677, -104979.28870252677, -104979.28870252677, -104979.28870252677, -104979.28870252677]",2.44
PSO,290,-91392.03574577752,-4983.799597134624,"[4.616223758615661, 0.0, 0.05, 200.0, 2.0852186469903, 0.28988830287409717, 6.982914570678845, 8.993324083556047]",50,55,10,0.0001,10,"[-13597.708653494159, -38949.94130305119, -38949.94130305119, -46427.3084230977, -52794.581474009225, -53853.46982249008, -53853.46982249008, -54506.018721786444, -54506.018721786444, -54648.94350558979, -54648.94350558979, -54648.94350558979, -54793.63111999817, -54793.63111999817, -54793.63111999817, -55070.29164150695, -55070.29164150695, -55070.29164150695, -55070.29164150695, -55070.29164150695, -55545.44116113111, -55545.44116113111, -55545.44116113111, -55989.637716660494, -55989.637716660494, -59586.181096531385, -59787.26456301795, -59787.26456301795, -59963.80652881007, -59963.80652881007, -59963.80652881007, -59963.80652881007, -61208.65930821239, -61208.65930821239, -61208.65930821239, -61208.65930821239, -61208.65930821239, -61208.65930821239, -61208.65930821239, -61208.65930821239, -61208.65930821239, -61208.65930821239, -86475.1990543458, -86475.1990543458, -91392.03574577752, -91392.03574577752, -91392.03574577752, -91392.03574577752, -91392.03574577752, -91392.03574577752, -91392.03574577752, -91392.03574577752, -91392.03574577752, -91392.03574577752, -91392.03574577752]",5.52
PSO,300,-113629.10931082691,-2230.102508417966,"[2.8161747392868985, 1.8161414587898768, 0.05, 20.0, 2.4523022730432134, 0.4824742845607299, 5.485800947640791, 4.306463935256428]",50,24,10,0.0001,10,"[-6986.500959036745, -27792.429829964854, -32522.534955782638, -65093.444242227066, -65093.444242227066, -65093.444242227066, -77067.61580259482, -77067.61580259482, -85370.95755744519, -107896.29682302425, -107896.29682302425, -107896.29682302425, -107896.29682302425, -113629.10931082691, -113629.10931082691, -113629.10931082691, -113629.10931082691, -113629.10931082691, -113629.10931082691, -113629.10931082691, -113629.10931082691, -113629.10931082691, -113629.10931082691, -113629.10931082691]",2.25
PSO,298,-91998.58014495713,-4712.973951223039,"[5.088608298325933, 0.0, 0.38456706138628693, 20.0, 1.965670312752622, 0.2861441762136463, 6.8758387516996855, 9.0]",50,33,10,0.0001,10,"[-13737.764913170044, -14176.791875210773, -40058.03993801123, -40058.03993801123, -40058.03993801123, -40058.03993801123, -40058.03993801123, -41393.246640719895, -41393.246640719895, -47330.722422791376, -82929.63341709929, -82929.63341709929, -91223.3452365599, -91935.18227494946, -91935.18227494946, -91935.18227494946, -91935.18227494946, -91935.18227494946, -91935.18227494946, -91935.18227494946, -91935.18227494946, -91935.18227494946, -91998.58014495713, -91998.58014495713, -91998.58014495713, -91998.58014495713, -91998.58014495713, -91998.58014495713, -91998.58014495713, -91998.58014495713, -91998.58014495713, -91998.58014495713, -91998.58014495713]",2.92
PSO,301,-48277.76519632115,-3278.165011281023,"[3.5777088010775318, 3.0, 0.06655401254648022, 123.31936121754529, 3.0, 0.43453379647583923, 8.323701473114284, 8.36954105675728]",50,17,10,0.0001,10,"[-28266.812427270765, -45104.22505796286, -45104.22505796286, -45104.22505796286, -47142.22260795434, -47142.22260795434, -48277.76519632115, -48277.76519632115, -48277.76519632115, -48277.76519632115, -48277.76519632115, -48277.76519632115, -48277.76519632115, -48277.76519632115, -48277.76519632115, -48277.76519632115, -48277.76519632115]",1.71
PSO,299,-71196.64920131266,-3097.2547780680975,"[4.604511701729545, 2.2459111649209103, 0.0632171720163981, 20.0, 1.9196513710569476, 0.3034396728856039, 9.0, 9.0]",50,36,10,0.0001,10,"[-22968.719081197203, -30967.481020743504, -34251.01377338127, -49315.2992032973, -49315.2992032973, -49315.2992032973, -49315.2992032973, -49315.2992032973, -57871.31057525013, -57871.31057525013, -58970.781778513985, -61092.89500780634, -65909.10375759509, -65909.10375759509, -65909.10375759509, -65909.10375759509, -67791.55468702063, -68387.58307218178, -68387.58307218178, -68387.58307218178, -68387.58307218178, -68486.72759646745, -68486.72759646745, -68486.72759646745, -68486.72759646745, -71196.64920131266, -71196.64920131266, -71196.64920131266, -71196.64920131266, -71196.64920131266, -71196.64920131266, -71196.64920131266, -71196.64920131266, -71196.64920131266, -71196.64920131266, -71196.64920131266]",3.1
PSO,296,-72736.7651471015,-4202.499197060717,"[6.935534867671288, 1.6926811872733523, 0.4883339445624192, 20.319985564931102, 2.276513108727308, 0.5, 8.150243532319285, 8.995774070554079]",50,57,10,0.0001,10,"[-16651.951994042152, -24256.921912162354, -28573.644439586304, -29309.56791938038, -29309.56791938038, -29309.56791938038, -29359.437413853862, -29359.437413853862, -29359.437413853862, -29359.437413853862, -29359.437413853862, -29359.437413853862, -29359.437413853862, -29359.437413853862, -29359.437413853862, -29359.437413853862, -39618.030469334844, -42554.111309730324, -42554.111309730324, -42554.111309730324, -42554.111309730324, -43167.052313630935, -43167.052313630935, -43167.052313630935, -47305.400657697195, -47305.400657697195, -47305.400657697195, -47305.400657697195, -47305.400657697195, -50257.80391498178, -50257.80391498178, -52031.280722522766, -52031.280722522766, -53685.44428323097, -53685.44428323097, -53685.44428323097, -53685.44428323097, -53685.44428323097, -53685.44428323097, -53685.44428323097, -56401.64348582215, -59749.04753291437, -60106.9622098738, -71368.17196877947, -71368.17196877947, -71368.17196877947, -72736.7651471015, -72736.7651471015, -72736.7651471015, -72736.7651471015, -72736.7651471015, -72736.7651471015, -72736.7651471015, -72736.7651471015, -72736.7651471015, -72736.7651471015, -72736.7651471015]",5.21
PSO,294,-116754.38988350553,-1704.5821400878724,"[2.5651137548803735, 0.0, 0.05122782669840742, 130.23948611600912, 2.213316298161116, 0.4707449575529228, 4.5790057938980535, 3.5321845393889473]",50,54,10,0.0001,10,"[-10690.794009183974, -36726.11075203996, -46089.518277610776, -46089.518277610776, -61025.702768720315, -61025.702768720315, -61122.49387573411, -61122.49387573411, -61122.49387573411, -61122.49387573411, -70069.99388340283, -70069.99388340283, -80048.71487329275, -80048.71487329275, -80048.71487329275, -80048.71487329275, -80048.71487329275, -80048.71487329275, -82914.27787349962, -82914.27787349962, -84781.87861468867, -92045.12688075815, -94366.67063858718, -94366.67063858718, -95263.21215535185, -95263.21215535185, -95263.21215535185, -95263.21215535185, -95263.21215535185, -95263.21215535185, -95263.21215535185, -95263.21215535185, -95263.21215535185, -95705.47611532264, -95705.47611532264, -95705.47611532264, -95705.47611532264, -95705.47611532264, -95705.47611532264, -95705.47611532264, -95705.47611532264, -95705.47611532264, -104967.80580347912, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553]",5.53
PSO,304,-104979.28870252677,-2410.2238789657736,"[2.625407487909594, 0.0, 0.5, 200.0, 2.231301857090327, 0.4906610608769514, 3.2139811009158397, 3.684773563955128]",50,25,10,0.0001,10,"[-8627.826500737145, -9870.112669348402, -11663.299248523184, -20757.703610050827, -61911.09624869037, -61911.09624869037, -61911.09624869037, -62999.987831518796, -62999.987831518796, -90296.34056964026, -90296.34056964026, -90543.50879561968, -103900.23348474619, -104001.52821039032, -104979.28870252677, -104979.28870252677, -104979.28870252677, -104979.28870252677, -104979.28870252677, -104979.28870252677, -104979.28870252677, -104979.28870252677, -104979.28870252677, -104979.28870252677, -104979.28870252677]",2.47
PSO,302,-118076.03989867195,-2298.061153737314,"[3.1310018274894515, 2.2159815713388884, 0.12701228989945404, 117.04281147543215, 1.9299389739314154, 0.5, 4.786550015170757, 3.6819006887625325]",50,35,10,0.0001,10,"[-10228.104909225554, -16384.201150014735, -16617.838045077067, -19836.127929243066, -38303.072255174404, -38303.072255174404, -39572.85700600696, -54736.354395775685, -55567.1770839775, -72237.48986678348, -90292.18047027713, -93750.49217515864, -93750.49217515864, -103594.53074169935, -103904.02848318845, -103904.02848318845, -103904.02848318845, -111256.64698738551, -111256.64698738551, -111256.64698738551, -111256.64698738551, -111256.64698738551, -111256.64698738551, -112710.85825161963, -118076.03989867195, -118076.03989867195, -118076.03989867195, -118076.03989867195, -118076.03989867195, -118076.03989867195, -118076.03989867195, -118076.03989867195, -118076.03989867195, -118076.03989867195, -118076.03989867195]",3.4
PSO,306,-116754.38988350553,-1704.5821400878724,"[3.2169247487221577, 0.0, 0.34253373812451415, 146.94823640443713, 2.174288317132229, 0.47031553895850575, 5.183586286164301, 4.272794806480136]",50,25,10,0.0001,10,"[-16069.285326442368, -22179.08872435907, -29077.162225069525, -35241.46971732746, -40301.898331644064, -41871.28033250951, -102882.79578215617, -102882.79578215617, -102882.79578215617, -102882.79578215617, -103691.43751914306, -104967.80580347912, -104967.80580347912, -105816.9311777904, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553]",2.53
PSO,307,-104979.28870252677,-2410.2238789657736,"[3.454654830527793, 0.011298214438907429, 0.24514984739816917, 50.29975680991909, 1.8976630741830653, 0.49075858483666557, 3.0, 4.023798003462855]",50,25,10,0.0001,10,"[-5963.4928142657345, -11291.508454253653, -20380.598779466065, -67795.25761648461, -68117.45741342164, -68117.45741342164, -90631.78174337625, -90631.78174337625, -90631.78174337625, -90631.78174337625, -103900.23348474619, -103900.23348474619, -104001.52821039032, -104001.52821039032, -104979.28870252677, -104979.28870252677, -104979.28870252677, -104979.28870252677, -104979.28870252677, -104979.28870252677, -104979.28870252677, -104979.28870252677, -104979.28870252677, -104979.28870252677, -104979.28870252677]",2.54
PSO,303,-71405.71034907384,-3853.404301469646,"[3.2308764559480236, 3.0, 0.5, 24.182672912787368, 3.0, 0.1453309678202337, 8.076207683823423, 6.819245089969452]",50,33,10,0.0001,10,"[-8523.626347771538, -19590.10439089956, -29725.035087646676, -29725.035087646676, -29725.035087646676, -29725.035087646676, -30410.583101182932, -36101.67115906427, -39926.68457287669, -56505.597411808136, -56505.597411808136, -56505.597411808136, -60093.991963146, -60093.991963146, -60093.991963146, -62543.39604117022, -62543.39604117022, -69868.43122505856, -69868.43122505856, -69868.43122505856, -69868.43122505856, -69868.43122505856, -71405.71034907384, -71405.71034907384, -71405.71034907384, -71405.71034907384, -71405.71034907384, -71405.71034907384, -71405.71034907384, -71405.71034907384, -71405.71034907384, -71405.71034907384, -71405.71034907384]",3.29
PSO,305,-116754.38988350553,-1704.5821400878724,"[3.1132906383207306, 0.0, 0.39036741101261707, 142.27241270119896, 2.255828888358343, 0.4703352729529419, 5.269590180832154, 4.341714722235978]",50,36,10,0.0001,10,"[-14127.991805922542, -14127.991805922542, -14525.691671363053, -17985.552264354545, -27452.78083958759, -35971.481541039975, -36325.83571521015, -72838.75596222591, -72838.75596222591, -72838.75596222591, -76795.11682750363, -76795.11682750363, -76795.11682750363, -76795.11682750363, -76795.11682750363, -76795.11682750363, -76795.11682750363, -76795.11682750363, -77262.26726756529, -102007.8789881625, -102007.8789881625, -102007.8789881625, -102007.8789881625, -104843.6360230459, -104967.80580347912, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553]",3.55
PSO,310,-82914.27787349962,-4932.647192584513,"[2.7425244102587163, 0.0, 0.06952712128902597, 192.46719689387945, 2.3452883205699946, 0.40931120586812075, 4.510782755035303, 7.179122855940759]",50,21,10,0.0001,10,"[-16011.846404157457, -21025.174212152968, -33433.55278969541, -58676.58802629932, -58676.58802629932, -58676.58802629932, -59085.920493553655, -64622.97932299078, -77504.02857153444, -77504.02857153444, -82914.27787349962, -82914.27787349962, -82914.27787349962, -82914.27787349962, -82914.27787349962, -82914.27787349962, -82914.27787349962, -82914.27787349962, -82914.27787349962, -82914.27787349962, -82914.27787349962]",1.94
PSO,312,-48277.76519632115,-3278.165011281023,"[3.5398055199693523, 3.0, 0.054245729640580276, 88.11164283777245, 2.8817060709855644, 0.5, 8.470100566035304, 7.979855404563777]",50,21,10,0.0001,10,"[-13182.82892949359, -17824.644872728066, -24636.031950932145, -24989.493904733365, -40153.54982918405, -40153.54982918405, -40153.54982918405, -45366.66182286944, -45366.66182286944, -45552.71920245356, -48277.76519632115, -48277.76519632115, -48277.76519632115, -48277.76519632115, -48277.76519632115, -48277.76519632115, -48277.76519632115, -48277.76519632115, -48277.76519632115, -48277.76519632115, -48277.76519632115]",2.05
PSO,308,-63405.99879541909,-3089.558259467186,"[4.003382839470515, 3.0, 0.05, 30.297281596535882, 2.9580116456895276, 0.13129121153990797, 8.995539731655795, 9.0]",50,35,10,0.0001,10,"[-14605.40315249212, -14605.40315249212, -20486.943077356093, -42603.23852585409, -42603.23852585409, -47581.984558686774, -47581.984558686774, -47581.984558686774, -47581.984558686774, -47581.984558686774, -47581.984558686774, -47581.984558686774, -47581.984558686774, -47581.984558686774, -49071.55142508438, -50843.74113455608, -52442.599381030304, -56779.15200135697, -57176.801426365666, -57521.11398895587, -57745.15525000244, -57745.15525000244, -58935.95703854792, -60804.729362618666, -63405.99879541909, -63405.99879541909, -63405.99879541909, -63405.99879541909, -63405.99879541909, -63405.99879541909, -63405.99879541909, -63405.99879541909, -63405.99879541909, -63405.99879541909, -63405.99879541909]",3.38
PSO,313,-21170.735067959235,-3680.758159868079,"[2.0, 2.9859903119555327, 0.45738359897860376, 120.58799564033637, 2.9921631277195364, 0.4694082421505524, 7.541737240047467, 6.748917184782282]",50,19,10,0.0001,10,"[-11953.527363215224, -11953.527363215224, -17596.38103708533, -17596.38103708533, -17596.38103708533, -17596.38103708533, -20070.411627861053, -20070.411627861053, -21170.735067959235, -21170.735067959235, -21170.735067959235, -21170.735067959235, -21170.735067959235, -21170.735067959235, -21170.735067959235, -21170.735067959235, -21170.735067959235, -21170.735067959235, -21170.735067959235]",2.17
PSO,309,-54160.42729657305,-4594.731091540691,"[3.218316713853479, 0.27064537113342085, 0.05, 94.27006076690063, 1.6469934483891917, 0.39663130644884026, 8.680673949562928, 6.942577276653051]",50,37,10,0.0001,10,"[-5202.960868524589, -9460.84039062528, -30592.60338476641, -33090.37965746891, -36418.311720463455, -36418.311720463455, -36418.311720463455, -36418.311720463455, -38721.497429568, -38721.497429568, -38721.497429568, -45567.186313290345, -46555.04641096556, -51579.026679533614, -51579.026679533614, -51579.026679533614, -51579.026679533614, -51579.026679533614, -51579.026679533614, -51579.026679533614, -51579.026679533614, -52605.2938220845, -52605.2938220845, -53874.80262150924, -53874.80262150924, -53874.80262150924, -54160.42729657305, -54160.42729657305, -54160.42729657305, -54160.42729657305, -54160.42729657305, -54160.42729657305, -54160.42729657305, -54160.42729657305, -54160.42729657305, -54160.42729657305, -54160.42729657305]",3.51
PSO,311,-72736.7651471015,-4202.499197060717,"[7.038138512670515, 1.9575527083551516, 0.48825097705757514, 22.644991340692854, 2.2229989977416578, 0.5, 8.265001641808782, 9.0]",50,35,10,0.0001,10,"[-8862.712865856374, -14359.568918221486, -16867.982283512014, -25766.577932537133, -26641.139442343807, -26741.981248149445, -34001.30406834217, -34001.30406834217, -34001.30406834217, -34001.30406834217, -44510.82770713533, -47120.65973572007, -50847.984849151544, -50847.984849151544, -50847.984849151544, -50847.984849151544, -52031.280722522766, -52031.280722522766, -52031.280722522766, -52031.280722522766, -52031.280722522766, -52031.280722522766, -56322.50535617426, -56322.50535617426, -72736.7651471015, -72736.7651471015, -72736.7651471015, -72736.7651471015, -72736.7651471015, -72736.7651471015, -72736.7651471015, -72736.7651471015, -72736.7651471015, -72736.7651471015, -72736.7651471015]",2.96
PSO,314,-77003.68209981697,-3795.635484265721,"[3.586409264166586, 2.107239278770335, 0.39605923398912013, 140.8773244724551, 2.019522738322107, 0.5, 4.801573438862815, 7.151928170420998]",50,31,10,0.0001,10,"[-12258.382280608377, -22221.94078584645, -35354.2288817451, -35354.2288817451, -35354.2288817451, -36572.44688692094, -49293.89426953909, -49293.89426953909, -50781.978977733765, -50781.978977733765, -57506.44747788421, -57506.44747788421, -59061.70775884801, -60033.99098655438, -64725.23020411839, -72838.75596222591, -72838.75596222591, -72838.75596222591, -72838.75596222591, -72838.75596222591, -77003.68209981697, -77003.68209981697, -77003.68209981697, -77003.68209981697, -77003.68209981697, -77003.68209981697, -77003.68209981697, -77003.68209981697, -77003.68209981697, -77003.68209981697, -77003.68209981697]",2.93
PSO,315,-104979.28870252677,-2410.2238789657736,"[2.671431081462877, 0.0, 0.05229348740531117, 131.59353552372545, 2.1373455454415304, 0.4901691824746368, 3.0, 3.777031866161586]",50,26,10,0.0001,10,"[-29230.636898258832, -43675.338898241134, -44390.27100866602, -46211.116169867346, -62160.45760840308, -62160.45760840308, -62160.45760840308, -70671.23506074217, -70795.84787501021, -74315.1095197831, -90543.50879561968, -103900.23348474619, -103900.23348474619, -104001.52821039032, -104001.52821039032, -104979.28870252677, -104979.28870252677, -104979.28870252677, -104979.28870252677, -104979.28870252677, -104979.28870252677, -104979.28870252677, -104979.28870252677, -104979.28870252677, -104979.28870252677, -104979.28870252677]",2.79
PSO,316,-116754.38988350553,-1704.5821400878724,"[3.098560939359714, 0.0, 0.11358282313389413, 80.88511418997432, 1.7830474559348235, 0.47123372575782674, 5.143919343014491, 4.097064386564267]",50,30,10,0.0001,10,"[-42359.387552527915, -42359.387552527915, -42359.387552527915, -42359.387552527915, -55669.19570627636, -55669.19570627636, -77370.70562122964, -77370.70562122964, -91923.41638317017, -91923.41638317017, -95263.21215535185, -95263.21215535185, -95263.21215535185, -95263.21215535185, -95983.21699691475, -104967.80580347912, -104967.80580347912, -104967.80580347912, -104967.80580347912, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553]",3.15
PSO,320,-104979.28870252677,-2410.2238789657736,"[2.8936391880201633, 0.0, 0.5, 58.04076478167624, 2.2200287833755077, 0.4903115175894696, 3.0, 4.178969256758844]",50,29,10,0.0001,10,"[-8752.693707099717, -10134.840829382805, -15656.439439706923, -48967.72548127834, -48967.72548127834, -62034.46115212951, -62034.46115212951, -103900.23348474619, -103900.23348474619, -104001.52821039032, -104001.52821039032, -104001.52821039032, -104001.52821039032, -104001.52821039032, -104001.52821039032, -104001.52821039032, -104001.52821039032, -104001.52821039032, -104979.28870252677, -104979.28870252677, -104979.28870252677, -104979.28870252677, -104979.28870252677, -104979.28870252677, -104979.28870252677, -104979.28870252677, -104979.28870252677, -104979.28870252677, -104979.28870252677]",3.43
PSO,322,-116754.38988350553,-1704.5821400878724,"[2.5708378446655336, 0.21757069087530273, 0.13149216296260352, 101.87195098559292, 1.9014871808663503, 0.47092409968163274, 5.323652891914367, 3.825143443026655]",50,24,10,0.0001,10,"[-54533.00093389259, -72051.8743685929, -72051.8743685929, -72051.8743685929, -72051.8743685929, -72051.8743685929, -76844.05946792795, -86757.39550034066, -86757.39550034066, -99671.78064397509, -103691.43751914306, -106354.19894930774, -106354.19894930774, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553]",2.75
PSO,319,-118076.03989867195,-2298.061153737314,"[2.6958012340235604, 1.8851982232595512, 0.12515109658946041, 23.37683476963433, 1.8353033704524246, 0.5, 4.798082984878194, 4.210444993454821]",50,35,10,0.0001,10,"[-11754.738294822182, -27059.658839327858, -27059.658839327858, -27330.912392561713, -52252.44662974736, -52252.44662974736, -52252.44662974736, -76795.11682750363, -76795.11682750363, -76795.11682750363, -76795.11682750363, -76795.11682750363, -76795.11682750363, -76795.11682750363, -76795.11682750363, -76795.11682750363, -96595.34817295948, -103021.06431657608, -103021.06431657608, -107159.30079781628, -107159.30079781628, -114988.32660882402, -114988.32660882402, -114988.32660882402, -118076.03989867195, -118076.03989867195, -118076.03989867195, -118076.03989867195, -118076.03989867195, -118076.03989867195, -118076.03989867195, -118076.03989867195, -118076.03989867195, -118076.03989867195, -118076.03989867195]",3.89
PSO,323,-113629.10931082691,-2230.102508417966,"[2.820398779755395, 2.01113090210104, 0.05, 105.33342319756851, 1.6400595098759123, 0.48252119265568827, 4.974113755605399, 4.0197957714762484]",50,28,10,0.0001,10,"[-5669.678364090775, -9695.853747228197, -70671.23506074217, -70671.23506074217, -70671.23506074217, -72051.8743685929, -76795.11682750363, -76795.11682750363, -83937.01332479363, -83937.01332479363, -83937.01332479363, -83937.01332479363, -83937.01332479363, -83937.01332479363, -83937.01332479363, -83937.01332479363, -95046.83622376852, -113629.10931082691, -113629.10931082691, -113629.10931082691, -113629.10931082691, -113629.10931082691, -113629.10931082691, -113629.10931082691, -113629.10931082691, -113629.10931082691, -113629.10931082691, -113629.10931082691]",3.2
