alg,seed,train,test,"theta [d1, t1, a1,  d2, t2, a2, shift]",pop_size,gens,stalled_gens,tolerance,patience,fitness_history,time(seconds)
PSO,8,-79368.27788000344,-4592.922028578845,"[4.021304727861835, 0.2201291825773847, 0.5, 20.0, 1.9446619630375448, 0.33954984193999194, 8.07894752039171, 6.984721163208455]",50,35,10,0.0001,10,"[-9181.136100861533, -14768.832562505866, -33936.1840915302, -33936.1840915302, -35121.36562231581, -35121.36562231581, -35602.251657546796, -42370.80712490997, -48851.63156962856, -50632.66496160024, -50874.01539567739, -50874.01539567739, -50874.01539567739, -50874.01539567739, -50874.01539567739, -50874.01539567739, -52228.62218635802, -52228.62218635802, -52358.02231194191, -53118.431795195436, -53118.431795195436, -58502.14966121023, -65789.51595043065, -76660.589976201, -79368.27788000344, -79368.27788000344, -79368.27788000344, -79368.27788000344, -79368.27788000344, -79368.27788000344, -79368.27788000344, -79368.27788000344, -79368.27788000344, -79368.27788000344, -79368.27788000344]",2.86
PSO,0,-118076.03989867195,-2298.061153737314,"[2.985710168893247, 1.9311146700610637, 0.1275477916140975, 20.618663961509313, 2.033476887756641, 0.5, 5.092983987981375, 3.953091558896037]",50,57,10,0.0001,10,"[-10296.12353438522, -13737.364908832946, -20070.411627861053, -20070.411627861053, -24687.04748812696, -42278.84230289343, -42278.84230289343, -48306.348939299634, -53828.8320581574, -53828.8320581574, -53828.8320581574, -53828.8320581574, -53828.8320581574, -55511.41904405279, -59468.52111418841, -59468.52111418841, -65885.17153469981, -67564.50866748765, -84655.22789025832, -84655.22789025832, -91177.40359096503, -91177.40359096503, -103233.66287810232, -103233.66287810232, -103233.66287810232, -105181.35659743036, -105181.35659743036, -108133.00702498645, -108133.00702498645, -108133.00702498645, -108133.00702498645, -108133.00702498645, -108133.00702498645, -108133.00702498645, -108133.00702498645, -110860.31607415907, -110860.31607415907, -110860.31607415907, -110860.31607415907, -110860.31607415907, -110860.31607415907, -110860.31607415907, -110860.31607415907, -110860.31607415907, -114988.32660882402, -114988.32660882402, -118076.03989867195, -118076.03989867195, -118076.03989867195, -118076.03989867195, -118076.03989867195, -118076.03989867195, -118076.03989867195, -118076.03989867195, -118076.03989867195, -118076.03989867195, -118076.03989867195]",4.54
PSO,12,-116754.38988350553,-1704.5821400878724,"[3.003202560549322, 0.0, 0.05, 200.0, 1.5186368462665025, 0.47097762514709873, 4.80496797899413, 3.775154319915136]",50,35,10,0.0001,10,"[-12124.179368567951, -28592.71979948921, -34004.32245979257, -34004.32245979257, -49206.9107877669, -49336.656641317844, -52755.606040605286, -52811.65349373731, -52811.65349373731, -85663.67823132014, -85663.67823132014, -85663.67823132014, -85663.67823132014, -85663.67823132014, -85663.67823132014, -85663.67823132014, -92045.12688075815, -94366.67063858718, -100079.71311130351, -104967.80580347912, -105816.9311777904, -105816.9311777904, -105816.9311777904, -105816.9311777904, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553]",3.23
PSO,13,-106207.3712509007,-3709.4299444908497,"[2.9665130178642305, 1.6834848315538367, 0.18939069317336707, 20.0, 2.014763454760711, 0.5, 4.737167319243187, 6.41315966895493]",50,34,10,0.0001,10,"[-12258.382280608377, -24397.90290083184, -29568.0444031534, -51072.61476710846, -53611.89861443108, -53611.89861443108, -53611.89861443108, -58159.00993538403, -58899.4395329661, -85426.67377577929, -86259.98703514949, -91177.40359096503, -91177.40359096503, -91177.40359096503, -91177.40359096503, -91177.40359096503, -91177.40359096503, -91177.40359096503, -105181.35659743036, -105181.35659743036, -105181.35659743036, -105181.35659743036, -105181.35659743036, -106207.3712509007, -106207.3712509007, -106207.3712509007, -106207.3712509007, -106207.3712509007, -106207.3712509007, -106207.3712509007, -106207.3712509007, -106207.3712509007, -106207.3712509007, -106207.3712509007]",2.97
PSO,16,-116754.38988350553,-1704.5821400878724,"[2.945436078890083, 0.0, 0.474203018761368, 168.4340781963745, 2.1063017921960316, 0.47142151025570167, 4.539572668728423, 3.737279238821509]",50,30,10,0.0001,10,"[-7373.21271010645, -19122.495017592184, -72204.78327274519, -72204.78327274519, -77911.44061586988, -77911.44061586988, -77911.44061586988, -86757.39550034066, -90701.51128424537, -95046.83622376852, -103691.43751914306, -106354.19894930774, -106354.19894930774, -106354.19894930774, -106354.19894930774, -106354.19894930774, -106354.19894930774, -106354.19894930774, -106354.19894930774, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553]",2.99
PSO,15,-116754.38988350553,-1704.5821400878724,"[2.537401138474096, 0.0, 0.052831047081703136, 39.835325464920984, 1.8330969029902613, 0.4707697672177084, 4.628176011380111, 3.9378223266775487]",50,40,10,0.0001,10,"[-7566.09016395302, -10391.36618170109, -10391.36618170109, -19573.545505252776, -19573.545505252776, -63639.30987604582, -63639.30987604582, -63639.30987604582, -63639.30987604582, -63639.30987604582, -63639.30987604582, -63639.30987604582, -63639.30987604582, -70671.23506074217, -70671.23506074217, -77370.70562122964, -89703.48441137385, -89703.48441137385, -92304.00945075351, -92304.00945075351, -92304.00945075351, -92304.00945075351, -94366.67063858718, -94366.67063858718, -94457.7747595303, -95705.47611532264, -100079.71311130351, -103426.01658910458, -103691.43751914306, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553]",3.59
PSO,14,-118076.03989867195,-2298.061153737314,"[3.163112262288975, 1.5400642706295573, 0.12835964538621344, 102.6118112107238, 1.9054104009337913, 0.5, 4.831144823559999, 4.0853417260764395]",50,41,10,0.0001,10,"[-7930.211591579544, -12592.631668773489, -37300.03570259235, -37300.03570259235, -37300.03570259235, -43543.318928738125, -43543.318928738125, -52313.86993247455, -52313.86993247455, -52313.86993247455, -62168.83012577793, -62168.83012577793, -62168.83012577793, -64778.02298667757, -64778.02298667757, -64778.02298667757, -72579.25750662218, -78693.59301422855, -97946.38100822346, -97946.38100822346, -97946.38100822346, -97946.38100822346, -104636.68615870069, -108215.01093944188, -108215.01093944188, -108215.01093944188, -108215.01093944188, -108215.01093944188, -108215.01093944188, -108215.01093944188, -118076.03989867195, -118076.03989867195, -118076.03989867195, -118076.03989867195, -118076.03989867195, -118076.03989867195, -118076.03989867195, -118076.03989867195, -118076.03989867195, -118076.03989867195, -118076.03989867195]",3.99
PSO,18,-71257.03014289764,-4409.581911457105,"[4.48186291080214, 1.319395464358085, 0.4515386591846935, 20.0, 2.0095691324507423, 0.4974425360234266, 5.170359515794538, 6.282692279648045]",50,29,10,0.0001,10,"[-11870.327353392271, -21934.15943688251, -31786.565807845982, -34612.601113028766, -47218.07021232324, -47218.07021232324, -50781.978977733765, -50781.978977733765, -50781.978977733765, -50781.978977733765, -63380.00183114794, -63380.00183114794, -69947.51490429488, -69947.51490429488, -69947.51490429488, -70993.8077092642, -70993.8077092642, -70993.8077092642, -71257.03014289764, -71257.03014289764, -71257.03014289764, -71257.03014289764, -71257.03014289764, -71257.03014289764, -71257.03014289764, -71257.03014289764, -71257.03014289764, -71257.03014289764, -71257.03014289764]",2.78
PSO,17,-110152.33684783716,-3597.2650153163886,"[2.5138546862479463, 1.7868602380242622, 0.18168577335730282, 115.13727593339686, 1.8819491402596156, 0.5, 5.360005652480958, 5.758271089556371]",50,29,10,0.0001,10,"[-11102.590164768562, -24675.45606375048, -55567.1770839775, -55567.1770839775, -55567.1770839775, -55567.1770839775, -87458.01156323927, -87458.01156323927, -87458.01156323927, -89589.4026158558, -89589.4026158558, -91177.40359096503, -91177.40359096503, -91177.40359096503, -91177.40359096503, -93991.08292442399, -103233.66287810232, -103904.02848318845, -110152.33684783716, -110152.33684783716, -110152.33684783716, -110152.33684783716, -110152.33684783716, -110152.33684783716, -110152.33684783716, -110152.33684783716, -110152.33684783716, -110152.33684783716, -110152.33684783716]",2.95
PSO,21,-108219.93218890636,-4737.270832729227,"[4.9094476830730525, 1.582632247302826, 0.08151722641008713, 142.82629696743484, 2.096561288918202, 0.3055537774952195, 6.583976124258753, 8.561778995197423]",50,17,10,0.0001,10,"[-31128.252033605706, -31128.252033605706, -68821.39552328731, -94386.10373647873, -94386.10373647873, -94386.10373647873, -108219.93218890636, -108219.93218890636, -108219.93218890636, -108219.93218890636, -108219.93218890636, -108219.93218890636, -108219.93218890636, -108219.93218890636, -108219.93218890636, -108219.93218890636, -108219.93218890636]",1.57
PSO,19,-104979.28870252677,-2410.2238789657736,"[3.1386734507365626, 0.06333386959012147, 0.05, 23.707004282111427, 1.8952804472998321, 0.49023868907460616, 3.0352533170973617, 4.040810103913568]",50,29,10,0.0001,10,"[-11781.776126635174, -22265.239145288997, -39223.80874368698, -42288.443057369834, -42288.443057369834, -42288.443057369834, -44501.300179439444, -62999.987831518796, -68470.68028726663, -79790.30473764968, -87961.75684265954, -90080.26250813187, -90080.26250813187, -90080.26250813187, -103616.60369470537, -103616.60369470537, -104001.52821039032, -104001.52821039032, -104979.28870252677, -104979.28870252677, -104979.28870252677, -104979.28870252677, -104979.28870252677, -104979.28870252677, -104979.28870252677, -104979.28870252677, -104979.28870252677, -104979.28870252677, -104979.28870252677]",2.93
PSO,20,-116754.38988350553,-1704.5821400878724,"[2.627763004603854, 0.16921200957575677, 0.15647311288787463, 87.43514777741187, 2.2401333352775725, 0.4703628573477033, 5.335466350622795, 3.6066763947592007]",50,29,10,0.0001,10,"[-13414.920893970018, -26576.141823277347, -34746.56413218208, -42057.110152805704, -45692.62756979448, -45692.62756979448, -84781.87861468867, -84781.87861468867, -91923.41638317017, -91923.41638317017, -95263.21215535185, -95263.21215535185, -95263.21215535185, -95705.47611532264, -95705.47611532264, -95705.47611532264, -103691.43751914306, -105816.9311777904, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553]",2.87
PSO,22,-65784.15293585842,-4004.838531825589,"[4.494838078935402, 2.0050484738054117, 0.3224460041587825, 129.59029640974632, 2.0516136478007474, 0.5, 4.909336345305513, 8.978692688077768]",50,27,10,0.0001,10,"[-6923.632291925954, -7873.706481838506, -7873.706481838506, -7873.706481838506, -7873.706481838506, -18855.545292486324, -19691.888913938645, -28808.7258768761, -62223.8665822015, -62223.8665822015, -62223.8665822015, -62223.8665822015, -62223.8665822015, -62223.8665822015, -62223.8665822015, -62223.8665822015, -65784.15293585842, -65784.15293585842, -65784.15293585842, -65784.15293585842, -65784.15293585842, -65784.15293585842, -65784.15293585842, -65784.15293585842, -65784.15293585842, -65784.15293585842, -65784.15293585842]",2.58
PSO,28,-81112.73936792623,-5331.637023021091,"[3.543770251133, 1.3747013877912462, 0.2964620301212355, 78.18278611295246, 2.0384471574417886, 0.48930046178184056, 5.029930436459462, 5.606252041431664]",50,24,10,0.0001,10,"[-12088.262482290545, -30298.328120291662, -30298.328120291662, -36135.02750745346, -45279.76825034572, -57256.28868488205, -62829.16471767819, -66246.47792882848, -66246.47792882848, -66246.47792882848, -79417.05669726057, -79417.05669726057, -79417.05669726057, -81112.73936792623, -81112.73936792623, -81112.73936792623, -81112.73936792623, -81112.73936792623, -81112.73936792623, -81112.73936792623, -81112.73936792623, -81112.73936792623, -81112.73936792623, -81112.73936792623]",2.3
PSO,23,-113629.10931082691,-2230.102508417966,"[2.9896501745612474, 1.8053085904406003, 0.05, 20.0, 1.859763612763061, 0.48247115203193763, 4.714851870785321, 4.107316068526967]",50,31,10,0.0001,10,"[-42514.769483962635, -49790.937448615165, -54616.691306715904, -54616.691306715904, -54616.691306715904, -54616.691306715904, -54616.691306715904, -54616.691306715904, -67269.96155625477, -81760.4335209043, -87946.86042999054, -88109.24163863088, -88109.24163863088, -97221.33559522821, -97221.33559522821, -97221.33559522821, -101907.99640391767, -107896.29682302425, -109705.30104390372, -111449.26184607002, -113629.10931082691, -113629.10931082691, -113629.10931082691, -113629.10931082691, -113629.10931082691, -113629.10931082691, -113629.10931082691, -113629.10931082691, -113629.10931082691, -113629.10931082691, -113629.10931082691]",3.14
PSO,27,-91392.03574577752,-4983.799597134624,"[4.826940668919104, 0.0, 0.5, 39.17795897014163, 2.148799881093184, 0.2895522811702442, 6.905237660527632, 9.0]",50,29,10,0.0001,10,"[-13330.255237871523, -17826.1325306815, -21723.647574402283, -55545.44116113111, -55545.44116113111, -55545.44116113111, -56839.07484895209, -69017.17795016983, -69017.17795016983, -69017.17795016983, -69017.17795016983, -69017.17795016983, -87586.16105789893, -87586.16105789893, -87586.16105789893, -87586.16105789893, -87586.16105789893, -87586.16105789893, -91392.03574577752, -91392.03574577752, -91392.03574577752, -91392.03574577752, -91392.03574577752, -91392.03574577752, -91392.03574577752, -91392.03574577752, -91392.03574577752, -91392.03574577752, -91392.03574577752]",2.68
PSO,26,-72736.7651471015,-4202.499197060717,"[6.798090566289442, 2.237510221005254, 0.488337229663179, 197.75636689561867, 1.7126817547549487, 0.5, 8.104629577270623, 8.917581904469357]",50,30,10,0.0001,10,"[-20065.20712676046, -34377.42705842514, -37001.3660410385, -41888.45611315197, -48885.35419751937, -49319.56447526476, -49319.56447526476, -49319.56447526476, -49319.56447526476, -49319.56447526476, -49319.56447526476, -49319.56447526476, -50865.76439763821, -53314.610454648166, -53314.610454648166, -53314.610454648166, -53314.610454648166, -53476.27575340932, -58233.577101905146, -72736.7651471015, -72736.7651471015, -72736.7651471015, -72736.7651471015, -72736.7651471015, -72736.7651471015, -72736.7651471015, -72736.7651471015, -72736.7651471015, -72736.7651471015, -72736.7651471015]",2.82
PSO,29,-91392.03574577752,-4983.799597134624,"[5.202492621147964, 0.0, 0.06578102047067068, 200.0, 1.890072183405119, 0.29005310373233495, 6.605531327916125, 9.0]",50,26,10,0.0001,10,"[-9425.161874000152, -10565.10918258025, -28967.70125694425, -82675.05490883758, -82675.05490883758, -82675.05490883758, -82675.05490883758, -84102.83578568544, -84102.83578568544, -85074.16743154041, -85074.16743154041, -87498.70182771022, -87498.70182771022, -87586.16105789893, -91111.47924059986, -91392.03574577752, -91392.03574577752, -91392.03574577752, -91392.03574577752, -91392.03574577752, -91392.03574577752, -91392.03574577752, -91392.03574577752, -91392.03574577752, -91392.03574577752, -91392.03574577752]",2.62
PSO,24,-73942.3193503244,-5372.936641749217,"[6.2080389963433955, 1.559630708575908, 0.4798748319368724, 59.53099851522019, 2.3675665693953287, 0.5, 8.354970757291841, 8.98656947476937]",50,41,10,0.0001,10,"[-29983.769458942348, -33632.027659170475, -35258.182141901096, -35258.182141901096, -40409.378486303984, -41821.13321865535, -41821.13321865535, -41821.13321865535, -41821.13321865535, -45441.36106389362, -45441.36106389362, -46158.02046334479, -51323.35876629432, -51323.35876629432, -51323.35876629432, -51323.35876629432, -51323.35876629432, -53559.0924366638, -53559.0924366638, -55476.601074219296, -55476.601074219296, -58370.47157277412, -58370.47157277412, -58535.95642860613, -58535.95642860613, -58535.95642860613, -61271.70042883476, -61271.70042883476, -68946.94208222035, -68946.94208222035, -73942.3193503244, -73942.3193503244, -73942.3193503244, -73942.3193503244, -73942.3193503244, -73942.3193503244, -73942.3193503244, -73942.3193503244, -73942.3193503244, -73942.3193503244, -73942.3193503244]",3.94
