alg,seed,train,test,theta,pop_size,gens,stalled_gens,tolerance,patience,fitness_history,time(seconds)
PSO,14,-9433.138479717216,-1858.7831858112297,"[2.0, 0.06999011761870762, 0.0, 20.0, 1.0696381805899702, 0.0, 11.706177159860964, 9.241011429799645]",50,14,10,0.0001,10,"[-2823.275950105814, -5621.5356192557065, -8720.100756186303, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216]",1.99
PSO,15,-9120.612614316176,-1566.7637681840627,"[2.0, 0.0, 0.0, 20.0, 1.1920376100436259, 0.0, 7.022096175710154, 10.487035931806451]",50,14,10,0.0001,10,"[-2622.1530454757044, -4558.561429293163, -8233.659353325758, -9120.612614316176, -9120.612614316176, -9120.612614316176, -9120.612614316176, -9120.612614316176, -9120.612614316176, -9120.612614316176, -9120.612614316176, -9120.612614316176, -9120.612614316176, -9120.612614316176]",1.86
PSO,20,-3091.365675539185,-956.7771778726336,"[4.557240730280098, 0.3148392682877539, 0.0, 209.1330460194948, 1.3271453525902124, 0.0, 8.056908638536084, 8.102470432209678]",50,12,10,0.0001,10,"[-2496.836257170301, -3091.365675539185, -3091.365675539185, -3091.365675539185, -3091.365675539185, -3091.365675539185, -3091.365675539185, -3091.365675539185, -3091.365675539185, -3091.365675539185, -3091.365675539185, -3091.365675539185]",1.55
PSO,12,-9120.612614316176,-1566.7637681840627,"[2.0, 0.48159711553213747, 0.0, 20.0, 0.9987366341490527, 0.0, 7.1284747846346015, 10.18597204617311]",50,18,10,0.0001,10,"[-1993.841619922913, -1993.841619922913, -2110.505166150174, -2254.502136279074, -4622.308368670605, -5780.508058403086, -8667.684873021833, -9120.612614316176, -9120.612614316176, -9120.612614316176, -9120.612614316176, -9120.612614316176, -9120.612614316176, -9120.612614316176, -9120.612614316176, -9120.612614316176, -9120.612614316176, -9120.612614316176]",2.56
PSO,16,-9433.138479717216,-1858.7831858112297,"[2.0, 0.0, 0.0, 20.0, 0.8771286455103868, 0.0, 12.0, 8.500922317755412]",50,18,10,0.0001,10,"[-1660.6141400014187, -2284.3140546144414, -2716.824054608119, -6154.184528688887, -7897.127927172501, -7936.88664152122, -9397.744272871574, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216]",2.56
PSO,18,-9433.138479717216,-1858.7831858112297,"[2.0, 0.4345480364498562, 0.0, 20.0, 1.0483981544749126, 0.0, 12.0, 9.282086133024798]",50,20,10,0.0001,10,"[-3164.8086473889443, -6891.926615164843, -7273.871432427768, -8426.618257455006, -8426.618257455006, -8426.618257455006, -8426.618257455006, -8426.618257455006, -8752.942791563904, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216]",2.66
PSO,13,-9433.138479717216,-1858.7831858112297,"[2.0, 0.07957534993874035, 0.0, 20.0, 1.1492301517434174, 0.0, 12.0, 8.59421872600438]",50,20,10,0.0001,10,"[-2638.0796742139173, -2808.5813931403236, -2808.5813931403236, -5807.832159314179, -6678.093448180111, -7756.564980858758, -9000.575024764077, -9000.575024764077, -9000.575024764077, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216]",2.96
PSO,23,-9000.575024764077,-1527.9934483349198,"[2.5816514612945807, 0.21749841589473462, 0.0, 20.0, 1.3768129744623727, 0.0, 11.74220645927797, 12.149230433196871]",50,17,10,0.0001,10,"[-2343.7530525629672, -2739.187015911931, -3691.419035108152, -7387.200841492918, -8247.128022586438, -8247.128022586438, -9000.575024764077, -9000.575024764077, -9000.575024764077, -9000.575024764077, -9000.575024764077, -9000.575024764077, -9000.575024764077, -9000.575024764077, -9000.575024764077, -9000.575024764077, -9000.575024764077]",2.28
PSO,21,-9433.138479717216,-1858.7831858112297,"[2.0, 0.2616627027766908, 0.0, 20.0, 1.1676841698859208, 0.0, 12.0, 8.516242575433802]",50,18,10,0.0001,10,"[-2299.2362842433517, -2537.587998177876, -2778.562277130186, -2778.562277130186, -6039.546849875474, -9120.612614316176, -9397.744272871574, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216]",2.53
PSO,19,-9433.138479717216,-1858.7831858112297,"[2.0, 0.0, 0.0, 20.0, 0.8271349222945097, 0.0, 11.68873259610862, 8.786536085504622]",50,23,10,0.0001,10,"[-1950.7364808707641, -2528.0928366486537, -2528.0928366486537, -2528.0928366486537, -2528.0928366486537, -2892.567404757281, -2984.259432384408, -5263.710255388097, -6626.532464431075, -7101.639549867599, -7303.567866001813, -8309.790404773592, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216]",3.28
