alg,seed,train,test,"theta [d1, t1, a1,  d2, t2, a2, shift]",pop_size,gens,time(seconds)
PSO,4,-5.165949732199356e-06,-0.736945249109557,"[5.0, 1.2852741450248757, 0.2293428547592869, 98.07005224093031, 2.43511491137497, 0.44249278173183726, 4.716001202448623]",50,50,8.69
PSO,6,-4.956031497642642e-07,-0.45278226080643,"[50.0, 2.589820783169162, 0.5, 20.0, 2.9484594329992078, 0.5, 2.8258613021473877]",50,50,8.71
PSO,7,-5.165949732199356e-06,-0.736945249109557,"[5.0, 0.8401049759020963, 0.41615433380601163, 35.07640691874793, 2.0299702491971665, 0.4423907285928818, 4.594920380087901]",50,50,8.94
PSO,10,-5.165949732199356e-06,-0.736945249109557,"[5.0, 1.165402698727777, 0.5, 200.0, 1.8752146142299115, 0.442462539528522, 4.5699458677439155]",50,50,8.92
PSO,11,-5.165949732199356e-06,-0.736945249109557,"[5.137298239083695, 1.4727131790502905, 0.3890985462366445, 147.27894444991242, 1.5030851097584144, 0.4422767123646389, 4.71173751560441]",50,50,8.91
PSO,1,-7.5439467725639365e-06,-0.17233504066933308,"[5.0, 1.3174768720298407, 0.2916880509379977, 91.26412843690113, 1.577408836031119, 0.47972513274872775, 0.8768860278456245]",50,50,9.03
PSO,2,-5.165949732199356e-06,-0.736945249109557,"[5.0, 0.6761793973275751, 0.15541033709225713, 200.0, 2.0626644093318807, 0.4424762159698429, 5.3384515484102835]",50,50,9.17
PSO,9,-7.5439467725639365e-06,-0.17233504066933308,"[5.08336450443332, 0.8898011317503501, 0.5, 200.0, 2.0889700933911515, 0.47947412136842754, 1.114581574695091]",50,50,9.17
PSO,0,-2.5990013773457184e-06,-0.22020350080415568,"[50.0, 1.9967289356851496, 0.5, 20.0, 1.6433871261578568, 0.5, 1.220274024971036]",50,50,9.26
PSO,8,-5.165949732199356e-06,-0.736945249109557,"[5.0, 0.9145939386368644, 0.11683045086809227, 36.680095803090126, 1.7799076916491114, 0.4424610773356017, 4.883216285710635]",50,50,9.25
PSO,3,-7.5439467725639365e-06,-0.18911287712327285,"[5.0, 1.297411626780733, 0.3471167864206203, 24.127421422416244, 2.0798461113326567, 0.4800165224899256, 1.0240379715245935]",50,50,9.29
PSO,5,-5.165949732199356e-06,-0.736945249109557,"[5.0, 0.8745732098654825, 0.22412058335759039, 20.0, 1.7567796286876538, 0.44248301743893875, 4.744508900791045]",50,50,9.3
PSO,12,-0.00010375075738113516,-0.8809415399652147,"[5.0, 2.8585475338344093, 0.4999794225970194, 200.0, 3.0, 0.37366740010422045, 5.1144467282966835]",50,50,9.38
PSO,14,-7.5439467725639365e-06,-0.17233504066933308,"[5.0, 0.6289522454428275, 0.5, 65.93702966487892, 2.0983477875913006, 0.4798992282613622, 1.0767962301361855]",50,50,9.32
PSO,17,-0.00012471251001561594,-0.4982939217739311,"[5.0, 0.0, 0.4986568056766224, 200.0, 2.121865348916767, 0.3686255221366919, 2.7942259075516365]",50,50,9.29
PSO,15,-5.165949732199356e-06,-0.736945249109557,"[5.0, 1.268676295124203, 0.09935055052584592, 154.3014231446375, 2.067381877205797, 0.4424323651909596, 5.352426520384406]",50,50,9.37
PSO,18,-0.00014039403167844032,-45.483157322061764,"[50.0, 2.097753365186679, 0.5, 192.84129923871416, 1.9586825181975256, 0.5, 5.020382876529248]",50,50,9.22
PSO,13,-5.07653175893251e-06,-0.37226701265067336,"[5.0, 2.2451844608098153, 0.43652515439627354, 200.0, 1.6121527330033, 0.5, 3.703020634341076]",50,50,9.95
PSO,21,-7.5439467725639365e-06,-0.17233504066933308,"[5.0, 0.5632307762865875, 0.5, 20.0, 2.1011896935157353, 0.47994760358542693, 0.6327320603191494]",50,50,9.56
PSO,20,-6.155715644002359e-06,-0.6697537728050419,"[5.0, 1.0382724935193801, 0.10663824268599931, 29.209087339620346, 1.797431726664606, 0.44047999279002853, 4.556491647698916]",50,50,9.7
PSO,16,-1.8611283766203672e-05,-0.8861702311121178,"[5.0, 2.5755213473222427, 0.5, 200.0, 2.976686398161636, 0.06150099245187071, 0.0]",50,50,9.97
PSO,23,-5.07653175893251e-06,-0.37226701265067336,"[5.0, 1.866344825263406, 0.4365256295418699, 198.98086151097687, 1.765325265294465, 0.5, 4.3311716810403835]",50,50,9.83
PSO,22,-5.726533507774882e-06,-0.24571755914464877,"[5.0, 0.9905344709915503, 0.36372408129231293, 108.60376396431, 2.264885093609203, 0.44054987511257815, 3.7767821589093673]",50,50,10.99
PSO,19,-1.411321092846742e-06,-0.19463069973279262,"[50.0, 1.7569190419786933, 0.5, 40.91432635058865, 2.35454338795154, 0.5, 6.0]",50,50,11.14
PSO,25,-5.07653175893251e-06,-0.37226701265067336,"[5.0, 2.442030589039487, 0.436507589259272, 20.0, 1.9174219703947304, 0.5, 4.235013858336709]",50,50,8.43
PSO,27,-4.956031497642642e-07,-0.45278226080643,"[50.0, 2.9756100482044676, 0.5, 20.0, 3.0, 0.5, 2.6870324278923468]",50,50,9.46
PSO,26,-7.5439467725639365e-06,-0.17233504066933308,"[5.0, 0.9359646638340025, 0.26521252636990283, 52.027884571547034, 1.8154745907650902, 0.47948455460982786, 1.065047361518167]",50,50,9.69
PSO,24,-1.5751771275793295e-05,-0.7944884149815769,"[5.0, 2.833668433361673, 0.49995173049563835, 199.7488520598275, 3.0, 0.06174893375406518, 0.26322380376871035]",50,50,10.01
PSO,30,-5.165949732199356e-06,-0.736945249109557,"[5.0, 0.5111515938104997, 0.46185571240619566, 44.68224636163495, 2.397991867925958, 0.44240738208511865, 4.955008364625403]",50,50,9.38
PSO,28,-7.5439467725639365e-06,-0.17233504066933308,"[5.0, 1.0894102445960694, 0.31092808015159656, 20.0, 2.1900961814184545, 0.47963063826666474, 1.239967574952441]",50,50,9.86
PSO,32,-5.089164038079192e-06,-0.38825477590569496,"[5.0, 2.2396115343731227, 0.4338484071093183, 58.89492380242381, 1.5263166652034696, 0.4985937524940683, 3.662788701069632]",50,50,9.56
PSO,31,-5.165949732199356e-06,-0.736945249109557,"[5.47534084484781, 1.4648843010449, 0.08113092693233226, 20.0, 2.3560787606411413, 0.44238540701376033, 4.563433277257094]",50,50,9.62
PSO,33,-5.165949732199356e-06,-0.736945249109557,"[5.0, 1.3949611355378082, 0.44545181576971704, 200.0, 2.272550740161486, 0.4424090333658175, 4.945577358649087]",50,50,9.72
PSO,29,-1.2898649694488088e-05,-1.148643399566874,"[5.0, 3.0, 0.5, 179.15249349002474, 3.0, 0.06453153886298733, 0.0]",50,50,10.61
PSO,35,-5.165949732199356e-06,-0.736945249109557,"[5.0, 0.7318329770349206, 0.5, 200.0, 2.3753443709524937, 0.44240472080389825, 5.076536035010869]",50,50,9.14
PSO,34,-2.5990013773457184e-06,-0.22020350080415568,"[50.0, 1.5303418115765448, 0.5, 20.0, 2.052750058205464, 0.5, 0.6009691564430495]",50,50,9.44
PSO,36,-1.209444957798935e-05,-0.09426932741924868,"[5.0, 2.1795494414901238, 0.40745277645254324, 20.018900382980053, 1.6576235049009553, 0.5, 1.2171688034777794]",50,50,9.3
PSO,37,-5.165949732199356e-06,-0.736945249109557,"[5.0, 0.7784920463855451, 0.1924934812786786, 37.41906251907558, 2.289711751639824, 0.44249146446379606, 4.60732731682904]",50,50,9.51
PSO,39,-5.165949732199356e-06,-0.736945249109557,"[5.0, 1.3791134852045812, 0.43355403928879266, 20.0, 2.32125550948578, 0.44236042820438737, 5.318289386890085]",50,50,9.4
PSO,40,-5.165949732199356e-06,-0.736945249109557,"[5.0, 1.3216616963619485, 0.06937099659263288, 110.28829820125111, 2.3598274325558686, 0.44245323791162966, 4.697057985597305]",50,50,9.86
PSO,38,-5.165949732199356e-06,-0.736945249109557,"[5.0, 0.8966903455215294, 0.05569114384099423, 109.66806483940032, 1.921020872644587, 0.44236638468620465, 4.642172918636864]",50,50,10.16
PSO,43,-5.165949732199356e-06,-0.736945249109557,"[5.0, 0.6482673209747778, 0.3684737142253132, 141.0905649046398, 2.0280442441754505, 0.44246285452394496, 4.973619120793569]",50,50,9.65
PSO,41,-5.165949732199356e-06,-0.736945249109557,"[5.0, 0.7208935575483709, 0.40789060255797444, 29.929987265543154, 1.9204405824305146, 0.44236502844008835, 5.151032807319758]",50,50,10.16
PSO,42,-5.165949732199356e-06,-0.736945249109557,"[5.0, 0.9453791538780898, 0.46760611044748684, 153.59331392275303, 2.236365086802877, 0.4422903121044819, 4.689913619945294]",50,50,10.81
PSO,46,-5.165949732199356e-06,-0.736945249109557,"[5.0, 1.0852849749216054, 0.2795330417075865, 20.0, 1.6845561641850604, 0.4424026979044382, 4.78500523769706]",50,50,9.83
PSO,44,-7.5439467725639365e-06,-0.18911287712327285,"[5.0, 0.5515583885859201, 0.5, 35.37646067081877, 2.152277154298779, 0.48003650909421025, 0.9701647867072056]",50,50,10.61
PSO,45,-5.07653175893251e-06,-0.37226701265067336,"[5.0, 1.9099544620787146, 0.43652706341251585, 97.72090534185176, 2.3419888461536984, 0.5, 3.91380656382919]",50,50,10.56
PSO,47,-5.165949732199356e-06,-0.736945249109557,"[5.0, 1.1773033553673702, 0.3967162025572828, 113.81764441992422, 1.9840271132565612, 0.4423043549412958, 4.654045185102886]",50,50,10.87
PSO,48,-7.5439467725639365e-06,-0.17233504066933308,"[5.0, 0.9041062971101219, 0.3946781094749162, 200.0, 1.9671391110190188, 0.47982946278226035, 1.023756528512903]",50,50,9.2
PSO,49,-5.165949732199356e-06,-0.736945249109557,"[5.0, 0.7039461392794198, 0.29843115396450975, 76.87050089124436, 1.6525888567342444, 0.44228873432406607, 4.512154812576222]",50,50,9.45
PSO,50,-5.165949732199356e-06,-0.736945249109557,"[5.0, 1.4365646600781565, 0.221121620176963, 44.30290882349054, 1.8638537583462014, 0.44248921461150104, 5.0288603990601395]",50,50,9.41
PSO,51,-5.165949732199356e-06,-0.736945249109557,"[5.0, 0.9283110200773733, 0.25634586730264536, 122.401237920627, 2.43380470684531, 0.4423659328688384, 5.003881023378324]",50,50,8.9
PSO,53,-5.165949732199356e-06,-0.736945249109557,"[5.0, 1.4037765893540466, 0.05, 112.55237793009347, 2.276000087479958, 0.4424511392772759, 4.6432960743241445]",50,50,9.38
PSO,52,-7.5439467725639365e-06,-0.17233504066933308,"[5.0, 0.5839330617715127, 0.5, 57.30603229930007, 2.175055616549746, 0.47947756095053246, 0.7051965456479641]",50,50,9.71
PSO,54,-5.165949732199356e-06,-0.736945249109557,"[5.0, 0.8145267901045048, 0.05, 20.0, 1.6250628922624597, 0.44234001906734544, 4.641935310124687]",50,50,9.61
PSO,57,-5.07653175893251e-06,-0.37226701265067336,"[5.0, 2.147434469404021, 0.4365102070478484, 104.66085141636856, 1.7019469097120514, 0.5, 4.36724372548411]",50,50,8.85
PSO,55,-7.5439467725639365e-06,-0.17233504066933308,"[5.0, 1.2214053997221939, 0.4165857661563715, 136.41135354432748, 2.3845441255057884, 0.4798872604008536, 1.0522685652868606]",50,50,9.2
PSO,56,-1.0142455690532585e-06,-0.3801028113464067,"[50.0, 2.836417272163761, 0.5, 20.0, 2.91373132945448, 0.5, 0.11798237835855344]",50,50,9.44
PSO,58,-7.5439467725639365e-06,-0.17233504066933308,"[5.0, 0.7507717156958275, 0.3295203906569953, 200.0, 2.1233914398683256, 0.47984545330557904, 0.8235548208012563]",50,50,9.94
PSO,59,-5.07653175893251e-06,-0.37226701265067336,"[5.0, 1.9982168405214105, 0.4364978260232896, 164.06079629478444, 1.727477633149597, 0.5, 4.4757468601584645]",50,50,9.34
CAB,0,-1000.0,-1000.0,"[33.30986681928692, 2.7814636592036024, 0.24816971962210282, 191.8262888643327, 1.499687441062941, 0.24135288118208398, 3.721280712092267]",50,50,9.94
CAB,1,-1000.0,-1000.0,"[28.03197311151155, 2.851391088977806, 0.11487182572383518, 190.7569004847039, 0.9354943560314564, 0.24049690203765905, 4.966215562922651]",50,50,9.9
CAB,3,-1000.0,-1000.0,"[38.20270042814721, 2.8688017645082957, 0.17789052368695618, 136.7384972743685, 2.0886479900104664, 0.1817243370556192, 0.008940501053017025]",50,50,9.81
CAB,2,-1000.0,-1000.0,"[27.68065170807185, 2.8120294311869043, 0.38767846746347406, 123.40396961893384, 1.8518164101158496, 0.2779481712231411, 5.7885708532521285]",50,50,10.62
CAB,5,-1020.7319581695723,-454.63657240388466,"[26.61076452658485, 0.7468436652131246, 0.45159736539116585, 190.96541961647404, 0.21308068301341687, 0.2858378689996445, 1.1042292453304057]",50,50,10.28
CAB,4,-1000.0,-1000.0,"[12.853751726481281, 2.614905822562969, 0.2947736303435742, 182.39871434887792, 1.431460571517619, 0.2437233249782359, 4.733680305265977]",50,50,10.65
CAB,8,-1000.0,-1000.0,"[41.552611977454205, 2.940635959565752, 0.19917926502207473, 69.85930822140608, 1.9408327044948632, 0.3670847316954772, 2.556150285755999]",50,50,9.84
CAB,6,-1000.0,-1000.0,"[29.26612006273421, 2.9114674564224314, 0.17419241139511799, 181.0622338198012, 1.0855665642862942, 0.19041845783419958, 5.2877351666936345]",50,50,10.48
CAB,7,-1000.0,-1000.0,"[33.129295997210015, 2.6916414029087266, 0.39905856061033707, 60.53729419830653, 0.9004988547336763, 0.4430990504283179, 0.031591827393448346]",50,50,10.18
CAB,9,-1000.0,-1000.0,"[10.662015858133339, 2.713763309127099, 0.32114526131006915, 162.36757185363993, 1.8171590794052608, 0.3073509062127553, 4.769795236743537]",50,50,10.59
CAB,10,-1000.0,-1000.0,"[42.219677166115794, 2.800315412554744, 0.1152476127213023, 154.20443798790873, 0.4180541816034671, 0.4579379402508171, 1.3566866020471646]",50,50,9.95
CAB,11,-1000.0,-1000.0,"[10.839827722968408, 2.8449853598753254, 0.32984761675837226, 86.41876227136238, 1.5341700654097878, 0.34827932863255967, 1.6518528945667759]",50,50,9.97
CAB,12,-1000.0,-1000.0,"[16.287100614880075, 2.840258828578274, 0.1351941730428926, 52.272453875259366, 1.0496677217878725, 0.15374356096545766, 4.022674456636708]",50,50,9.67
CAB,13,-1000.0,-1000.0,"[43.915891415746394, 2.565907544796177, 0.414960529452954, 67.06034505496578, 0.23159837315526421, 0.4759096012007285, 3.6827501462826113]",50,50,9.54
CAB,14,-1000.0,-1000.0,"[49.81850928421993, 2.534891087982397, 0.24349345905732633, 28.472204755344226, 0.685785754844297, 0.08366299596731364, 4.706704272712046]",50,50,9.93
CAB,15,-1000.0,-1000.0,"[5.8246618718799406, 2.667551717675584, 0.2253913175074611, 61.71322301908653, 1.603182681760083, 0.47511062539374044, 1.9859898648244037]",50,50,9.61
CAB,16,-1000.0,-1000.0,"[48.13852239789892, 2.9549549632498433, 0.3484828701469401, 49.44586921800265, 1.1847319418270095, 0.17509784569020564, 5.734018171679152]",50,50,9.22
