alg,seed,train,test,theta,pop_size,gens,stalled_gens,tolerance,patience,fitness_history,time(seconds)
CAB,2,-38784.06471990484,-3295.4391821308004,"[6.141848467012042, 2.162723537003544, 0.2913982955091397, 183.57023533220058, 2.23904886527153, 0.4160084810195834, 5.80803154822144, 6.302716574589828]",30,18,10,0.0001,10,"[-23531.185463925056, -23531.185463925056, -24637.031586651134, -24637.031586651134, -24637.031586651134, -24637.031586651134, -38145.400820282346, -38784.06471990484, -38784.06471990484, -38784.06471990484, -38784.06471990484, -38784.06471990484, -38784.06471990484, -38784.06471990484, -38784.06471990484, -38784.06471990484, -38784.06471990484, -38784.06471990484]",0.95
PSO,5,-85063.09707789237,-2135.3931386497948,"[6.073081570479994, 0.2882378512554822, 0.5, 138.6616051429933, 1.6743976400936684, 0.2809567095659621, 8.964320392321955, 9.772341685653105]",30,45,10,0.0001,10,"[-18694.982381703794, -32584.324227704466, -36822.48579658669, -50378.61168897229, -63366.04533303493, -63366.04533303493, -63366.04533303493, -63366.04533303493, -63366.04533303493, -63366.04533303493, -63366.04533303493, -63366.04533303493, -63366.04533303493, -63366.04533303493, -70546.08451387547, -70546.08451387547, -70546.08451387547, -72284.4543564163, -81919.17940638542, -81919.17940638542, -81919.17940638542, -81919.17940638542, -81919.17940638542, -81919.17940638542, -81919.17940638542, -82822.35716419536, -82822.35716419536, -82822.35716419536, -82822.35716419536, -82822.35716419536, -82822.35716419536, -82822.35716419536, -82822.35716419536, -82822.35716419536, -85063.09707789237, -85063.09707789237, -85063.09707789237, -85063.09707789237, -85063.09707789237, -85063.09707789237, -85063.09707789237, -85063.09707789237, -85063.09707789237, -85063.09707789237, -85063.09707789237]",2.33
PSO,6,-113953.88063639935,-3511.5339111713283,"[5.840001990763827, 3.0, 0.23985273098840804, 10.0, 3.0, 0.14056502186039077, 9.93862738573219, 8.439917823758739]",30,47,10,0.0001,10,"[-20516.62290257199, -32739.43919308991, -32739.43919308991, -57226.460312043215, -57226.460312043215, -57496.80735829128, -77811.2971698449, -77811.2971698449, -79625.92692107118, -90561.8672877022, -90561.8672877022, -90561.8672877022, -96168.7902359347, -97711.8414057093, -101009.80565597997, -101009.80565597997, -101009.80565597997, -101009.80565597997, -101009.80565597997, -102638.45679919384, -102638.45679919384, -105918.62366246508, -105918.62366246508, -106218.30868584383, -106218.30868584383, -106218.30868584383, -106218.30868584383, -106218.30868584383, -106218.30868584383, -106367.99753498752, -106367.99753498752, -106367.99753498752, -106367.99753498752, -106367.99753498752, -106367.99753498752, -113327.65853709218, -113953.88063639935, -113953.88063639935, -113953.88063639935, -113953.88063639935, -113953.88063639935, -113953.88063639935, -113953.88063639935, -113953.88063639935, -113953.88063639935, -113953.88063639935, -113953.88063639935]",2.53
CAB,4,-40750.47815170533,-6948.421638845144,"[6.922863418324375, 0.7151178020758487, 0.4366620185656072, 35.54411594104664, 1.7731675274058072, 0.40037857709401903, 8.773190709114653, 9.769068832503699]",30,14,10,0.0001,10,"[-22557.37728037995, -22557.37728037995, -32869.92725424965, -40750.47815170533, -40750.47815170533, -40750.47815170533, -40750.47815170533, -40750.47815170533, -40750.47815170533, -40750.47815170533, -40750.47815170533, -40750.47815170533, -40750.47815170533, -40750.47815170533]",0.74
CAB,8,-65180.88398611546,-6265.581260533161,"[5.670747358393678, 0.829944333383227, 0.2167848362472345, 106.89538017144197, 1.6809517005770256, 0.35432317859000434, 6.641198667646471, 9.342299094466979]",30,14,10,0.0001,10,"[-31526.392924710468, -31526.392924710468, -59640.94835620698, -65180.88398611546, -65180.88398611546, -65180.88398611546, -65180.88398611546, -65180.88398611546, -65180.88398611546, -65180.88398611546, -65180.88398611546, -65180.88398611546, -65180.88398611546, -65180.88398611546]",0.78
CAB,3,-49529.821578361094,-5146.56408253951,"[5.6666796159428925, 0.8256661157532686, 0.22733415621858458, 30.921204592616675, 1.524863335436107, 0.3402517058151258, 9.680903558621464, 8.952080449790458]",30,34,10,0.0001,10,"[-18617.513917131586, -18617.513917131586, -20068.86996559103, -21018.627250894253, -21176.054682386213, -21176.054682386213, -21176.054682386213, -21176.054682386213, -25790.51960040745, -27050.58644908388, -27548.442511969868, -36568.87418383514, -36568.87418383514, -36568.87418383514, -36568.87418383514, -43356.84072942294, -43356.84072942294, -43356.84072942294, -43356.84072942294, -43356.84072942294, -43356.84072942294, -43356.84072942294, -43356.84072942294, -49529.821578361094, -49529.821578361094, -49529.821578361094, -49529.821578361094, -49529.821578361094, -49529.821578361094, -49529.821578361094, -49529.821578361094, -49529.821578361094, -49529.821578361094, -49529.821578361094]",1.69
CAB,7,-65225.16939883481,-4783.756421947384,"[6.200500255636487, 0.9573137525872097, 0.08734828712402415, 177.2461828498013, 1.741982871841746, 0.34575181335595845, 7.440664460785881, 10.590465173054202]",30,27,10,0.0001,10,"[-27864.29812901752, -27864.29812901752, -27864.29812901752, -27864.29812901752, -27864.29812901752, -27864.29812901752, -27864.29812901752, -27864.29812901752, -27864.29812901752, -29998.87438049111, -29998.87438049111, -57056.79493050381, -57056.79493050381, -61297.344624879704, -61297.344624879704, -61297.344624879704, -65225.16939883481, -65225.16939883481, -65225.16939883481, -65225.16939883481, -65225.16939883481, -65225.16939883481, -65225.16939883481, -65225.16939883481, -65225.16939883481, -65225.16939883481, -65225.16939883481]",1.39
GWO,2,-63825.22693553018,-4582.169405235354,"[4.943974213887054, 0.8353359036110394, 0.39034818787668085, 115.49484277335132, 1.8932478518549543, 0.4566258945664719, 5.0, 11.577306020675508]",30,15,10,0.0001,10,"[-23531.185463925056, -35971.481541039975, -35971.481541039975, -56089.32433286706, -63825.22693553018, -63825.22693553018, -63825.22693553018, -63825.22693553018, -63825.22693553018, -63825.22693553018, -63825.22693553018, -63825.22693553018, -63825.22693553018, -63825.22693553018, -63825.22693553018]",0.63
CAB,9,-56974.91765328386,-6596.863147806117,"[7.580295860920056, 1.9515596337203733, 0.2715715330557032, 118.28630365977749, 2.3902411818673834, 0.35401915427055786, 8.3821675837835, 9.563747658130042]",30,25,10,0.0001,10,"[-28433.946245115163, -28433.946245115163, -28433.946245115163, -28433.946245115163, -28433.946245115163, -28433.946245115163, -28433.946245115163, -28433.946245115163, -48698.08183133751, -48698.08183133751, -48698.08183133751, -51218.66303813731, -51218.66303813731, -51218.66303813731, -56974.91765328386, -56974.91765328386, -56974.91765328386, -56974.91765328386, -56974.91765328386, -56974.91765328386, -56974.91765328386, -56974.91765328386, -56974.91765328386, -56974.91765328386, -56974.91765328386]",1.44
GWO,1,-72295.6234106534,-4602.926545772543,"[6.8389137170278245, 0.7360805281355299, 0.35949796016119834, 10.0, 1.6186927305419234, 0.38079672475684284, 5.0, 12.0]",30,26,10,0.0001,10,"[-21474.802436422873, -35999.41772390749, -41967.97004662675, -41967.97004662675, -41967.97004662675, -41967.97004662675, -60448.08925514646, -64951.970305040915, -64951.970305040915, -64951.970305040915, -64951.970305040915, -64951.970305040915, -64951.970305040915, -64951.970305040915, -64951.970305040915, -72295.6234106534, -72295.6234106534, -72295.6234106534, -72295.6234106534, -72295.6234106534, -72295.6234106534, -72295.6234106534, -72295.6234106534, -72295.6234106534, -72295.6234106534, -72295.6234106534]",1.18
