alg,seed,train,test,"theta [d1, t1, a1,  d2, t2, a2, shift]",pop_size,gens,time(seconds)
PSO,0,-4.1940351339685655e-06,-0.1680964086349549,"[50.0, 1.6616676105802026, 0.5, 21.47884042016642, 1.8527025598576454, 0.5, 0.0]",50,50,8.25
PSO,6,-2.318142661745908e-05,-0.8513294192281693,"[5.0, 2.213297620239089, 0.4122297725189055, 187.10266540362227, 2.4378322476353276, 0.5, 0.0]",50,50,8.95
PSO,4,-2.3684784420442273e-05,-0.9250397089025727,"[5.0, 1.086260398961822, 0.5, 46.37187983825708, 1.5938082705524512, 0.4423222335864689, 0.0]",50,50,9.05
PSO,5,-2.3095651361518577e-05,-1.1309737181937596,"[5.0, 1.3949776964227802, 0.21385030053838394, 32.39745538549059, 2.119542611002929, 0.44018694395909547, 0.0]",50,50,9.18
PSO,7,-2.3095651361518577e-05,-1.1309737181937596,"[5.0, 1.1389312176093829, 0.5, 92.69372287117397, 1.882280537148817, 0.4402073303304945, 0.0]",50,50,9.2
PSO,9,-2.3095651361518577e-05,-1.1309737181937596,"[5.0, 1.1344895737571004, 0.40931218837232575, 200.0, 2.077138633477639, 0.4401979920484358, 0.0]",50,50,9.21
PSO,1,-2.3095651361518577e-05,-1.1309737181937596,"[5.0, 0.9565258711027547, 0.40149613444035187, 76.66319799484026, 2.332347817142017, 0.4401930093731282, 0.0]",50,50,9.43
PSO,8,-2.3684784420442273e-05,-0.9250397089025727,"[5.0, 0.7194751471433208, 0.18635518266299214, 47.57840537232454, 2.261240632294102, 0.4422714895715685, 0.0]",50,50,9.43
PSO,2,-2.3095651361518577e-05,-1.1309737181937596,"[5.0, 0.9436416446734414, 0.05, 200.0, 1.9276132140768556, 0.4401919521872178, 0.0]",50,50,9.53
PSO,11,-2.3684784420442273e-05,-0.9250397089025727,"[5.0, 1.1977555305600873, 0.3749058859291806, 174.43794481618545, 2.104388450182451, 0.4424637887123454, 0.0]",50,50,9.51
PSO,3,-2.3095651361518577e-05,-1.1309737181937596,"[5.0, 1.3424366136727253, 0.08531432240994244, 39.183277452190374, 1.8474750705714749, 0.4402088058128282, 0.0]",50,50,9.63
PSO,10,-2.3095651361518577e-05,-1.1309737181937596,"[5.0, 1.1872202772311797, 0.15471700796629329, 200.0, 2.2107803197527303, 0.44021311716414596, 0.0]",50,50,9.57
PSO,12,-8.113626010669602e-05,-0.5873169046626433,"[5.0, 3.0, 0.49009294398027753, 197.27192913839238, 3.0, 0.31113903128619047, 0.0]",50,50,9.95
PSO,14,-2.3684784420442273e-05,-0.9250397089025727,"[5.0, 1.1449648996571793, 0.3101088316883416, 153.65996554626605, 2.2200248505903684, 0.4424881793550308, 0.0]",50,50,9.51
PSO,17,-2.3095651361518577e-05,-1.1309737181937596,"[5.0, 0.6961941113484635, 0.16428876026306913, 198.8525122576902, 2.327906436301895, 0.4402048551103805, 0.0]",50,50,9.37
PSO,21,-2.272456449686543e-05,-0.9298862021327928,"[5.346605900363479, 1.9378540504558786, 0.4099155078008212, 23.28503752188416, 2.1650446851705465, 0.4957507885178701, 0.0]",50,50,9.12
PSO,15,-1.0142455690532585e-06,-0.3801028113464067,"[50.0, 2.721491187938298, 0.5, 41.313105092783516, 2.819000083418644, 0.5, 0.0]",50,50,9.55
PSO,18,-1.0142455690532585e-06,-0.3801028113464067,"[50.0, 2.688883147500721, 0.5, 20.0, 2.5354122702277264, 0.5, 0.0]",50,50,9.46
PSO,13,-2.3095651361518577e-05,-1.1309737181937596,"[5.0, 1.1120371503413087, 0.31456058366395756, 174.07094231564616, 2.188102726918276, 0.44019666338009866, 0.0]",50,50,10.03
PSO,16,-1.6007931806101853e-05,-0.7188766886372941,"[5.0, 2.921320910245579, 0.5, 30.336193752940193, 3.0, 0.23190412508930083, 0.0]",50,50,9.88
PSO,23,-2.318142661745908e-05,-0.8513294192281693,"[5.0, 2.1571265291188784, 0.41232910182935584, 182.5953530663884, 2.1511885141998954, 0.5, 0.0]",50,50,9.84
PSO,20,-2.3095651361518577e-05,-1.1309737181937596,"[5.0, 1.390677621510831, 0.05, 20.0, 1.8384790866974465, 0.4402073440797367, 0.0]",50,50,10.01
PSO,19,-4.1940351339685655e-06,-0.1680964086349549,"[49.901842267284025, 2.2123137602618166, 0.5, 37.38336053504565, 2.010051537960015, 0.5, 0.0]",50,50,10.21
PSO,22,-2.3095651361518577e-05,-1.1309737181937596,"[5.0, 0.5423769964548104, 0.5, 104.5464731355873, 1.6950703173762907, 0.4401959562583535, 0.0]",50,50,10.22
PSO,27,-0.00019283689270070643,-21.18034974920563,"[50.0, 1.818095586877741, 0.5, 159.952149111103, 1.9301477902660238, 0.5, 0.0]",50,50,8.48
PSO,24,-2.3095651361518577e-05,-1.1309737181937596,"[5.0, 1.4210943536235932, 0.2652649191503428, 26.041793369950714, 1.7775655586711312, 0.44018252528706353, 0.0]",50,50,9.17
PSO,25,-2.318142661745908e-05,-0.8513294192281693,"[5.0, 2.170502862850995, 0.41163681815129793, 104.6202209875789, 2.2311731947508235, 0.499630539922317, 0.0]",50,50,8.92
PSO,26,-2.272456449686543e-05,-0.9252173984929176,"[5.0, 1.9087615171504149, 0.4092928932756229, 118.63961872405986, 2.3430428039143574, 0.4954451639180298, 0.0]",50,50,8.84
PSO,28,-2.3095651361518577e-05,-1.1309737181937596,"[5.0, 1.0096424096885435, 0.28499573857487975, 78.65963535500168, 1.9726674395872095, 0.44018485741008573, 0.0]",50,50,9.37
