alg,seed,train,test,"theta [d1, t1, a1,  d2, t2, a2, shift]",pop_size,gens,time(seconds)
PSO,2,-46.944008252682714,-1000.0,"[50.0, 0.0, 0.4430023171879848, 26.820495216253747, 3.0, 0.3570286437053328, 5.651866491878499, 2.178182932697313]",30,70,1.74
PSO,1,-29.26219647159464,-1000.0,"[33.67172203525264, 1.4423365102864485, 0.4490835731152399, 59.88879119288765, 1.2929054312009152, 0.3106735445210069, 2.2181143407469284, 0.0]",30,70,2.07
PSO,4,-31.114191579245237,-171.82639571646186,"[18.677536907478043, 1.4964560977101278, 0.44424253617711484, 104.80798940876029, 1.0398643836806147, 0.05766756569207607, 5.635358288347624, 0.24855204054567448]",30,70,2.1
PSO,0,-29.5837829843166,-181.20908392887517,"[23.32323635378424, 0.4029920297866683, 0.3980655551791632, 102.77803480031393, 1.6311338333909646, 0.05, 4.802334506157008, 0.0]",30,70,2.2
PSO,6,-15.906595313511337,-201.7677496060756,"[45.024205833208974, 0.255848797652345, 0.1261604243099707, 98.35590386023644, 0.9538238862668103, 0.33020975647205514, 1.2092776310492277, 1.4710450189594533]",30,70,2.16
PSO,3,-7.133464974517018,-382.50296845084864,"[25.664370554003764, 2.4848115213220083, 0.08265277345526008, 107.44075749799248, 2.052312046882138, 0.30725979490603494, 0.5772303547806981, 0.8704458018303194]",30,70,2.25
PSO,7,-30.70952758890181,-199.6787722499832,"[27.853394394519785, 3.0, 0.17192081908261214, 142.95062635899234, 3.0, 0.05, 6.0, 0.0]",30,70,2.29
PSO,5,-12.221504025432417,-1000.0,"[41.155047773457426, 2.906271216299341, 0.1868890418096195, 121.79995204266446, 2.7099893175572887, 0.05, 4.470906761204985, 0.6283731873594385]",30,70,2.36
PSO,8,-29.980908652873126,-156.70653716096686,"[40.218312739422636, 3.0, 0.3203589402426214, 115.31453672851664, 3.0, 0.3328797791567747, 2.3452187248153264, 0.0]",30,70,2.2
PSO,9,-29.980908652873126,-1000.0,"[19.004012392078373, 2.4083679908634372, 0.05, 103.9728785814352, 0.7597536908830912, 0.23018117990739262, 3.350960932835811, 0.0]",30,70,2.18
PSO,10,-29.26219647159464,-766.1112700051041,"[20.128886047848518, 0.21061280119856596, 0.3513064835881847, 100.42922803599673, 0.8639970870051279, 0.4184491598528619, 2.287284771388386, 0.0]",30,70,2.11
PSO,12,-32.63058543778802,-1000.0,"[28.923243095860023, 2.1150024072614944, 0.31532176830042863, 111.2608335855412, 0.9864516352759198, 0.2895543956116903, 4.013293462556072, 0.0]",30,70,2.06
PSO,11,-29.26219647159464,-157.52738919369605,"[27.69789244372456, 0.9948382675134749, 0.5, 20.0, 0.6649669534264244, 0.1110711424804568, 1.0977785836497331, 0.0]",30,70,2.08
PSO,15,-29.980908652873126,-156.70653716096686,"[42.29117579382413, 3.0, 0.3916468357644984, 175.35686866016485, 3.0, 0.270523671815023, 2.1180351237945834, 0.0]",30,70,2.22
PSO,14,-12.030133047778348,-1322.5423961640836,"[28.43481706778144, 1.2278599635569223, 0.13802538382431642, 43.68817501668426, 2.2414915470780006, 0.17261519811770787, 2.840447361040433, 0.809492751833591]",30,70,2.3
PSO,13,-14.444309508529678,-1042.406600828044,"[28.136327745260946, 1.002277835961874, 0.3449248039558434, 54.619342693866834, 2.1729096396299545, 0.17431848016754384, 5.270646193640929, 1.1289750685872455]",30,70,2.4
PSO,16,-29.26219647159464,-137.00132230305306,"[16.02574740079327, 0.013150415582728392, 0.3252726505783116, 56.761356588443114, 0.10509678769318834, 0.14381405371124567, 1.836260519891245, 0.11257451424923373]",30,70,1.96
PSO,18,-29.26219647159464,-596.2125127991471,"[21.78310324525203, 1.2227179883044346, 0.2817627014393643, 74.64408968229392, 0.6785901650846847, 0.05928226386051971, 0.8266651531461155, 0.0]",30,70,2.08
PSO,17,-32.63058543778802,-180.88283254435223,"[35.011483052870695, 1.8224016796108853, 0.30749224505630735, 107.25133390768383, 0.7066433648330857, 0.2508234085732828, 3.5320611503611152, 0.3965578220810362]",30,70,2.09
PSO,22,-48.52387695580189,-1000.0,"[19.754238707221067, 2.0584281298529197, 0.17575958484716875, 115.5551666258707, 3.0, 0.25735287382657046, 6.0, 4.604511870056944]",30,70,1.7
PSO,19,-32.63058543778802,-569.542902531922,"[38.38644646686376, 1.8080318113954426, 0.4240608452795184, 105.33596454785956, 0.8289801079411583, 0.1627005263433976, 4.032387698129623, 0.0]",30,70,2.14
PSO,20,-10.676680348029084,-338.0273369786671,"[32.56517649844344, 1.48730206312409, 0.05, 200.0, 1.6351809306996925, 0.4669945791945114, 1.016890231043091, 1.2891320780606714]",30,70,2.71
