alg,seed,train,test,"theta [d1, t1, a1,  d2, t2, a2, shift]",pop_size,gens,time(seconds)
PSO,2,-29.980908652873126,-125.67838218775077,"[22.603821652330478, 1.3980622024823046, 0.20193869401893808, 20.0, 0.0, 0.5, 3.8634510192649443, 0.0]",15,30,1.19
PSO,3,-29.26219647159464,-158.65896672784936,"[43.45660866254107, 3.0, 0.20443773155144512, 65.37009174320569, 3.0, 0.20388997032799466, 1.8468541056880798, 0.06820391450372087]",15,30,1.21
PSO,6,-19.040535715838494,-181.17928049554988,"[43.10632873127789, 0.0, 0.20241958114954434, 93.39427922183627, 1.195765378902449, 0.26051822639190125, 4.500201648992643, 4.678394099420027]",15,30,1.3
PSO,0,-35.81983860719792,-124.24990691034125,"[46.62604678092528, 0.0, 0.5, 28.317888417199207, 2.3196611341699938, 0.05, 6.0, 0.0]",15,30,1.35
PSO,7,-33.247736979509035,-162.01235937834682,"[50.0, 0.24716856502838164, 0.23657791874250483, 20.0, 0.0, 0.5, 5.80561093782539, 0.0]",15,30,1.27
PSO,5,-29.5837829843166,-116.1979786524866,"[50.0, 2.5980363862485993, 0.07965319499007828, 123.09493925119943, 2.5970927402727586, 0.05, 5.057788696633541, 0.0]",15,30,1.46
PSO,1,-31.114191579245237,-146.165019263845,"[50.0, 0.0, 0.4233110892367177, 58.72349976491303, 0.34300611468147485, 0.4688130896454089, 5.3771703516729765, 0.0]",15,30,1.49
PSO,8,-29.980908652873126,-574.2675451036406,"[18.896811840649107, 1.2860503569184532, 0.14298721065629588, 127.25146185967586, 1.852274755036134, 0.05, 4.310669538341659, 0.020445785853528933]",15,30,1.41
PSO,4,-29.26219647159464,-141.50915157821916,"[35.078532865330146, 1.4597203778059271, 0.08723425493084878, 57.3928683123849, 0.8623397394012854, 0.2911473432590163, 1.6081527527841075, 0.0]",15,30,1.51
PSO,9,-20.479649378990107,-612.6522399736674,"[22.336162744175255, 0.40084130434503057, 0.39808147707346586, 35.288001774878055, 2.034126478785958, 0.2557502318667594, 4.040834722418521, 3.1655427385233423]",15,30,1.47
PSO,10,-22.352763418822406,-770.450798145264,"[24.588343533066645, 1.0096057782481487, 0.21006314809916624, 91.45659483313045, 1.1871127780131088, 0.46179061658388987, 1.7515336614430577, 0.6020711378462018]",15,30,1.48
PSO,11,-29.26219647159464,-1000.0,"[39.76888158035567, 1.292674451524152, 0.4567837817366503, 54.64360353606703, 1.4935402759547964, 0.42318922566050343, 2.356972939622449, 0.0]",15,30,1.47
PSO,12,-49.03463762977408,-1000.0,"[41.03501004986469, 2.229749926009202, 0.4771697545206366, 34.706592067102065, 2.694471592526037, 0.27505573145058065, 2.693780289439286, 4.120560684176161]",15,30,1.04
PSO,13,-29.980908652873126,-133.4145282033495,"[21.99294169095553, 1.394614076131525, 0.2163964770246588, 25.439811242904362, 1.2031034929042534, 0.18622884255982153, 4.422007297476763, 0.0]",15,30,1.2
PSO,14,-10.008261561909121,-278.7247096419426,"[25.510491358738143, 1.1522288781860848, 0.1133601837673518, 91.08517839856113, 1.6720585834990846, 0.31021744521793343, 1.0986344748620354, 1.1810667532739296]",15,30,1.29
PSO,15,-30.866877652581177,-156.68708866397418,"[41.76819945854481, 2.195369985671048, 0.05, 20.0, 2.0300667923009716, 0.05, 3.9625774492125956, 0.34677549121910556]",15,30,1.44
PSO,21,-15.049441849339761,-1008.1157606457842,"[27.89837726254601, 0.9808203315843504, 0.413392219446825, 141.70946291794812, 2.4343257959382867, 0.18103650934237114, 4.836269146666468, 1.0712452027625887]",15,30,1.29
PSO,22,-48.39169292129625,-176.01599034760605,"[30.18882877787099, 1.4124278253580078, 0.3548420700225358, 170.04435951762107, 2.8970589921926098, 0.4812138793699488, 1.4643678336670665, 4.07692087437986]",15,30,1.25
PSO,18,-32.63058543778802,-166.1975992657643,"[50.0, 2.417574698852585, 0.5, 131.1551474272721, 1.0558410663710225, 0.36347976874140253, 4.528801654566715, 0.0]",15,30,1.41
PSO,19,-29.26219647159464,-177.2921608874871,"[22.45709585919183, 1.1988383918870258, 0.23406069621208814, 54.05364297670644, 1.3026766606101723, 0.4693646289227199, 1.2116617299609627, 0.0]",15,30,1.44
PSO,16,-35.33147302850733,-162.61737533483276,"[44.662301935891044, 2.726726832036979, 0.05, 147.021093112839, 2.8930518338115823, 0.36893137034464224, 5.357748880937012, 0.0]",15,30,1.67
PSO,17,-32.63058543778802,-180.88283254435223,"[26.78847968134947, 1.9420485995252927, 0.41213885332125094, 107.71205490488009, 0.6192460211597158, 0.1241669676636854, 3.776150348381993, 0.0]",15,30,1.68
PSO,23,-9.369961414789097,-1607.160832825487,"[36.927428436360636, 2.459782042826183, 0.11122635655157148, 47.3040650329385, 1.8961899626507268, 0.37862397815371845, 1.073331642345583, 1.0794538992953406]",15,30,1.63
PSO,20,-16.611852695624695,-749.5604360426132,"[26.960630128890728, 1.1425443321321784, 0.49979342770145596, 148.41992405652508, 2.322377002617451, 0.20892100849990014, 5.40807240294231, 1.3181669513641512]",15,30,1.77
PSO,24,-14.444309508529678,-1042.406600828044,"[28.1924036962219, 1.3884497272228713, 0.49991441522923075, 113.43686840517216, 1.8498148984760592, 0.17435063804178144, 5.179638992649369, 1.0719389248964803]",15,30,1.33
PSO,25,-29.26219647159464,-142.78394061707408,"[24.491559958847073, 2.973524010175111, 0.310746379875738, 144.7740217972594, 2.6861254990136967, 0.06405337525511948, 2.2390766179723025, 0.0]",15,30,1.17
PSO,27,-48.52387695580189,-1000.0,"[19.28937040492921, 1.9178652453263454, 0.19369470848300868, 152.81467073657828, 2.9424572266985987, 0.15677513560568795, 6.0, 4.756393715632871]",15,30,1.02
