alg,seed,fitness,theta,gens,stalled_gens,time_sec,pop_size,w,c1,c2
PSO,2,2.7869877853977525,"[0.7759151859615336, 0.5039725690480699, 0.023519220589962586, 0.07495991516308154, -0.23004349076046826, -0.014587029551166697]",31,10,0.03,60,0.9,2.0,2.0
PSO,3,4.243058468228973,"[-0.5268119928203316, 1.0820712394976364, -0.81793060329171, -0.05616507006996324, 0.3646175682834638, -1.0771644942680543]",22,10,0.02,60,0.9,2.0,2.0
PSO,4,3.552338472609741,"[0.5793967934050339, -0.03967294991926226, -0.009247147362818842, -0.3102362339431979, -0.9452139155480169, -1.0427012476844606]",27,10,0.03,60,0.9,2.0,2.0
PSO,0,2.4402782080122383,"[-0.07392322498577775, -0.3601365462544335, 0.9522429409732931, 0.02971023154217267, 0.11657321157034906, -0.07580334316096371]",17,10,0.02,60,0.9,2.0,1.8
PSO,1,4.000426567721007,"[0.02236586073087432, -0.044731861104339465, 0.3180512870611927, -0.0034080518785684077, 1.552369982578202, 0.9729580653771056]",12,10,0.01,60,0.9,2.0,1.8
PSO,2,3.007854994137191,"[0.17454816901641568, -0.3436030260027043, 0.1155128490983684, -0.188860023236734, -0.3519387444640425, -0.5013784948518006]",21,10,0.02,60,0.9,2.0,1.8
PSO,3,3.4755981238979605,"[0.18877926824666225, 0.5596382319607938, 0.3509779762261964, -0.7295729625485523, -0.3205049013215643, 0.004484811475800932]",27,10,0.03,60,0.9,2.0,1.8
PSO,4,3.5541119182622087,"[-0.4163544116822697, 0.14112600872847603, -0.09518642809439237, 0.1400559513684887, -1.0963827672314332, 0.6024034197678814]",26,10,0.03,60,0.9,2.0,1.8
PSO,0,3.5817580397833244,"[0.6180642432214073, 0.0568926864241166, -0.16289600606072607, -0.2923632469146418, 0.7962279698154282, 0.9313956486884085]",13,10,0.01,60,0.9,1.8,2.0
PSO,1,2.049202364759918,"[0.20619305275927258, 0.021532612598663903, 0.47594138195316227, -0.08876702645713364, 0.10117252888925288, 0.12686539482955306]",14,10,0.01,60,0.9,1.8,2.0
PSO,2,3.3751363550775264,"[-0.12330599220607208, 0.10596049748711689, 0.20891814458631774, -0.7103503422183959, 1.022502388957661, 0.8916099014045247]",21,10,0.02,60,0.9,1.8,2.0
PSO,3,3.928263519380469,"[0.33994549628133897, -1.042442061918075, 0.31958961730225993, 0.137367174189986, -1.026161802564468, -0.9570259231736774]",26,10,0.03,60,0.9,1.8,2.0
PSO,4,4.014407364761748,"[0.14879943319396682, 0.4054733851243971, -1.640817155474107, 0.08747985191658436, 0.05081501374166919, 0.13624743637457826]",14,10,0.01,60,0.9,1.8,2.0
PSO,0,3.302825787123169,"[0.9571474604822583, -0.11222858965567983, 0.101191262648479, -0.29717990759212926, 0.8904857538768693, 0.9425015253925995]",13,10,0.01,60,0.9,1.8,1.8
PSO,1,2.846347001930351,"[-0.05800812445015525, -0.2321872410808541, 0.7339427693349025, -0.051615678737898074, -0.29843616936895834, 0.2871519353469263]",22,10,0.02,60,0.9,1.8,1.8
PSO,2,3.9585428435616667,"[-0.34894725717890873, 0.8882291253699665, -0.32502401454395796, -0.5930542596726949, -0.13795261937357672, -0.6633603343046968]",16,10,0.02,60,0.9,1.8,1.8
PSO,3,3.3778335798452415,"[1.0457074924846705, -0.5099921238481304, 0.39377774334693416, -0.051188613977510844, 0.12144068468087568, 0.14795040231815548]",23,10,0.02,60,0.9,1.8,1.8
PSO,4,3.4546003054515357,"[0.06598869718551281, -0.004012232762510948, 0.7608076396574401, -1.1773028637285263, -0.04040577982406854, 0.4215543321355031]",23,10,0.02,60,0.9,1.8,1.8
PSO,0,1.98705601988484,"[-0.30941043949310615, 0.0921391005677645, -0.18155004553507448, 0.15141152484699763, -0.25509354246934973, -0.03898683166413264]",23,10,0.02,70,0.8,2.0,2.0
PSO,1,2.804147047973036,"[0.20736596814138597, -0.08047185516586394, 0.07028406830537048, -0.07086786643095025, 0.5262345715823434, -0.8922565247455616]",21,10,0.02,70,0.8,2.0,2.0
PSO,2,0.9576090878980534,"[-0.05601950819536189, 0.18489480028124347, -0.020470056490309335, 0.04153971527200122, 0.06965935181469873, -0.16477837206781715]",50,4,0.05,70,0.8,2.0,2.0
