alg,seed,fitness,theta,gens,time_sec,pop_size,w,c1,c2,r_repulsion,r_orientation,r_attraction,alpha,beta
PSO,1,0.0200196007556106,"[0.005731879775176308, 0.0015691149912574593, -0.0038714023827190387, 0.006988630481383659, 0.004123936463224565, -0.004115097806459238]",50,0.02,30,0.4,1.5,1.0,,,,,
PSO,2,0.00812598344971649,"[0.004664523002985496, -5.269193240926842e-06, -0.00036664570682524067, 0.001177428823299383, 0.0004136348881570391, 0.00023882837196938654]",50,0.02,30,0.4,1.5,1.0,,,,,
PSO,3,2.734039189267179e-06,"[-3.612893843052526e-07, 2.818466727324452e-07, -6.622021439925962e-07, 1.097235186300742e-06, 7.60097079806879e-07, 6.106643636971176e-07]",50,0.02,30,0.4,1.5,1.0,,,,,
PSO,4,2.7522392500589632e-05,"[-1.5982443761828716e-05, 1.2306340850030781e-06, 6.010867127122096e-07, 3.8657884041623705e-06, 3.2416927274455235e-06, -1.1120184696425978e-06]",50,0.02,30,0.4,1.5,1.0,,,,,
PSO,0,6.682138613856026e-05,"[2.3516264823677368e-05, 3.8981042043668275e-06, -2.319603906277389e-05, 1.4408669607336215e-05, -1.4628773087354246e-05, -1.2074364350625652e-05]",50,0.02,30,0.4,1.5,1.5,,,,,
PSO,1,2.5375133806182504e-05,"[3.0338239288363714e-06, -1.2671600906218028e-06, -9.33213016911671e-06, 3.2707498600430783e-06, 1.0368066020435344e-05, -5.0326650255841704e-06]",50,0.02,30,0.4,1.5,1.5,,,,,
PSO,2,3.78093144921543e-05,"[9.129039627447074e-06, 1.6575546377645882e-05, 3.180880741598776e-07, 1.6742499643895119e-06, -9.439050132956542e-06, 9.265859221461594e-06]",50,0.02,30,0.4,1.5,1.5,,,,,
PSO,3,4.0696147490582035e-05,"[4.094393283713401e-06, 1.2510665650382662e-05, -1.286284063713813e-05, 5.584966831072621e-06, -5.157660221491242e-06, -1.4979024088582352e-05]",50,0.02,30,0.4,1.5,1.5,,,,,
PSO,4,0.0001009958831699187,"[-2.481976388561887e-05, -2.67310053901066e-05, 2.857664206685573e-06, -3.97620400843451e-05, -2.1975700132042327e-05, 2.0489235616479208e-05]",50,0.02,30,0.4,1.5,1.5,,,,,
PSO,0,0.0025164133827861868,"[2.1808186472769848e-05, -0.0006501992370934494, -2.5434285748475948e-05, 0.0009682048206821978, -0.0008169280654425782, 0.0005540640390324118]",50,0.02,30,0.7,1.0,1.0,,,,,
PSO,1,0.006311301966637206,"[-0.0007722360797281845, -0.0021792145985320074, 0.00047367148280351456, -0.002729406759978195, 0.0011152313267975551, -0.0002787152368554037]",50,0.02,30,0.7,1.0,1.0,,,,,
