alg,seed,train,test,theta,pop_size,gens,stalled_gens,tolerance,patience,fitness_history,time(seconds),theta_parsed
ABC,3700,-62523.399027568434,-9090.518801394715,"[6.017094713469811, 1.949066275064014, 0.05025449671474211, 62.62690987559359, 1.9041361355438666, 0.37889543781706464, 6.979556788661506, 10.00627544404015]",50,13,10,0.0001,10,"[-53107.45121438091, -59732.21149835392, -62523.399027568434, -62523.399027568434, -62523.399027568434, -62523.399027568434, -62523.399027568434, -62523.399027568434, -62523.399027568434, -62523.399027568434, -62523.399027568434, -62523.399027568434, -62523.399027568434]",3.41,"[6.017094713469811, 1.949066275064014, 0.05025449671474211, 62.62690987559359, 1.9041361355438666, 0.37889543781706464, 6.979556788661506, 10.00627544404015]"
CAB,2891,-47539.07266848066,-9809.076537755618,"[3.7496667813184064, 0.9910610154449132, 0.3538166221746755, 172.59853444440796, 2.0189255408579316, 0.4608990795658156, 11.727296386716285, 9.963769150571828]",50,15,10,0.0001,10,"[-42334.35097707562, -42334.35097707562, -42334.35097707562, -42334.35097707562, -47539.07266848066, -47539.07266848066, -47539.07266848066, -47539.07266848066, -47539.07266848066, -47539.07266848066, -47539.07266848066, -47539.07266848066, -47539.07266848066, -47539.07266848066, -47539.07266848066]",1.58,"[3.7496667813184064, 0.9910610154449132, 0.3538166221746755, 172.59853444440796, 2.0189255408579316, 0.4608990795658156, 11.727296386716285, 9.963769150571828]"
GWO,3695,-61074.16272729421,-9148.248267688092,"[6.1318525243658515, 0.0, 0.05, 171.7304152782868, 2.039099407866258, 0.3711214440167874, 7.098675754276093, 9.810925455925856]",50,13,10,0.0001,10,"[-26480.551421269214, -50927.46540013463, -61074.16272729421, -61074.16272729421, -61074.16272729421, -61074.16272729421, -61074.16272729421, -61074.16272729421, -61074.16272729421, -61074.16272729421, -61074.16272729421, -61074.16272729421, -61074.16272729421]",0.87,"[6.1318525243658515, 0.0, 0.05, 171.7304152782868, 2.039099407866258, 0.3711214440167874, 7.098675754276093, 9.810925455925856]"
PSO,269,-56656.63745214293,-8684.058276382995,"[5.507079479923081, 0.26241909154185505, 0.4014952617968686, 169.4378223337535, 2.092276298354577, 0.3823459238469119, 6.977768626738198, 9.0]",50,30,10,0.0001,10,"[-21396.500889504332, -31958.85810061328, -31958.85810061328, -49029.28977661723, -49029.28977661723, -49029.28977661723, -49029.28977661723, -49029.28977661723, -49029.28977661723, -49029.28977661723, -49029.28977661723, -49033.26541785749, -49033.26541785749, -49033.26541785749, -50955.59629446634, -55070.29164150695, -55070.29164150695, -55545.44116113111, -55545.44116113111, -56656.63745214293, -56656.63745214293, -56656.63745214293, -56656.63745214293, -56656.63745214293, -56656.63745214293, -56656.63745214293, -56656.63745214293, -56656.63745214293, -56656.63745214293, -56656.63745214293]",2.91,"[5.507079479923081, 0.26241909154185505, 0.4014952617968686, 169.4378223337535, 2.092276298354577, 0.3823459238469119, 6.977768626738198, 9.0]"
